Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Interview,113,English,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",2014,"Action, Comedy","cia, socialism, coup d'etat, assassination attempt, evil dictator, north korea","James Franco, Randall Park, Diana Bang, Lizzy Caplan, Seth Rogen","Evan Goldberg, Seth Rogen",Netflix ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Point Grey Pictures, Columbia Pictures",https://www.sonypictures.com/movies/theinterview
The Imitation Game,113,English,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",2014,"History, Drama, Thriller, War","england, homophobia, world war ii, mathematician, genius, biography, male homosexuality, code breaking, lgbt, logician, cryptography, math genius, gay theme, codes","Rory Kinnear, Keira Knightley, Benedict Cumberbatch, Matthew Goode, Allen Leech",Morten Tyldum,"Netflix, Amazon Prime Video, Hulu, Britbox Apple TV Channel  ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Bristol Automotive, Black Bear Pictures, FilmNation Entertainment",Unknown
Unbroken,137,English,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",2014,"Drama, War","japan, berlin, germany, based on novel or book, sports, world war ii, prisoner of war, u.s. air force, biography, pacific war, raft, shark, woman director, olympic athlete","Garrett Hedlund, Domhnall Gleeson, Jack O'Connell, Alex Russell, MIYAVI",Angelina Jolie,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Legendary Pictures, Jolie Pas, 3 Arts Entertainment",Unknown
The Torture Club,97,Japanese,"The ""Torture Club"" is an official after-school activity at the private school Saint Honesty Gakuen. Yuzuki has no idea about the club when she enrolls, and gets abducted by the club members and hauled off the club-room. There, she finds out that upper-class student Aoi, her secret idol, is in the club, and decides to join, but…",2014,"Drama, Comedy","bondage, lesbian relationship, torture, based on manga, teenage sexuality, bdsm, lesbian, girls love","Haruna Yoshizumi, Mika Yano, Noriko Kijima, Nami Motoyama, Yuki Mamiya",Kōta Yoshida,,,,KADOKAWA,Unknown
Tinker Bell and the Legend of the NeverBeast,77,English,"An ancient myth of a massive creature sparks the curiosity of Tinker Bell and her good friend Fawn, an animal fairy who’s not afraid to break the rules to help an animal in need. But this creature is not welcome in Pixie Hollow — and the scout fairies are determined to capture the mysterious beast, who they fear will destroy their home. Fawn must convince her fairy friends to risk everything to rescue the NeverBeast.",2014,"Adventure, Animation, Family","fairy tale, fairy, tinkerbell","Ginnifer Goodwin, Raven-Symoné, Lucy Liu, Rosario Dawson, Mae Whitman",Steve Loter,Disney Plus ,"Apple TV, Amazon Video, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, YouTube, Vudu, Microsoft Store ",DisneyToon Studios,http://fairies.disney.com/tinker-bell-and-the-legend-of-the-neverbeast
Left Behind,110,English,A small group of survivors are left behind after millions of people suddenly vanish during the rapture and the world is plunged into chaos and destruction.,2014,"Thriller, Action, Science Fiction","airplane, the rapture, remake, disaster, pilot hero","Nicky Whelan, Martin Klebba, Nicolas Cage, Lea Thompson, Chad Michael Murray",Vic Armstrong,Amazon Prime Video ,"Apple TV, Amazon Video, Vudu, Microsoft Store ","Apple TV, Amazon Video, Vudu, Microsoft Store ",Stoney Lake Entertainment,http://www.leftbehindmovie.com/
Toy Story That Time Forgot,22,English,"During a post-Christmas play date, the gang find themselves in uncharted territory when the coolest set of action figures ever turn out to be dangerously delusional. It's all up to Trixie, the triceratops, if the gang hopes to return to Bonnie's room in this Toy Story That Time Forgot.",2014,"Animation, Family, Adventure, Comedy","christmas, television special, short film","Tom Hanks, Emily Hahn, Kristen Schaal, Kevin McKidd, Tim Allen",Steve Purcell,Disney Plus ,"Apple TV, Amazon Video, Vudu, Microsoft Store ",,"Pixar, Walt Disney Pictures",Unknown
The Equalizer,132,English,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",2014,"Thriller, Action, Crime","assassin, corruption, hitman, call girl, sadism, hostage, gangster, fbi, gore, remake, sociopath, revenge, vigilante, organized crime, teenage prostitute, commando, interrogation, surveillance, fake death, ex soldier, loner, black ops, hand to hand combat, mysterious past, vigilante justice","Haley Bennett, Marton Csokas, Denzel Washington, David Harbour, Chloë Grace Moretz",Antoine Fuqua,"fuboTV, Peacock Premium, Starz Apple TV Channel, USA Network ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Lonetree Entertainment, Columbia Pictures, Village Roadshow Pictures, Escape Artists, LStar Capital, Mace Neufeld Productions",https://www.sonypictures.com/movies/theequalizer
Captain America: The Winter Soldier,136,English,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",2014,"Action, Adventure, Science Fiction","future, washington dc, usa, superhero, shield, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), political thriller","Sebastian Stan, Scarlett Johansson, Cobie Smulders, Chris Evans, Anthony Mackie","Anthony Russo, Joe Russo","Disney Plus, Starz Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Marvel Studios,http://www.captainamericathewintersoldiermovie.com
"As Above, So Below",93,English,"When a team of explorers ventures into the uncharted maze of bones that lies beneath the streets of Paris, they embark on a journey into madness and terror.",2014,"Horror, Thriller","treasure, paris, france, loss of loved one, catacombs, female protagonist, scientist, archaeologist, subjective camera, found footage, adventurer, archeology, female archeologist, philosopher's stone","Marion Lambert, François Civil, Perdita Weeks, Ben Feldman, Edwin Hodge",John Erick Dowdle,History Vault ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Brothers Dowdle Productions, Legendary Pictures, Universal Pictures",http://www.asabovesobelowmovie.com/
Whiplash,107,English,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",2014,"Drama, Music","new york city, concert, jazz, obsession, music teacher, conservatory, montage, public humiliation, jazz band, young adult, music school, based on short film","Austin Stowell, Paul Reiser, J.K. Simmons, Melissa Benoist, Miles Teller",Damien Chazelle,Netflix ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Bold Films, Blumhouse Productions, Right of Way Films",http://sonyclassics.com/whiplash/
"Love, Rosie",102,English,"Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?",2014,"Romance, Drama, Comedy","friendship, based on novel or book, love, best friend, valentine's day, teenage pregnancy, friends in love, missed opportunity","Suki Waterhouse, Tamsin Egerton, Christian Cooke, Lily Collins, Sam Claflin",Christian Ditter,"fuboTV, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Showtime Roku Premium Channel, Showtime, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Constantin Film, Octagon Films, Canyon Creek Films, Mister Smith Entertainment, FFF Bayern, FFA, MEDIA Programme of the European Union, Ontario Media Development Corporation, Don Carmody Productions",Unknown
The Raid 2,150,Indonesian,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",2014,"Action, Crime, Thriller","prison, police, undercover, fight, gangster, outnumbered","Arifin Putra, Iko Uwais, Alex Abbad, Tio Pakusadewo, Oka Antara",Gareth Evans,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","XYZ Films, PT. Merantau Films, Stage 6 Films, Sony Pictures Classics",http://www.sonyclassics.com/theraid2/
Blended,117,English,"After a divorced mom and widowed dad have a disastrous blind date and part ways, they unknowingly end up having to share the same romantic suite at an African resort for families during spring break.",2014,"Comedy, Romance","single parent, sports, africa, baseball, extreme sports, south africa, blind date, romantic comedy, wild animal, teenage crush, relationship, summer vacation, family vacation, single mother, family, divorced woman, widower, single father, daredevil, tomboy, death of mother, mother figure, father figure, blended family, mother son relationship, father daughter relationship, african music, absent father","Kevin Nealon, Wendi McLendon-Covey, Drew Barrymore, Adam Sandler, Terry Crews",Frank Coraci,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","GulfStream Pictures, Happy Madison Productions, RatPac Entertainment",Unknown
The Remaining,88,English,"When a group of close-knit friends assemble for the marriage of Skylar and Dan, they have no idea they will witness The Rapture and face a series of catastrophic events turning the celebration into a life-or-death struggle.",2014,"Thriller, Horror","apocalypse, wedding, found footage, end of times","Italia Ricci, Johnny Pacar, Bryan Dechart, Alexa PenaVega, Shaun Sipos",Casey La Scala,Starz Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Sunrise Pictures, Affirm Films, Cinematic, Baron Films, Triumph Films",Unknown
3 Days to Kill,113,English,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",2014,"Action, Drama, Thriller","daughter, cia, wife, killing, retirement, family, secret service, illegal drugs, husband","Kevin Costner, Hailee Steinfeld, Tómas Lemarquis, Connie Nielsen, Amber Heard",McG,"fuboTV, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Wonderland Sound and Vision, EuropaCorp, Relativity Media, 20th Century Fox",Unknown
Jack Ryan: Shadow Recruit,105,English,"Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",2014,"Action, Drama, Thriller","sniper, london, england, cia, corruption, based on novel or book, explosive, intelligence, rehabilitation, murder, conspiracy, terrorism, surveillance, jack ryan, u.s. marine, 9/11, ex military, political thriller, intelligence service, cia analyst, intelligence analyst","Chris Pine, Kevin Costner, Lenn Kudrjawizki, Keira Knightley, Kenneth Branagh",Kenneth Branagh,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","di Bonaventura Pictures, Paramount, Mace Neufeld Productions, Buckaroo Entertainment, Skydance Media",Unknown
How to Train Your Dragon 2,102,English,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",2014,"Fantasy, Action, Adventure, Animation, Comedy, Family","rescue, husband wife relationship, sacrifice, parent child relationship, loss of loved one, viking, death of father, sequel, dragon, death of husband, warrior, mother son relationship","Craig Ferguson, Jay Baruchel, Gerard Butler, Cate Blanchett, America Ferrera",Dean DeBlois,"Netflix, Peacock Premium, Netflix basic with Ads ","Apple TV, Amazon Video, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, YouTube, Vudu, Spectrum On Demand ","DreamWorks Animation, 20th Century Fox",http://howtotrainyourdragon.com
