Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Ladies They Talk About,69,English,"A moll, imprisoned after participating in a bank robbery, helps with a breakout plot.",1933,"Crime, Drama, Romance","prison, jealousy, female prisoner, bank robbery, pre-code, contempt, reformer, moll, forbidden hollywood, stool pigeon, prison break attempt","Dorothy Burgess, Lyle Talbot, Barbara Stanwyck, Preston Foster, Lillian Roth","Howard Bretherton, William Keighley",,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ","The Vitaphone Corporation, Warner Bros. Pictures",Unknown
The Pied Piper,8,English,"The people of Hamelin, overrun with rats, offer a bag of gold to anyone who can get rid of the rats. A piper offers to do the job, and successfully lures the rats into a mirage of cheese, which disappears. The citizens, disappointed that all he did was play a tune, offer only pocket change. The piper, angered, plays a new tune that has all the children of the city follow him, even the new twins the stork is preparing to deliver.",1933,Animation,"cartoon, short film","Allan Watson, George Gramlich, Marion Darlington, Harriette Haddon",Wilfred Jackson,Disney Plus ,,,Walt Disney Productions,Unknown
The Devil's Brother,90,English,"Two wannabe bandits join the service of a dashing nobleman, who secretly masquerades as Fra Diavolo, a notorious outlaw.",1933,"Comedy, Music","italy, innkeeper, arranged marriage, musical, wine, outlaw, pre-code, firing squad, based on opera, carabinieri, disguises, hysterical drunks","Stan Laurel, Thelma Todd, Oliver Hardy, Arthur Pierson, Dennis King","Charley Rogers, Hal Roach",,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Hal Roach Studios,Unknown
Mickey's Gala Premiere,7,English,"Mickey's film is having a premiere, and all the stars turn out at the Chinese Theatre. Among those shown: Laurel and Hardy, the Marx Brothers, Jimmy Durante, Clark Gable, Sid Grauman, Mae West. The picture, Galloping Romance (Pegleg Pete kidnaps Minnie, and Mickey gives chase on a variety of animals), starts, and everyone in the audience sways along to the music, then rolls in the aisles with laughter. After, everyone comes on stage to congratulate Mickey; Garbo smothers him with kisses.",1933,"Animation, Comedy",short film,"Jerry Lester, Marcellite Garner, Walt Disney",Burt Gillett,,,,Walt Disney Productions,Unknown
The Night Before Christmas,8,English,"A narrator sings the opening stanzas of the classic poem while we see the house at rest. Santa lands on the roof, comes down the chimney, and opens his bag. The toys march out and decorate the tree, with the toy soldiers shooting balls from their cannon, a toy airplane stringing a garland like skywriting, and the toy firemen applying snow. A blimp delivers the star to the top. Meanwhile, Santa fills the stockings. His laughter awakens the children, who sneak out. The toys rush to their places, and Santa escapes up the chimney just in time.",1933,Animation,"cartoon, short film","Kenny Baker, Donald Novis",Wilfred Jackson,,,,"Walt Disney Productions, United Artists",Unknown
Riders of Destiny,55,English,"James Kincaid controls the local water supply and plans to do away with the other ranchers. Government agent Sandy Saunders arrives undercover to investigate Kincaid's land swindle scheme, and win the heart of one of his victims, Fay Denton.",1933,"Action, Western","romance, b movie, singing cowboy","Forrest Taylor, Cecilia Parker, George 'Gabby' Hayes, Al St. John, John Wayne",Robert N. Bradbury,"fuboTV, MGM Plus Amazon Channel, Starz Apple TV Channel, Hoopla, Starz, Pure Flix, Fandor Amazon Channel, FlixFling, Starz Amazon Channel ","Amazon Video, Vudu, FlixFling ","Amazon Video, Vudu, FlixFling ",Paul Malvern Productions,Unknown
Zero for Conduct,49,French,"In a repressive boarding school with rigid rules of behavior, four boys decide to rebel against the director on a celebration day.",1933,Comedy,"boarding school, cigarette, gay interest, dinner, revolt, boys' school, gay theme, short film","Robert le Flon, Jean Dasté, Delphin, Du Verron, Léon Larive",Jean Vigo,Criterion Channel ,,,"Franfilmdis, Argui-Film",Unknown
La Dame de chez Maxim's,109,French,"Dr. Lucien Petypon is usually a serious man, but, drawn by his friend Corignon, he once paints the town red at Maxim's. When he wakes up late the next morning, he finds the scantily clad Môme Crevette, a dancer at the famous Paris restaurant, by his side. It is the moment General Petypon du Grêlé, Lucien's rich uncle, chooses to make an unexpected visit. The good doctor has no other choice but to pass Crevette off as his lawful wife.",1933,Comedy,musical,"Pierre Palau, André Lefaur, Madeleine Ozeray, Félix Mayol, Charlotte Lysès",Alexander Korda,,,,London Films Productions,Unknown
Storm at Daybreak,78,English,"Sarajevo June 28, 1914. Dushan, the Serbian mayor of a Hungarian town, has come to see the parade of Archduke Ferdinand. While there he runs into Geza, an old friend in the Hungarian Army and invites him to come to his house and visit him and his new wife.",1933,"Drama, Romance, War","escape, mayor, serbian, pre-code, love torn","Eugene Pallette, Nils Asther, Phillips Holmes, Walter Huston, Kay Francis",Richard Boleslawski,,,,Metro-Goldwyn-Mayer,Unknown
Sons of the Desert,65,English,Ollie and Stan deceive their wives into thinking they are taking a medically necessary cruise when they are really going to a lodge convention.,1933,Comedy,"husband wife relationship, lodge, oath, deceived wife, deception, black and white, pre-code, next door neighbor, convention","Stan Laurel, Oliver Hardy, Mae Busch, Dorothy Christy, Charley Chase",William A. Seiter,,"Apple TV, Google Play Movies, YouTube ","Apple TV, Google Play Movies, YouTube ","Hal Roach Studios, Metro-Goldwyn-Mayer",Unknown
Der Tunnel,72,German,"The engineer MacAllan designs a tunnel, which will join America and Europe together on the seabed.  A group of American billionaires are financing the gigantic project, but the construction of the tunnel is proving to be as tedious as it is dangerous.  MacAllan's worst enemy is the speculator Woolf, who had embezzled the money for the construction and who is attempting to cover up his crime by carrying out acts of sabotage.  Also filmed in 1933 in a French-language version, LE TUNNEL, and remade in 1935 in England as TRANSATLATIC TUNNEL.",1933,Science Fiction,europe,"Attila Hörbiger, Gustaf Gründgens, Paul Hartmann, Otto Wernicke, Olly von Flint",Curtis Bernhardt,,,,,Unknown
Topaze,78,English,"An honest and naive schoolteacher gets a lesson in how the world works outside the classroom, when a rich Baron and his mistress use the teacher's name and outstanding reputation in a crooked business scheme.",1933,"Comedy, Drama","paris, france, satire, school teacher, pre-code","Myrna Loy, John Barrymore, Jackie Searl, Jobyna Howland, Reginald Mason",Harry d'Abbadie d'Arrast,,,,RKO Radio Pictures,Unknown
He Couldn't Take It,63,English,"Jimmy Kelly, who can't hold on to a job because of his hot temper, finds his calling as a process server. He serves process on a gangster and exposes a criminal conspiracy while trying to stop his long-suffering girlfriend from taking a vacation with her lecherous boss.",1933,Comedy,"boss, gangster","Stanley Fields, George E. Stone, Dorothy Granger, Ray Walker, Virginia Cherrill",William Nigh,,,,"Monogram Pictures, W.T. Lackey Productions",Unknown
State Fair,97,English,"The children of Iowa farmers find love, with mixed results, at the state fair.",1933,"Comedy, Drama","naivety, iowa, rural area, contest, love affair, pre-code, state fair","Sally Eilers, Janet Gaynor, Will Rogers, Lew Ayres, Norman Foster",Henry King,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Fox Film Corporation,Unknown
Berkeley Square,84,English,A young American man is transported back to London in the time shortly after the American Revolution and meets his ancestors.,1933,"Fantasy, Romance","time travel, pre-code","Irene Browne, Heather Angel, Leslie Howard, Beryl Mercer, Valerie Taylor",Frank Lloyd,,,,Fox Film Corporation,Unknown
