Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Irreconcilable Differences,113,English,"Alternating between the past and the present, a precocious little girl sues her selfish, career-driven parents for emancipation, surprising them both.",1984,"Comedy, Drama, Romance",None,"Shelley Long, Drew Barrymore, Ryan O'Neal, Sam Wanamaker, Allen Garfield",Charles Shyer,,,,"Lantana, Warner Bros. Pictures, Hemdale",Unknown
Broadway Danny Rose,84,English,"A hapless talent manager named Danny Rose, by helping a client, gets dragged into a love triangle involving the mob. His story is told in flashback, an anecdote shared amongst a group of comedians over lunch at New York's Carnegie Deli. Rose's one-man talent agency represents countless incompetent entertainers, including a one-legged tap dancer, and one slightly talented one: washed-up lounge singer Lou Canova, whose career is on the rebound.",1984,Comedy,"new york city, artist, comedian, girlfriend, talent manager","Woody Allen, Sandy Baron, Nick Apollo Forte, Corbett Monica, Mia Farrow",Woody Allen,"Amazon Prime Video, Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Orion Pictures,Unknown
Friday the 13th: The Final Chapter,91,English,"After his revival in a hospital morgue, Jason fixes his vengeful attention on the Jarvis family and a group of hitherto carefree teenagers.",1984,"Horror, Thriller","lake, new jersey, sadism, psychopath, morgue, resurrection, sequel, woods, slaughter, serial killer, slasher, series of murders, hitchhike, supernatural horror","Joan Freeman, Kimberly Beck, Corey Feldman, Barbara Howard, Judie Aronson",Joseph Zito,"Max, Max Amazon Channel, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Friday Four, Inc., Georgetown Productions Inc., Paramount, Sean S. Cunningham Films",Unknown
The Killing Fields,142,English,"New York Times reporter Sydney Schanberg is on assignment covering the Cambodian Civil War, with the help of local interpreter Dith Pran and American photojournalist Al Rockoff. When the U.S. Army pulls out amid escalating violence, Schanberg makes exit arrangements for Pran and his family. Pran, however, tells Schanberg he intends to stay in Cambodia to help cover the unfolding story — a decision he may regret as the Khmer Rouge rebels move in.",1984,"Drama, History, War","journalist, vietnam, cambodia, civil war, based on novel or book, photographer, 1970s, embassy, killing fields, red khmer, pol pot, pulitzer prize, based on true story, genocide","Sam Waterston, Haing S. Ngor, Craig T. Nelson, Julian Sands, John Malkovich",Roland Joffé,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Goldcrest, Enigma Productions, International Film Investors",Unknown
Cloak & Dagger,102,English,"11-year-old Davey's mother is dead and his father doesn't spend nearly enough time with him. So the boy loses himself in video games--and even has an imaginary friend, a super-resourceful secret agent. When he accidentally comes into possession of a spy group's secret plans, and winds up on the run from them, he must learn to rely on himself and his imaginary pal to save his skin.",1984,"Adventure, Action, Family","parent child relationship, espionage, spy, traitor, treason, murder, criminal, disbelieving adult","Dabney Coleman, Christina Nigra, John McIntire, Michael Murphy, Henry Thomas",Richard Franklin,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Universal Pictures, Allan Carr Production",Unknown
Electric Dreams,96,English,"Miles buys himself a state-of-the-art computer that starts expressing thoughts and emotions after a having champagne spilled on him. Things start getting out of hand when both Miles and Edgar, the computer, fall in love with Madeline, an attractive neighbour.",1984,"Comedy, Science Fiction, Music","computer, architect, cello","Bud Cort, Maxwell Caulfield, Don Fellows, Lenny Von Dohlen, Virginia Madsen",Steve Barron,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Virgin,Unknown
Hanna D: The Girl from Vondel Park,83,Italian,"Hanna is a girl completely abandoned to herself, is not at all inhibited sexually, and is attracted to the attention of unscrupulous people like Miguel, who takes advantage of Hanna, turning her to prostitution to obtain her drug fix. Until she meets Alex, a young man with a sincere affection for Hanna.",1984,Drama,"drug abuse, junkie, exploitation, prostitution","Ann-Gisel Glass, Antonio Serrano, Georges Millon, Sebastiano Somma, Fausto Lombardi",Rino Di Silvestro,,,,"Beatrice Film, Les Films Jacques Leitienne",Unknown
The Karate Kid,126,English,"Daniel moves to Los Angeles with his mother, Lucille, and soon strikes up a relationship with Ali. He quickly finds himself the target of bullying by a group of high school students, led by Ali's ex-boyfriend Johnny, who study karate at the Cobra Kai dojo under ruthless sensei, John Kreese. Fortunately, Daniel befriends Mr. Miyagi, an unassuming repairman who just happens to be a martial arts master himself. Miyagi takes Daniel under his wing, training him in a more compassionate form of karate for self-defense and later, preparing him to compete against the brutal Cobra Kai.",1984,"Action, Family, Drama","high school, friendship, martial arts, sports, fight, halloween, cheerleader, karate, bullying, sensei, teen movie, los angeles, california, dating, martial arts master, single mother, sabotage, beaten, high school student, martial arts tournament, martial arts training, crane, sport competition, school dance, semi autobiographical, teenage gang, teenage romance, hard work, high school romance, the karate kid","Elisabeth Shue, William Zabka, Ralph Macchio, Martin Kove, Pat Morita",John G. Avildsen,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Columbia Pictures, Delphi II Productions, Jerry Weintraub Productions",https://www.sonypictures.com/movies/thekaratekid0
Crimes of the Future,63,English,"Crimes of the Future is set in a future where sexually mature women appear to have been obliterated by a plague produced by the use of cosmetics. The film details the wanderings of Adrian Tripod, director of the dermatological clinic the House of Skin. Tripod seems at a loss following the disappearance of his mentor Antoine Rouge.",1984,"Comedy, Science Fiction","mad scientist, end of the world, paedophilia","Jon Lidolt, Paul Mulholland, Jack Messinger, Ronald Mlodzik, Tania Zolty",David Cronenberg,"Criterion Channel, MUBI, MUBI Amazon Channel ",,,Emergent Films Ltd.,Unknown
Sexmission,117,Polish,"Two scientists are chosen as guinea pigs for a time experiment: they are placed in hibernation and should be brought back to life after three years. In the meantime, however, World War III breaks out and life has been wiped off the surface of Earth. When they wake up, it turns out that not only 50 years have passed but also that they are the only living specimens of the male sex in a new, underground society composed exclusively of women.",1984,"Science Fiction, Adventure, Comedy","future, dystopia, post-apocalyptic future, mass extinction, gender roles, criogenes","Bogusława Pawelec, Olgierd Łukaszewicz, Hanna Stankówna, Jerzy Stuhr, Bożena Stryjkówna",Juliusz Machulski,,,,"Zespół Filmowy ""Kadr""",Unknown
