Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Notorious Landlady,123,English,"An American junior diplomat in London rents a house from, and falls in love with, a woman suspected of murder.",1962,"Comedy, Mystery","diplomat, attempted murder, landlady","Jack Lemmon, Estelle Winwood, Lionel Jeffries, Kim Novak, Fred Astaire",Richard Quine,fuboTV ,,,Columbia Pictures,Unknown
Mamma Roma,110,Italian,"After years spent working as a prostitute in her Italian village, middle-aged Mamma Roma has saved enough money to buy herself a fruit stand so that she can have a respectable middle-class life and reestablish contact with the 16-year-old son she abandoned when he was an infant. But her former pimp threatens to expose her sordid past, and her troubled son seems destined to fall into a life of crime and violence.",1962,Drama,"friendship, prostitute, rome, italy, parent child relationship, pimp, thief, wedding, church, single mother, lgbt, iconography, neorealism","Franco Citti, Anna Magnani, Ettore Garofolo, Silvana Corsini, Luisa Loiano",Pier Paolo Pasolini,Criterion Channel ,,,Arco Film,Unknown
Advise & Consent,139,English,"Proposed by the President of the United States to fill the post of Secretary of State, Robert Leffingwell appears before a Senate committee, chaired by the idealistic Senator Brig Anderson, which must decide whether he is the right person for the job.",1962,Drama,"usa president, washington dc, usa, based on novel or book, senator, politician, based on play or musical, anti-communism, senate hearing, secret past, usa politics, secretary of state, usa senate, preserved film","Walter Pidgeon, Charles Laughton, Henry Fonda, Don Murray, Peter Lawford",Otto Preminger,,,,Otto Preminger Films,https://www.warnerbros.com/movies/advise-and-consent
Dr. No,110,English,"In the film that launched the James Bond saga, Agent 007 battles mysterious Dr. No, a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins, Bond must go to Jamaica, where he encounters beautiful Honey Ryder, to confront a megalomaniacal villain in his massive island headquarters.",1962,"Adventure, Action, Thriller","exotic island, london, england, space marine, card game, assassination, casino, based on novel or book, england, secret mission, spy, secret intelligence service, jamaica, intelligence, secret base, baccarat, secret organization, nuclear radiation, villain, secret agent, atomic reactor, caribbean sea","Ursula Andress, Jack Lord, Anthony Dawson, Joseph Wiseman, Sean Connery",Terence Young,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","United Artists, EON Productions, Danjaq",https://www.mgm.com/movies/dr-no
Love at Twenty,120,French,Love at Twenty unites five directors from five different countries to present their different perspectives on what love really is at the age of 20. The episodes are united with the score of Georges Delerue and still photos of Henri Cartier-Bresson.,1962,"Drama, Romance",None,"Jean-Pierre Léaud, Marie-France Pisier, Rosy Varte, Patrick Auffay, François Darbon","Shintarō Ishihara, Renzo Rossellini, François Truffaut, Andrzej Wajda, Marcel Ophüls",,,,"Ulysse Productions, Unitec Films, Cinesecolo, TOHO, Beta Film, Zespół Filmowy ""Kamera""",Unknown
The Loneliness of the Long Distance Runner,104,English,"A rebellious youth sentenced to a reformatory for robbing a bakery rises through the ranks of the institution through his prowess as a long distance runner. During his solitary runs, reveries of his life and times before his incarceration lead him to re-evaluate his privileged status as a prized athlete.",1962,Drama,"prison, sports, rebel, based on short story, kitchen sink realism, borstal","Michael Redgrave, Avis Bunnage, Alec McCowen, James Bolam, Tom Courtenay",Tony Richardson,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Woodfall Film Productions, British Lion-Columbia Distributors",Unknown
Il Sorpasso,105,Italian,"Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested.",1962,"Drama, Comedy","italian, summer, seaside, road movie","Vittorio Gassman, Jean-Louis Trintignant, Catherine Spaak, Claudio Gora, Luciana Angiolillo",Dino Risi,Criterion Channel ,"Apple TV, Amazon Video ","Apple TV, Amazon Video ","Fair Film, Incei Film, Sancro Film",Unknown
Mutiny on the Bounty,185,English,"The Bounty leaves Portsmouth in 1787. Its destination: to sail to Tahiti and load bread-fruit. Captain Bligh will do anything to get there as fast as possible, using any means to keep up a strict discipline. When they arrive at Tahiti, it is like a paradise for the crew, something completely different than the living hell aboard the ship. On the way back to England, officer Fletcher Christian becomes the leader of a mutiny.",1962,"Adventure, Drama, History","exotic island, mutiny, captain, heart-throb, tahiti, import, 18th century, high seas, mutiny on the bounty","Richard Harris, Marlon Brando, Hugh Griffith, Richard Haydn, Trevor Howard",Lewis Milestone,TCM ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Arcola Pictures, Metro-Goldwyn-Mayer",Unknown
Sweet Bird of Youth,120,English,"Gigolo and drifter Chance Wayne returns to his home town as the companion of a faded movie star, Alexandra Del Lago, whom he hopes to use to help him break into the movies. Chance runs into trouble when he finds his ex-girlfriend, the daughter of the local politician Tom ""Boss"" Finley, who more or less forced him to leave his daughter and the town many years ago.",1962,"Drama, Romance","florida, gigolo, based on play or musical, womanizer, drifter, corrupt politician, movie star, fading star","Ed Begley, Paul Newman, Shirley Knight, Geraldine Page, Rip Torn",Richard Brooks,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Roxbury Productions, Metro-Goldwyn-Mayer",Unknown
Boccaccio '70,204,Italian,An anthology of four comic moral tales about the hypocrisies surrounding sex in 1960s Italy: frothy young love and office politics in the big city; milk advertisements that begin to haunt an aging prude; a trophy wife enduring her husband's very public affairs; a lucky ticket-holder at a small town fair.,1962,"Comedy, Fantasy, Romance","italian, marriage","Anita Ekberg, Germano Gilioli, Marisa Solinas, Peppino De Filippo, Romy Schneider","Luchino Visconti, Mario Monicelli, Federico Fellini, Vittorio De Sica",Metrograph ,,Kino Now ,"Cineriz, Francinex, Concordia Compagnia Cinematografica, gray-film",Unknown
