Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Big Country,166,English,"Retired wealthy sea captain Jim McKay arrives in the Old West, where he becomes embroiled in a feud between his future father-in-law, Major Terrill, and the rough and lawless Hannasseys over a valuable patch of land.",1958,"Drama, Western, Romance","epic, love triangle, parent child relationship, ranch, honor, cattle, cowboy, family feud, pistol duel, sea captain, damsel in distress, water conflict, american west, water rights, gun fight, neighbor feud, domineering father, retired army man, cattlemen, cattle stampede, father daughter relationship, land rights, daughter of the boss, beautiful landscapes, preserved film, fist fight","Gregory Peck, Burl Ives, Carroll Baker, Charlton Heston, Jean Simmons",William Wyler,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","United Artists, Anthony Productions, Worldwide Productions",Unknown
King Creole,116,English,"Danny Fisher, young delinquent, flunks out of high school. He quits his job as a busboy in a nightclub, and one night he gets the chance to perform. Success is imminent and the local crime boss Maxie Fields wants to hire him to perform at his night club The Blue Shade. Danny refuses, but Fields won't take no for an answer.",1958,"Drama, Music, Crime","nightclub, crime boss, musical, singer","Carolyn Jones, Dolores Hart, Walter Matthau, Dean Jagger, Elvis Presley",Michael Curtiz,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Paramount, Hal Wallis Productions",Unknown
Cat on a Hot Tin Roof,108,English,"An alcoholic ex-football player drinks his days away, having failed to come to terms with his sexuality and his real feelings for his football buddy who died after an ambiguous accident. His wife is crucified by her desperation to make him desire her: but he resists the affections of his wife. His reunion with his father—who is dying of cancer—jogs a host of memories and revelations for both father and son.",1958,Drama,"dying and death, depression, individual, suicide, jealousy, husband wife relationship, southern usa, mississippi river, plantation, patriarch, based on play or musical, inheritance, sibling rivalry, brother against brother, alcoholic, dying father, family conflicts, father son conflict, southern gothic, star athlete, homosexual subtext, cotton plantation, mississippi","Burl Ives, Elizabeth Taylor, Paul Newman, Jack Carson, Judith Anderson",Richard Brooks,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Avon Productions, Metro-Goldwyn-Mayer",Unknown
The Tale of the White Serpent,79,Japanese,"As a young boy, Xu-Xian is forced to free his pet, a small snake. Unbeknownst to him, the snake is actually a young snake goddess named Bai-Niang and she is in love with him. Many years later, when they are both adults, the princess is magically transformed into a human and sets out to find her love. But the local wizard believes her to be a vampire, and banishes Xu-Xian from the village in order to save him. Xu-Xian's pet pandas Panda and Mimi set out to save him and bring him, in the process becoming leaders of an animal gang.",1958,"Animation, Fantasy",None,"Mariko Miyagi, Hisaya Morishige","Kazuhiko Okabe, Taiji Yabushita",,Amazon Video ,Amazon Video ,Toei Animation,https://lineup.toei-anim.co.jp/en/movie/movie_hakujaden/
Neither Seen Nor Recognized,95,French,"In a small French village, everything would be quiet if the local wildlife cop was not being ridiculed by a smart poacher.",1958,"Comedy, Family","france, based on novel or book, fishing, village, mayor, piano lessons, gendarmerie, trial, trap, romance, poacher, jail, wedding, terrier, 1950s","Moustache, Noëlle Adam, Claude Rich, Frédéric Duvallès, Louis de Funès",Yves Robert,,,,Champs-Élysées Productions,Unknown
Monster on the Campus,77,English,"A college paleontology professor acquires a newly discovered specimen of a coelecanth, but while examining it, he is accidentally exposed to its blood, and finds himself periodically turning into a murderous Neanderthal man.",1958,"Horror, Science Fiction","fish, monster, professor, detective, college, giant insect, dragonfly, murder, black and white, dog, neanderthal, gamma rays","Troy Donahue, Nancy Walters, Arthur Franz, Joanna Moore, Judson Pratt",Jack Arnold,"fuboTV, FlixFling ",FlixFling ,FlixFling ,Universal International Pictures,Unknown
The Proud Rebel,103,English,"Searching for a doctor who can help him get his son to speak again--the boy hadn't uttered a word since he saw his mother die in the fire that burned down the family home--a Confederate veteran finds himself facing a 30-day jail sentence when he's unfairly accused of starting a brawl in a small town. A local woman pays his fine, providing that he works it off on her ranch. He soon finds himself involved in the woman's struggle to keep her ranch from a local landowner who wants it--and whose sons were responsible for the man being framed for the fight.",1958,"Western, Drama",wrongful conviction,"Cecil Kellaway, David Ladd, Alan Ladd, Dean Jagger, Olivia de Havilland",Michael Curtiz,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Starz Apple TV Channel, MGM Plus Roku Premium Channel, Hoopla, Starz, Pure Flix, Classix, FlixFling, FilmBox+, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, FlixFling ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, FlixFling ","Formosa Productions, Samuel Goldwyn Productions, Samuel Goldwyn Company",Unknown
"Ivan the Terrible, Part II: The Boyars' Plot",87,Russian,"This is the second part of a projected three-part epic biopic of Russian Czar Ivan Grozny, undertaken by Soviet film-maker Sergei Eisenstein at the behest of Josef Stalin.  Production of the epic was stopped before the third part could be filmed, due to producer dissatisfaction with Eisenstein's introducing forbidden experimental filming techniques into the material, more evident in this part than the first part.  As it was, this second part was banned from showings until after the deaths of both Eisenstein and Stalin, and a change of attitude by the subsequent heads of the Soviet government.  In this part, as Ivan the Terrible attempts to consolidate his power by establishing a personal army, his political rivals, the Russian boyars, plot to assassinate him.",1958,"History, Drama","historical, medieval, ivan the terrible","Serafima Birman, Pavel Kadochnikov, Amvrosi Buchma, Nikolai Cherkasov, Mikhail Zharov",Sergei Eisenstein,"Max, Max Amazon Channel, Criterion Channel ",,,"Mosfilm, TsOKS",Unknown
"Bell, Book and Candle",106,English,"A modern-day witch likes her neighbor but despises his fiancée, so she enchants him to love her instead... only to fall in love with him for real.",1958,"Comedy, Fantasy, Romance","witch, love of one's life, cat, beatnik, witchcraft, screwball comedy, love potion, fantasy, romantic fantasy","Hermione Gingold, Ernie Kovacs, James Stewart, Kim Novak, Jack Lemmon",Richard Quine,Criterion Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ","Julian Blaustein Productions, Columbia Pictures",Unknown
Houseboat,110,English,An Italian socialite on the run signs on as housekeeper for a widower with three children.,1958,"Comedy, Romance","class society, washington dc, usa, parent child relationship, harmonica, houseboat, nanny, ball, boat wedding, single father","Martha Hyer, Cary Grant, Harry Guardino, Sophia Loren, Eduardo Ciannelli",Melville Shavelson,"Britbox Apple TV Channel , Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Paramount,Unknown
