Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Dracula vs. Frankenstein,91,English,Dracula conspires with a mad doctor to resurrect the Frankenstein Monster.,1971,"Horror, Science Fiction","monster, vampire, gorilla, lsd, decapitation, drugs, schlock, amusement park, decapitated head, frankenstein, dracula, ax","Anthony Eisley, Zandor Vorkov, Lon Chaney Jr., Regina Carrol, J. Carrol Naish",Al Adamson,,,,Independent International Pictures (I-I),Unknown
Two-Lane Blacktop,102,English,"A driver and a mechanic travel around the United States hopping from drag strip to drag strip in a 1955 Chevy Bel-Air coupe. They race for money, betting with their competitors. The pair gains a young and talkative female stowaway. Along the way they unintentionally attract a well-to-do drifter driving a new Pontiac GTO. This older man, looking for attention, antagonizes their efforts.",1971,Drama,"car race, car mechanic, chevrolet, road movie, drag race","Laurie Bird, James Taylor, Rudy Wurlitzer, Warren Oates, Dennis Wilson",Monte Hellman,,,,"Universal Pictures, Michael Laughlin Enterprises",Unknown
The Trackers,73,English,A rancher comes home and finds that his son has been murdered and his daughter kidnapped by a bandit gang. He hires a professional tracker with a reputation for finding his quarry to help him find the gang and rescue his daughter.,1971,"TV Movie, Western","ranch, tracker","Julie Adams, Jim Davis, Ernest Borgnine, Sammy Davis Jr., Connie Kreski",Earl Bellamy,,,,Aaron Spelling Productions,Unknown
Godzilla vs. Hedorah,85,Japanese,"An ever evolving alien life-form arrives on a comet from the Dark Gaseous Nebula and proceeds to consume pollution. Spewing mists of sulfuric acid and corrosive sludge, neither humanity nor Godzilla may be able to defeat this toxic menace.",1971,"Action, Family, Horror, Science Fiction","japan, pollution, giant monster, sequel, ecology, gojira, kaiju, water pollution, smog, acid burning, godzilla, hedorah","Toshio Shiba, Keiko Mari, Hiroyuki Kawase, Toshie Kimura, Akira Yamanouchi",Yoshimitsu Banno,"fuboTV, Max, Max Amazon Channel, Criterion Channel ","Apple TV, Vudu ","Apple TV, Vudu ",TOHO,Unknown
Macbeth,141,English,"Scotland, 11th century. Driven by the twisted prophecy of three witches and the ruthless ambition of his wife, warlord Macbeth, bold and brave, but also weak and hesitant, betrays his good king and his brothers in arms and sinks into the bloody mud of a path with no return, sown with crime and suspicion.",1971,"War, Drama","husband wife relationship, scotland, based on play or musical, rise to power, 11th century, betrayal of trust, william shakespeare","Jon Finch, Francesca Annis, Martin Shaw, John Stride, Nicholas Selby",Roman Polanski,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Caliban Films, Playboy Enterprises",Unknown
And Now for Something Completely Different,88,English,A collection of Monty Python's Flying Circus skits from the first two seasons of their British TV series.,1971,Comedy,"blackmail, stupidity, spoof, compilation, lumberjack, sketch comedy, dead parrot, twit, physical comedy, intentional mistranslation, foot race, obstacle course, anarchic comedy","Eric Idle, Graham Chapman, Terry Gilliam, Terry Jones, John Cleese",Ian MacNaughton,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Kettledrum Films, Python (Monty) Pictures Limited, Playboy Enterprises",Unknown
The House That Dripped Blood,102,English,A Scotland Yard investigator looks into four mysterious cases involving an unoccupied house.,1971,"Horror, Mystery","infidelity, vampire, scotland yard, exploitation, inspector, anthology, decapitation, curse, wax museum, investigator, witchcraft, evil child","Christopher Lee, Joanna Dunham, Tom Adams, Peter Cushing, Denholm Elliott",Peter Duffell,"Fandor Amazon Channel, Screambox Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Amicus Productions,Unknown
Klute,114,English,A high-priced call girl is forced to depend on a reluctant private eye when she is stalked by a psychopath.,1971,"Thriller, Mystery, Crime","new york city, prostitute, cat, obsession, audio tape, detective, junkie, pimp, perversity, conspiracy, psychologist, whodunit, missing person","Jane Fonda, Donald Sutherland, Roy Scheider, Charles Cioffi, Dorothy Tristan",Alan J. Pakula,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Gus Productions, Warner Bros. Pictures",Unknown
Summer of '42,103,English,"Over the summer of 1942 on Nantucket Island, three friends -- Hermie, Oscy and Benjie -- are more concerned with getting laid than anything else. Hermie falls in love with the married Dorothy, whose husband is an army pilot recently sent to the battlefront of World War II.",1971,"Comedy, Drama, Romance","island, beach, sexual frustration, age difference, obsession, world war ii, sand, coming of age, summer vacation, beach house, first love, older woman younger man relationship, sexual awakening, 1940s, summer cottage, soldier's wife","Jerry Houser, Katherine Allentuck, Gary Grimes, Oliver Conant, Jennifer O'Neill",Robert Mulligan,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Pictures,Unknown
Man in the Wilderness,104,English,"In the early 1800s, a group of fur trappers and Indian traders are returning with their goods to civilization and are making a desperate attempt to beat the oncoming winter. When guide Zachary Bass is injured in a bear attack, they decide he's a goner and leave him behind to die. When he recovers instead, he swears revenge on them and tracks them and their paranoiac expedition leader down.",1971,"Western, Adventure, Drama","expedition, wilderness, native american, based on true story, fur trapping, remake, revenge, survival, wounded, rabbit, bear attack, fur trade, wolves, transporting boat","Prunella Ransome, Richard Harris, Henry Wilcoxon, John Huston, Percy Herbert",Richard C. Sarafian,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Limbridge, Wilderness Films",Unknown
