Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Spiral Staircase,83,English,"On a stormy night, the mute servant to an ailing matriarch is stalked by a serial killer.",1946,"Mystery, Thriller, Horror","based on novel or book, staircase, childhood trauma, violence against women, half-brother, stepson, mute, serial killer, killer, old dark house, gothic, spiral staircase, speech impediment, bedridden, stormy night, pair of evil eyes, physical disability, proto-slasher, speech impaired, spree killer, mute servant, traumatized woman, imperfection, horror noir, lost voice, target the handicapped","George Brent, Rhonda Fleming, Ethel Barrymore, Dorothy McGuire, Kent Smith",Robert Siodmak,"Classix, FlixFling ",FlixFling ,FlixFling ,"RKO Radio Pictures, Dore Schary Productions, Vanguard Films",Unknown
No Regrets for Our Youth,110,Japanese,"Yukie, the well-bred daughter of a university professor, is shocked when her father is relieved of his post for his political teachings during a purge of anti-militarism in pre-war Kyoto. Years go by as she is courted by two of her father's former students; one a fiery leftist, the other more moderate and equable.",1946,Drama,"student protest, kyoto, japan, 1930s, flower arrangements","Eiko Miyoshi, Denjirō Ōkōchi, Setsuko Hara, Susumu Fujita, Haruko Sugimura",Akira Kurosawa,Criterion Channel ,,,TOHO,Unknown
Cluny Brown,100,English,Amateur plumber Cluny Brown gets sent off by her uncle to work as a servant at an English country estate.,1946,"Romance, Comedy","czech, plumber, country estate, uncle, sink, witty, hilarious","Charles Boyer, Jennifer Jones, Reginald Gardiner, Peter Lawford, Helen Walker",Ernst Lubitsch,,,,20th Century Fox,Unknown
The Razor's Edge,145,English,"An adventurous young man goes off to find himself and loses his socialite fiancée in the process. But when he returns 10 years later, she will stop at nothing to get him back, even though she is already married.",1946,"Drama, Romance, Adventure","paris, france, based on novel or book, himalaya mountain range, hypnosis, engagement, wealth, will, monastery, bohemian, 1920s","Gene Tierney, Clifton Webb, John Payne, Anne Baxter, Tyrone Power",Edmund Goulding,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",20th Century Fox,Unknown
Crisis,93,Swedish,"A small-town piano teacher is shocked by the arrival of her foster daughter's real mother, whose young lover soon follows and causes further disruption.",1946,"Drama, Romance","piano lessons, foster daughter","Dagny Lind, Stig Olin, Marianne Löfgren, Allan Bohlin, Inga Landgré",Ingmar Bergman,Criterion Channel ,"Apple TV, Vudu ","Apple TV, Vudu ",SF Studios,Unknown
Make Mine Music,75,English,"In the tradition of Fantasia, Make Mine Music is a glorious collection of musically charged animated shorts featuring such fun-filled favorites as ""Peter and the Wolf"", narrated by the beloved voice behind Winnie the Pooh. In addition you'll enjoy such classic cartoon hits as ""Casey at the Bat,"" ""The Whale Who Wanted to Sing at the Met"" and ""Johnnie Fedora and Alice Bluebonnet.""",1946,"Animation, Music, Family",musical,"Andy Russell, Dinah Shore, Jerry Colonna, Nelson Eddy, Benny Goodman","Joshua Meador, Jack Kinney, Robert Cormack, Hamilton Luske, Clyde Geronimi",,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",,Walt Disney Productions,Unknown
Cloak and Dagger,106,English,Italian partisans help a professor sent by the OSS to find an atomic scientist held by Nazis.,1946,"Drama, Thriller, War",espionage,"Lilli Palmer, J. Edward Bromberg, Vladimir Sokoloff, Gary Cooper, Robert Alda",Fritz Lang,,,,"Warner Bros. Pictures, United States Pictures",Unknown
Terror by Night,60,English,"Holmes and Watson board a passenger train bound from London to Edinburgh, to guard the Star of Rhodesia, an enormous diamond worth a fortune belonging to an elderly woman of wealth; but within the first hour of the trip, the woman's son is murdered and the diamond stolen and any of the passengers in their car could be the killer thief.",1946,"Crime, Mystery, Thriller","mathematics, black and white, private detective, jewel theft, gin rummy, sherlock holmes","Renee Godfrey, Nigel Bruce, Basil Rathbone, Alan Mowbray, Dennis Hoey",Roy William Neill,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Starz Apple TV Channel, Starz, MGM Plus, Fandor Amazon Channel, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Pantaflix ",Universal Pictures,Unknown
She-Wolf of London,61,English,A young heiress finds evidence suggesting that at night she acts under the influence of a family curse and has begun committing ghastly murders in a nearby park.,1946,"Horror, Mystery","monster, england, insanity, scotland yard, child murder, murder, curse, werewolf","Sara Haden, Lloyd Corrigan, June Lockhart, Don Porter, Jan Wiley",Jean Yarbrough,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Universal Pictures,Unknown
Deception,110,English,"After marrying her long lost love, a pianist finds the relationship threatened by a wealthy composer who is besotted with her.",1946,"Drama, Romance, Thriller, Music","music teacher, classical music, film noir","Claude Rains, John Abbott, Benson Fong, Paul Henreid, Bette Davis",Irving Rapper,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Pictures,Unknown
