Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
GoodFellas,145,English,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990,"Drama, Crime","prison, florida, new york city, based on novel or book, gangster, mass murder, drug trafficking, 1970s, irish-american, gore, biography, based on true story, murder, organized crime, mafia, brooklyn, new york city, crime epic, tampa, florida","Ray Liotta, Paul Sorvino, Joe Pesci, Robert De Niro, Lorraine Bracco",Martin Scorsese,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Winkler Films,http://www.warnerbros.com/goodfellas
Internal Affairs,115,English,"Keen young Raymold Avila joins the Internal Affairs Department of the Los Angeles police. He and partner Amy Wallace are soon looking closely at the activities of cop Dennis Peck whose financial holdings start to suggest something shady. Indeed Peck is involved in any number of dubious or downright criminal activities. He is also devious, a womaniser, and a clever manipulator, and he starts to turn his attention on Avila.",1990,"Crime, Drama","undercover agent, shop, illegality, internal affairs, police corruption, los angeles, california, lapd","Richard Gere, Elijah Wood, Laurie Metcalf, Nancy Travis, Andy García",Mike Figgis,"Amazon Prime Video, Cinemax Amazon Channel, Cinemax Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Paramount, Image Organization, Malofilm, Out of the Town Films",Unknown
Hard to Kill,95,English,"Mason Storm, a 'go it alone' cop, is gunned down at home. The intruders kill his wife, and think they've killed both Mason and his son too. Mason is secretly taken to a hospital where he spends several years in a coma. His son meanwhile is growing up thinking his father is dead. When Mason wakes up, everyone is in danger - himself, his son, his best friend, his nurse - but most of all those who arranged for his death",1990,"Action, Drama","martial arts, coma, training, cop, revenge, vigilante, organized crime, mafia, undercover cop, hospital, gunfight, los angeles, california, one man army, one against many, urban setting, action hero, vigilante justice","Frederick Coffin, William Sadler, Bonnie Burroughs, Kelly LeBrock, Steven Seagal",Bruce Malmuth,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Warner Bros. Pictures, Lee Rich Productions, Warner Bros.",Unknown
Dragon Ball Z: The Tree of Might,61,Japanese,Goku and friends must stop a band of space pirates from consuming fruit from the Tree of Might before it's destructive powers drain Earth's energy.,1990,"Action, Animation, Science Fiction","martial arts, tree, camping, dragon, dying world, space pirate, anime, fruit","Mayumi Tanaka, Toshio Furukawa, Masako Nozawa, Naoko Watanabe, Hirotaka Suzuoki",Daisuke Nishio,"Crunchyroll, Crunchyroll Amazon Channel, Funimation Now ",Apple TV ,Apple TV ,Toei Animation,Unknown
Joe Versus the Volcano,102,English,"Hypochondriac Joe Banks finds out he has six months to live, quits his dead end job, musters the courage to ask his co-worker out on a date, and is then hired to jump into a volcano by a mysterious visitor.",1990,"Comedy, Romance","escape, terminal illness, orange soda, dying man's last fling","Tom Hanks, Ossie Davis, Dan Hedaya, Meg Ryan, Lloyd Bridges",John Patrick Shanley,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Amblin Entertainment, Warner Bros. Pictures",Unknown
The Exorcist III,110,English,"On the fifteenth anniversary of the exorcism that claimed Father Damien Karras' life, Police Lieutenant Kinderman's world is once again shattered when a boy is found decapitated and savagely crucified.",1990,"Horror, Mystery","death penalty, religion and supernatural, suspicion of murder, investigation, exorcism, doomed man, possession, psychiatric hospital, priest, series of murders, missing person, catholic church, demonic possession, supernatural horror","Jason Miller, George C. Scott, Brad Dourif, Ed Flanders, Nicol Williamson",William Peter Blatty,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Vudu ","Apple TV, Amazon Video, Vudu ",Morgan Creek Entertainment,Unknown
Revenge,123,English,"Michael ‘Jay’ Cochran has just left the Navy after 12 years and he's not quite sure what he's going to do, except that he knows he wants a holiday. He decides to visit Tiburon Mendez, a powerful but shady Mexican businessman who he once flew to Alaska for a hunting trip. Arriving at the Mendez mansion in Mexico, he is immediately surprised by the beauty and youth of Mendez’s wife, Miryea.",1990,"Thriller, Romance, Drama","mexico, revenge, betrayal, revenge motive, revenge killing, revenge horror","Miguel Ferrer, Tomas Milian, Kevin Costner, Madeleine Stowe, Anthony Quinn",Tony Scott,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","New World Pictures, Columbia Pictures, Rastar Productions",Unknown
Desperate Hours,105,English,"An escaped con, on the run from the law, moves into a married couple's house and takes over their lives.",1990,"Mystery, Thriller, Crime","based on novel or book, hostage, utah, escaped convict, remake, home invasion, family hostage","Kelly Lynch, Anthony Hopkins, Mimi Rogers, Mickey Rourke, Lindsay Crouse",Michael Cimino,"fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ",Vudu ,Vudu ,"Metro-Goldwyn-Mayer, Dino De Laurentiis Company",Unknown
Cadillac Man,97,English,"Joe's a car salesman with a problem—he has two days to sell 12 cars or he loses his job. This would be a difficult task at the best of times but Joe has to contend with his girlfriends (he's two-timing), a missing teenage daughter and an ex-wife.",1990,"Comedy, Drama, Crime","jealousy, car dealer, ladykiller, success, hostage-taking","Robin Williams, Zack Norman, Tim Robbins, Pamela Reed, Fran Drescher",Roger Donaldson,"Amazon Prime Video, Hoopla, History Vault, Showtime Apple TV Channel ","Vudu, AMC on Demand ",Vudu ,Orion Pictures,Unknown
The Hunt for Red October,135,English,"A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!",1990,"Action, Adventure, Thriller","based on novel or book, submarine, cold war, intelligence, u.s. navy, defection, jack ryan, ex military, 1980s, political thriller, nuclear submarine, soviet/russian navy, intelligence service, cia analyst, russian submarine, intelligence analyst","Alec Baldwin, Scott Glenn, Sam Neill, Sean Connery, James Earl Jones",John McTiernan,"Max, Max Amazon Channel, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Paramount, Mace Neufeld Productions, Nina Saxon Film Design",http://www.paramount.com/movies/hunt-red-october
Bride of Re-Animator,96,English,"Unperturbed by the disastrous outcome of his previous meddling with the dead, Dr. West continues his research into the phenomenon of re-animation; only this time, he plans to create life – starting with the heart of his young protégé Dan's dearly deceased Meg Halsey.",1990,"Horror, Comedy, Science Fiction","experiment, dark comedy, bat, mad scientist, sequel, basement, stop motion, reanimation, laboratory, doctor, corpse, police detective","Jeffrey Combs, Claude Earl Jones, Bruce Abbott, Fabiana Udenio, David Gale",Brian Yuzna,"Night Flight Plus, Fandor Amazon Channel, Screambox Amazon Channel, ARROW ","Apple TV, Google Play Movies, YouTube, Vudu ","Apple TV, Google Play Movies, YouTube, Vudu ",Wild Street Pictures,http://www.re-animatorfilms.com/BrideRe-Animator.html
Navy Seals,113,English,"During a rescue mission, a team of Navy Seals discover that a terrorist group have access to deadly US built Stinger missiles, and must set out to locate and destroy them before they can be used.",1990,Action,"navy, u.s. navy, u.s. navy seal, us military","Rick Rossovich, Joanne Whalley, Michael Biehn, Cyril O'Reilly, Charlie Sheen",Lewis Teague,"fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu ",Orion Pictures,Unknown
Dick Tracy,105,English,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,1990,"Adventure, Comedy, Crime","martial arts, corruption, fight, gangster, crime fighter, investigation, villain, based on comic, organized crime, one man army, criminal, police detective, one against many, urban setting, policeman, action hero, good versus evil","Warren Beatty, Charlie Korsmo, Glenne Headly, Madonna, Al Pacino",Warren Beatty,,"Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Touchstone Pictures, Mulholland Productions, Silver Screen Partners IV",Unknown
Air America,112,English,"Air America was the CIA's private airline operating in Laos during the Vietnam War, running anything and everything from soldiers to foodstuffs for local villagers. After losing his pilot's license, Billy Covington is recruited into it, and ends up in the middle of a bunch of lunatic pilots, gun-running by his friend Gene Ryack, and opium smuggling by his own superiors.",1990,"Action, Adventure, Comedy, Drama","vietnam war, cia, airplane, drug smuggling, refugee camp, pilot, laos, drugs, 1960s","David Marshall Grant, Nancy Travis, Ken Jenkins, Mel Gibson, Robert Downey Jr.",Roger Spottiswoode,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ",,"IndieProd Company Productions, Carolco Pictures",Unknown
The Hot Spot,130,English,"Upon arriving to a small town, a drifter quickly gets into trouble with the local authorities — and the local women — after he robs a bank.",1990,"Romance, Crime, Thriller","paradise, photographer, smoking, bank robber, arson, arsonist, sensuality, neo-noir","Jennifer Connelly, Don Johnson, Charles Martin Smith, William Sadler, Virginia Madsen",Dennis Hopper,,,,"Orion Pictures, Arnold Kopelson Productions, Kopelson Entertainment",Unknown
Awakenings,120,English,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990,Drama,"coma, experiment, based on novel or book, hope, miracle, based on true story, hospital, illness, woman director, comatose","Robin Williams, John Heard, Julie Kavner, Penelope Ann Miller, Robert De Niro",Penny Marshall,"fuboTV, Paramount+ with Showtime, Paramount Plus Apple TV Channel , Showtime Roku Premium Channel, Showtime, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Parkes/Lasker productions,Unknown
