Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Winnetou and the Crossbreed,90,German,"On her b-day, settler's daughter Apanatschi receives her father's secret gold mine but greedy neighboring prospectors resort to murder and kidnapping in order to get the gold, forcing the girl and her brother to seek Winnetou's protection.",1966,"Adventure, Western","native american, gold mine","Götz George, Uschi Glas, Pierre Brice, Ralf Wolter, Lex Barker",Harald Philipp,,,,"Jadran Film, Rialto Film",Unknown
Grand Prix,176,English,"The story tells about the confrontation of four first-class racers of Formula 1.  Each of the competitors had their own additional motivation to become a champion.  Their world is a risk and extreme, fast driving on the highway. The taste of adrenaline is what race lovers live. Outside of competition, they all experience personal dramas and upheavals, and the more important the desired title becomes for them.",1966,"Action, Drama","car race, racing, race car driver, race car crash, 1960s, formula one (f1), motorsport","James Garner, Brian Bedford, Toshirō Mifune, Yves Montand, Eva Marie Saint",John Frankenheimer,TCM ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Cherokee Productions, Douglas & Lewis Productions, Joel Productions, John Frankenheimer Productions Inc., Metro-Goldwyn-Mayer",Unknown
Return of the Seven,95,English,"Chico one of the remaining members of The Magnificent Seven now lives in the town that they (The Seven) helped. One day someone comes and takes most of the men prisoner. His wife seeks out Chris, the leader of The Seven for help. Chris also meets Vin another member of The Seven. They find four other men and they go to help Chico.",1966,Western,"mexico, horseback riding, male friendship, sequel","Robert Fuller, Julián Mateos, Yul Brynner, Warren Oates, Claude Akins",Burt Kennedy,,"Apple TV, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu ","C.B. Films S.A., The Mirisch Company, United Artists",Unknown
The Fortune Cookie,125,English,"A cameraman is knocked over during a football game. His brother-in-law, as the king of the ambulance-chasing lawyers, starts a suit while he's still knocked out. The cameraman is against it until he hears that his ex-wife will be coming to see him. He pretends to be injured to get her back, but also sees what the strain is doing to the football player who injured him.",1966,Comedy,"shadowing, american football, brother-in-law, wheelchair, honesty, insurance fraud, cinematographer, fortune cookie, ex-wife","Walter Matthau, Cliff Osmond, Ron Rich, Judi West, Jack Lemmon",Billy Wilder,"Amazon Prime Video, Hoopla ",,Spectrum On Demand ,"Phalanx Productions, Jalem Productions, United Artists",Unknown
The Sand Pebbles,196,English,"Engineer Jake Holman arrives aboard the gunboat USS San Pablo, assigned to patrol a tributary of the Yangtze in the middle of exploited and revolution-torn 1926 China. His iconoclasm and cynical nature soon clash with the 'rice-bowl' system which runs the ship and the uneasy symbiosis between Chinese and foreigner on the river. Hostility towards the gunboat's presence reaches a climax when the boat must crash through a river-boom and rescue missionaries upriver at China Light Mission.",1966,"Drama, War","china, missionary, u.s. navy, chinese, battle, gunboat","Richard Crenna, Steve McQueen, Candice Bergen, Richard Attenborough, Mako",Robert Wise,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Robert Wise Productions, Solar Productions, 20th Century Fox",Unknown
Fahrenheit 451,113,English,"In the future, the government maintains control of public opinion by outlawing literature and maintaining a group of enforcers, known as “firemen,” to perform the necessary book burnings. Fireman Montag begins to question the morality of his vocation…",1966,"Drama, Science Fiction","husband wife relationship, based on novel or book, dystopia, totalitarian regime, book burning, co-workers relationship, firefighter, political repression, bookworm","Jeremy Spenser, Cyril Cusack, Anton Diffring, Oskar Werner, Julie Christie",François Truffaut,,Vudu ,,"Anglo Enterprises, Vineyard Film",Unknown
The Restaurant,82,French,"A great French restaurant's owner, Monsieur Septime, is thrust into intrigue and crime, when one of his famous guests disappears.",1966,Comedy,"paris, france, expensive restaurant, kidnapping, restaurant, restaurant owner, president, terrorism, car accident, chef, wig, national anthem, police commissioner, 1960s, suspected, latin american revolution, alpes","Folco Lulli, Venantino Venantini, Bernard Blier, María Rosa Rodríguez, Louis de Funès",Jacques Besnard,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Gaumont,Unknown
Alvarez Kelly,106,English,"In 1864, during the American Civil War, Mexican cattleman Alvarez Kelly supplies the Union with cattle until unexpected circumstances force him to change his customers.",1966,"Action, War, Western","colonel, cattle, confederate, american civil war, cattleman","Richard Widmark, Janice Rule, William Holden, Patrick O'Neal, Victoria Shaw",Edward Dmytryk,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Sol C. Siegel Productions, Columbia Pictures",Unknown
Duel at Diablo,104,English,"While crossing the desert, a frontier scout, Jess Remsberg, rescues Ellen Grange from a pursuing band of Apaches, and returns her to her husband, Willard Grange. He is contracted to act as a scout for an Army cavalry unit. Willard, Ellen, and her infant son are along for the ride, as is horse trader Toller, a veteran of the 10th Cavalry. The party is trapped in a canyon by Chata, an Apache chief and grandfather of Ellen's baby. Willard is captured and tortured. Jess sneaks away and brings reinforcements just in time to save the day. Jess learns that the man he has been hunting is none other than Willard Grange.",1966,Western,"based on novel or book, apache nation, intermarriage, native american, duel, illegitimate son","Bibi Andersson, Dennis Weaver, Sidney Poitier, James Garner, Bill Travers",Ralph Nelson,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",United Artists,Unknown
"The Good, the Bad and the Ugly",161,Italian,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",1966,Western,"gold, army, bounty hunter, hitman, refugee, anti hero, moral ambiguity, gallows, outlaw, shootout, spaghetti western, american civil war, dollars trilogy","Lee Van Cleef, Clint Eastwood, Luigi Pistilli, Eli Wallach, Aldo Giuffrè",Sergio Leone,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","United Artists, PEA, Arturo González Producciones Cinematográficas, Constantin Film","http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly"
Masculin Féminin,105,French,"Paul, a young idealist trying to figure out what he wants to do with his life, takes a job interviewing people for a marketing research firm. He moves in with aspiring pop singer Madeleine. Paul, however, is disillusioned by the growing commercialism in society, while Madeleine just wants to be successful. The story is told in a series of 15 unrelated vignettes.",1966,"Drama, Romance","students' movement, bisexuality, menage a trois","Jean-Pierre Léaud, Chantal Goya, Catherine-Isabelle Duport, Michel Debord, Marlène Jobert",Jean-Luc Godard,"Max, Max Amazon Channel, Criterion Channel ",,,"SF Studios, Sandrews, Anouchka Films, Argos Films",http://rialtopictures.com/masculine.html
"Texas, Adios",93,Italian,A Texan sheriff and his younger brother travel across the border into Mexico to confront the man who killed their father.,1966,Western,"sheriff, murder, gunfight, revolutionary, spaghetti western","Elisa Montés, Alberto Dell'Acqua, Franco Nero, José Guardiola, Livio Lorenzon",Ferdinando Baldi,"Night Flight Plus, Full Moon Amazon Channel ","Vudu, Microsoft Store ","Vudu, Microsoft Store ","Estela Films, B.R.C. Produzione Film",Unknown
Django,93,Italian,A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a merciless masked clan and a band of Mexican revolutionaries.,1966,"Action, Western","hitman, coffin, lone wolf, stetson, spaghetti western, django","Eduardo Fajardo, Franco Nero, Loredana Nusciak, José Bódalo, Ángel Álvarez",Sergio Corbucci,"Fandor, Fandor Amazon Channel, IndieFlix, ARROW, Midnight Pulp ","Apple TV, Amazon Video, Google Play Movies, Vudu ","Apple TV, Amazon Video, Google Play Movies, Vudu ","Tecisa Film, B.R.C. Produzione Film",Unknown
Alfie,114,English,A young man leads a promiscuous lifestyle until several life reversals make him rethink his purposes and goals in life.,1966,"Comedy, Drama, Romance","london, england, based on play or musical, womanizer, playboy, breaking the fourth wall, unwanted pregnancy, stray dog, old-age home","Millicent Martin, Shelley Winters, Jane Asher, Michael Caine, Julia Foster",Lewis Gilbert,"Paramount Plus Apple TV Channel , Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Paramount, Lewis Gilbert Productions",Unknown
The Bible: In the Beginning...,175,English,"Covering only the first 22 chapters of the Book of Genesis, vignettes include: Adam and Eve frolicking in the Garden of Eden until their indulgence in the forbidden fruit sees them driven out; Cain murdering his brother Abel; Noah building an ark to preserve the animals of the world from the coming flood; and Abraham making a covenant with God.",1966,"Adventure, History, Drama","epic, tower of babel, genesis, bible, anthology, flood, old testament, garden of eden, noah, noah's ark, adam and eve, abraham, christian film","Ulla Bergryd, Richard Harris, Stephen Boyd, John Huston, Michael Parks",John Huston,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Thalia AG, DDL Cinematografica, Seven Arts Productions, 20th Century Fox",Unknown
Frankie and Johnny,87,English,"Johnny is a riverboat entertainer with a big gambling problem. After a fortune-teller tells Johnny how he can change his luck, the appearance of a new 'lady luck' soon causes a cat fight with Johnny's girlfriend, Frankie.",1966,"Comedy, Music, Romance",riverboat,"Nancy Kovack, Donna Douglas, Harry Morgan, Elvis Presley, Sue Ane Langdon",Frederick de Cordova,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Edward Small Productions,Unknown
Daisies,76,Czech,Two teenage girls embark on a series of destructive pranks in which they consume and destroy the world around them.,1966,"Comedy, Drama","eroticism, feminism, collage, teenage girl, rebellious youth, flapper, woman director, repeated line, phallic symbol, dumbwaiter, sound effect, czech new wave, crazy girl","Jitka Cerhová, Julius Albert, Helena Anýžová, Jan Klusák, Ivana Karbanová",Věra Chytilová,"Max, Max Amazon Channel, Criterion Channel ",Apple TV ,Apple TV ,Filmové studio Barrandov,Unknown
Don't Look Now... We're Being Shot At!,132,French,"During World War II, two French civilians and a downed British Bomber Crew set out from Paris to cross the demarcation line between Nazi-occupied Northern France and the South. From there they will be able to escape to England. First, they must avoid German troops - and the consequences of their own blunders.",1966,"Comedy, War","opera, paris, france, general, world war ii, conductor, bomber, paratroops, french resistance, british soldier, nazi occupation, house painter, 1940s, occupied france, royal air force","Bourvil, Terry-Thomas, Claudio Brook, Mike Marshall, Louis de Funès",Gérard Oury,,,,"Les Films Corona, The Rank Organisation",Unknown
