Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Romance of the West Chamber,92,Unknown,"Cheung, a 23-year-old unmarried travelling scholar, stops by the monastery, where he sees a beautiful woman. Against the rules, Monk Faben allows Cheung to stay and woo the girl, Ann-Ann. She is shy, and also the Prime Minister's daughter, so the wooing is arranged by Ann-Ann's maid Hung.",1997,"History, Romance",erotic movie,"Chisato Kawamura, Teresa Mak Ka-Kei, Karen Yeung Ga-Ling, Jimmy Wong Shu-Kei, Elvis Tsui Kam-Kong",Lam Yee Hung,,,,Heart Lover Entertainment Co. Ltd.,Unknown
Beverly Hills Ninja,88,English,"Haru, an orphaned American who washes ashore in Japan and is mistaken for the great White Ninja of legend. Raised among the finest Ninjas, Haru grows strong and big - very big. With the grace of all Three Stooges rolled into one body, Haru is an embarrassment to his clan. But when a beautiful blonde pleads for his help, Haru is given one dangerous, disastrously funny chance to prove himself.",1997,"Comedy, Action","japan, ninja fighter, clumsy fellow, overweight man, teacher, falling in love, school life","Chris Farley, Nathaniel Parker, Chris Rock, Robin Shou, Nicollette Sheridan",Dennis Dugan,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Motion Picture Corporation of America, TriStar Pictures",Unknown
Mimic,105,English,"A disease carried by common cockroaches is killing Manhattan children. In an effort to stop the epidemic an entomologist, Susan Tyler, creates a mutant breed of insect that secretes a fluid to kill the roaches. This mutant breed was engineered to die after one generation, but three years later Susan finds out that the species has survived and evolved into a large, gruesome monster that can mimic human form.",1997,"Horror, Science Fiction","experiment, insect, mutation, cockroach, giant insect, nest, creature, disease, scientist, epidemic, evolution, sewer, manhattan, new york city, virus, tunnel, animal horror","Jeremy Northam, Josh Brolin, Alexander Goodwin, Mira Sorvino, Alix Koromzay",Guillermo del Toro,Showtime Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Dimension Films,Unknown
12 Angry Men,117,English,"During the trial of a man accused of his father's murder, a lone juror takes a stand against the guilty verdict handed down by the others as a result of their preconceptions and prejudices.",1997,"Crime, Drama, TV Movie","death penalty, right and justice, court, judge, jurors, revelation, trial, jury, remake, lawyer, argument, xenophobia, judicial system","Dorian Harewood, Ossie Davis, Armin Mueller-Stahl, George C. Scott, Courtney B. Vance",William Friedkin,,Amazon Video ,Amazon Video ,MGM Television,Unknown
The Peacemaker,124,English,"When a train carrying atomic warheads mysteriously crashes in the former Soviet Union, a nuclear specialist discovers the accident is really part of a plot to cover up the theft of the weapons. Assigned to help her recover the missing bombs is a crack Special Forces Colonel.",1997,"Action, Thriller","helicopter, politics, nuclear missile, bridge, train crash, train, terrorism, military, woman director, based on magazine, newspaper or article","George Clooney, Nicole Kidman, Aleksandr Baluev, Marcel Iureș, Rene Medvešek",Mimi Leder,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",DreamWorks Pictures,Unknown
The Fifth Element,126,English,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",1997,"Adventure, Fantasy, Action, Thriller, Science Fiction","new york city, flying car, taxi, egypt, race against time, saving the world, cyborg, dystopia, anti hero, stowaway, space travel, arms dealer, alien life-form, end of the world, priest, shootout, police chase, cab driver, cyberpunk, archaeologist, space opera, military, opera singer, futuristic city, ancient evil, cruise liner, elemental, hieroglyphics, spaceship, good versus evil, alien robot","Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich, Chris Tucker",Luc Besson,"AMC Plus Apple TV Channel , AMC+ Amazon Channel, AMC+ Roku Premium Channel, AMC ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Gaumont, Columbia Pictures",Unknown
Boogie Nights,156,English,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",1997,Drama,"adultery, pornography, robbery, husband wife relationship, drug abuse, 1970s, cocaine, porn actor, custody battle, rags to riches, coming of age, alter ego, los angeles, california, drugs, porn industry, disco, voyeurism, 1980s, big dick, mother son relationship","Mark Wahlberg, Burt Reynolds, Julianne Moore, Don Cheadle, John C. Reilly",Paul Thomas Anderson,Showtime Apple TV Channel ,"Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","New Line Cinema, Lawrence Gordon Productions",Unknown
Neon Genesis Evangelion: Death and Rebirth,101,Japanese,"Originally a collection of clips from the Neon Genesis Evangelion TV series, Death was created as a precursor to the re-worked ending of the series. Rebirth was intended as that re-worked ending, but after production overruns Rebirth became only the first half of the first part of The End of Evangelion, with some minor differences.",1997,"Animation, Drama, Science Fiction","surrealism, mecha, giant robot, piloted robot, anime, based on tv series","Kotono Mitsuishi, Megumi Ogata, Megumi Hayashibara, Fumihiko Tachiki, Yuko Miyamura","Seiji Mizushima, Ken Ando, Tetsuya Watanabe, Shoichi Masuo, Tsuyoshi Kaga, Akira Takamura, Tensai Okamura, Masayuki, Masahiko Otsuka, Kazuya Tsurumaki, Hideaki Anno, Hiroyuki Ishido, Minoru Ohara, Naoyasu Habu",Netflix basic with Ads ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ",,"GAINAX, Production I.G",http://www.deathandrebirth.com/
An American Werewolf in Paris,98,English,An American man unwittingly gets involved with werewolves who have developed a serum allowing them to transform at will.,1997,"Horror, Comedy, Fantasy","paris, france, meat, werewolf, cowardliness","Julie Delpy, Julie Bowen, Phil Buckman, Vince Vieluf, Tom Everett Scott",Anthony Waller,fuboTV ,Amazon Video ,Amazon Video ,"Hollywood Pictures, Cometstone Pictures, J&M Entertainment, Avrora Media, Président Films, Delux Productions, Stonewood Communications, Propaganda Films, PolyGram Filmed Entertainment",Unknown
Booty Call,79,English,"Rushon is sexually pent-up and ready to take thing things to the next level with his girlfriend, Nikki. But when he calls for a date, she asks to make it a double — bringing along her brash friend, Lysterine, whom Rushon sets up with his lewd buddy, Bunz. Things go better than expected. As the evening transitions from the restaurant to the bedroom, the two men go on a madcap search for what will surely make the night complete: condoms.",1997,Comedy,"friendship, date, sexuality, male friendship, blind date, female friendship, romantic comedy, vulgarity, best friend, chinese restaurant, racial stereotype, buddy comedy, female buddy","Tamala Jones, Jamie Foxx, Tommy Davidson, Amy Monique Waddell, Vivica A. Fox",Jeff Pollack,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Columbia Pictures, The Turman-Morrissey Company",Unknown
