Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Lion King,89,English,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",1994,"Family, Animation, Drama","father murder, loss of loved one, africa, lion, manipulation, redemption, musical, uncle, murder, warthog, shaman, king, scar, family, hyena, meerkat, nature, mandrill","Moira Kelly, Matthew Broderick, Robert Guillaume, Nathan Lane, Ernie Sabella","Rob Minkoff, Roger Allers",Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Walt Disney Pictures, Walt Disney Feature Animation",http://movies.disney.com/the-lion-king
Ancient Chinese Whorehouse,96,Unknown,"Madam Five and carpenter Kong work together managing a famous whorehouse. Kong's apprentice Yat fails to get along with Ching due to a misunderstanding between them. Luckily, the appearance of a murderous rapist helps to resolve the misunderstanding between them. It also unites the group to defend against the sex maniac and to rebuild Madam Five's business at a new location.",1994,"Comedy, Romance",brothel,"Kent Cheng Jak-Si, Shing Fui-On, Dick Lau Tik-Chi, Yvonne Yung Hung, Suet-Ngan Ching",Ivan Lai Kai-Ming,,,,,Unknown
Timecop,99,English,"An officer for a security agency that regulates time travel, must fend for his life against a shady politician who has a tie to his past.",1994,"Thriller, Science Fiction, Action, Crime","martial arts, time travel, based on comic, alternative reality","Jean-Claude Van Damme, Bruce McGill, Gloria Reuben, Ron Silver, Mia Sara",Peter Hyams,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Renaissance Pictures, Dark Horse Entertainment, Largo Entertainment, Signature Pictures, JVC, Universal Pictures",Unknown
Legend of the Red Dragon,95,Unknown,"A young father and his infant son are beset by forces of evil and corruption. They wander China, upholding their sense of honor and protecting the weak. When they are forced into combat, spectacular and hilarious fast-motion kung fu sequences follow. In the end, they must call on all of their abilities in a battle royale, to attempt to vanquish a supernatural man-monster or die trying.",1994,"Action, Comedy, Adventure","kung fu, shaolin, shaolin kung fu, shaolin monk","Chan Chung-Yung, Chingmy Yau, Tse Miu, Damian Lau, Jet Li",Wong Jing,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Eastern Productions,Unknown
Clear and Present Danger,141,English,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,1994,"Action, Drama, Thriller","sniper, cia, helicopter, assassination, usa president, based on novel or book, ambush, espionage, politics, drug trafficking, intelligence, mercenary, coast guard, car bomb, caravan, sequel, cali colombia, covert operation, drug cartel, shootout, explosion, jack ryan, dea agent, ex military, political thriller, political cover-up, medellin cartel, bogota, colombia, intelligence service, cia analyst, fbi director","Anne Archer, Henry Czerny, Willem Dafoe, Harrison Ford, Joaquim de Almeida",Phillip Noyce,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Paramount, Mace Neufeld Productions, Robert Rehme Productions",Unknown
The Last Seduction,110,English,A devious femme fatale steals her husband’s drug money and hides out in a small town where she meets the perfect dupe for her next scheme.,1994,"Thriller, Crime, Romance, Drama","femme fatale, money, drugs, loan shark, neo-noir, erotic thriller","J.T. Walsh, Peter Berg, Bill Nunn, Bill Pullman, Linda Fiorentino",John Dahl,,"Apple TV, Amazon Video, Vudu ","Apple TV, Amazon Video, Vudu ","October Films, ITC Entertainment",Unknown
Junior,109,English,"A research scientist becomes the world's first pregnant man in order to test a drug he and a colleague have designed for expectant women. To carry out the trial, he has an embryo implant, believing that he will only carry the baby for three months – hardly expecting to face the prospect of giving birth.",1994,"Comedy, Science Fiction","baby, media, pregnancy, medicine, scientist, male pregnancy, fertility, gynaecology, ceasarean birth","Emma Thompson, Danny DeVito, Frank Langella, Arnold Schwarzenegger, Pamela Reed",Ivan Reitman,Starz Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Northern Lights Entertainment, Universal Pictures",Unknown
Ri¢hie Ri¢h,95,English,"Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day.",1994,"Comedy, Family","wealthy, billionaire, family","Jonathan Hyde, Christine Ebersole, Macaulay Culkin, John Larroquette, Edward Herrmann",Donald Petrie,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Davis Entertainment, Silver Pictures, Warner Bros. Pictures",Unknown
3 Ninjas Kick Back,93,English,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",1994,"Family, Adventure, Action, Comedy","underdog, friendship, hero, sibling relationship, treasure hunt, rivalry, friends, revenge, escapade, young heroes, vigilantism, heroic mission, buddies, master villain, master warrior, contests and competitions","Victor Wong, Max Elliott Slade, J. Evan Bonifant, Caroline Junko King, Sean Fox",Charles T. Kanganis,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","TriStar Pictures, Sheen Productions, Leeds/Ben-Ami Productions",Unknown
New Nightmare,112,English,Cast and crew from earlier A Nightmare on Elm Street installments are terrorized by Freddy Krueger and his razor-fingered glove as he crosses over into the real world.,1994,"Horror, Mystery, Fantasy","fire, dream, nightmare, sadism, kidnapping, psychopath, movie business, supernatural, earthquake, insomnia, mascot, ohio, celebrity, alternate dimension, murder, fame, hospital, slasher, hollywood, storytelling, alternate reality, self-referential, reboot, disfigurement, sleepwalking, nightmare becomes reality, supernatural horror","Heather Langenkamp, Robert Englund, David Newsom, Wes Craven, Miko Hughes",Wes Craven,,"Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",New Line Cinema,Unknown
