Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Two-Gun Mickey,8,English,"Minnie rides into town and takes a large sack of money out of the bank. Pegleg Pete gathers his gang to take it from her, and they chase her out of town. Lonesome cowboy Mickey, who met Minnie earlier and was told she could take care of herself, sees this chase unfolding from his high perch, and rides down to save the day.",1934,"Animation, Western, Comedy","wild west, short film","Billy Bletcher, Marcellite Garner, Walt Disney",Ben Sharpsteen,,,,Walt Disney Productions,Unknown
The Hearts of Age,8,English,"A colonial scene in the U.S. An old lady sits astride a bell while a man in blackface, wig, and livery pulls the bell rope. From an upper door emerges an old man, dressed as a dandy, who tips his hat to the woman as he walks down stairs grinning. Others leave the same door and walk down the same stairs: a shabby man, a cop, and, several times, the same dandy. The man in blackface hangs himself; the dandy continues to smile. A bell tolls, a grave beckons. In the dark, the dandy plays the piano. Is he Death? The Hearts of Age is the first film made by Orson Welles. The film is an eight-minute short, which he co-directed with William Vance in 1934. The film stars Welles' first wife, Virginia Nicholson, as well as Welles himself. He made the film while attending the Todd School for Boys, in Woodstock, Illinois, at the age of 19.",1934,Fantasy,short film,"Edgerton Paul, Orson Welles, William Vance, Virginia Nicholson","Orson Welles, William Vance",,,,,Unknown
Going Bye-Bye!,21,English,"In a packed courtroom, Butch Long vows revenge on 'squealers' Laurel and Hardy whose evidence has helped to send him to prison. Frightened, the boys plan to leave town and advertise for someone to share expenses with them. The woman who answers the ad is actually Butch's girlfriend. Meanwhile Butch escapes and hides in a trunk in his girlfriend's apartment where he gets locked inside. Not realizing who it is, Stan and Ollie finally manage to get the trunk open and then Butch exacts his revenge.",1934,Comedy,"newspaper, trunk, milk, jury, automobile, black and white, short film","Stan Laurel, Oliver Hardy, Baldwin Cooke, Mae Busch, Walter Long",Charley Rogers,,Apple TV ,,Hal Roach Studios,Unknown
Judge Priest,80,English,"Judge Priest, a proud Confederate veteran, restores the justice in a small town in the Post-Bellum Kentucky using his common sense and his great sense of humanity.",1934,"Comedy, Drama, Romance","judge, nephew, veteran","Will Rogers, David Landau, Tom Brown, Henry B. Walthall, Anita Louise",John Ford,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Pure Flix, Classix, Fandor Amazon Channel, FlixFling, FilmBox+ ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling ",Fox Film Corporation,Unknown
The Case of the Howling Dog,74,English,"A very nervous man named Cartwright comes into Perry's office to have the neighbor arrested for his howling dog. He states that the howling is a sign that there is a death in the neighborhood. He also wants a will written giving his estate to the lady living at the neighbors house. It is all very mysterious and by the next day, his will is changed and Cartwright is missing, as is the lady of the house next door. Perry has a will and a retainer and must find out whether he has a client or a beneficiary.",1934,"Crime, Mystery","based on novel or book, pre-code, perry mason","Helen Trenholme, Mary Astor, Warren William, Allen Jenkins, Grant Mitchell",Alan Crosland,,,,Warner Bros. Pictures,Unknown
Cleopatra,100,English,The queen of Egypt barges the Nile and flirts with Mark Antony and Julius Caesar.,1934,"History, Drama, Romance","epic, egypt, roman empire, cleopatra, ancient rome, pre-code, ancient egypt, alexandria egypt, 1st century bc","Ian Keith, Henry Wilcoxon, Claudette Colbert, Warren William, Joseph Schildkraut",Cecil B. DeMille,,,,Paramount,Unknown
Gulliver Mickey,8,English,"Mickey is first seen reading Gulliver's Travels while the mice orphan children are pretending to be sailors. After ruining their game Mickey tries to make it up to them by retelling the Liliput sequences of Gulliver's Travels pretending it was a real event that happened to him by portraying the role of Gulliver. The story ends with Mickey saving the town from a giant spider (Pete). However after telling the story, one of the children dangles a fake spider attached to a fishing rod which scares Mickey out of his witts.",1934,"Animation, Comedy","cartoon, short film","Marcellite Garner, Walt Disney, Clarence Nash",Burt Gillett,,,,Walt Disney Productions,Unknown
Poor Cinderella,11,English,"In the only Betty Boop color cartoon, Cinderella (Betty) goes to the ball thanks to her fairy godmother. Later, only her foot fits the glass slipper.",1934,"Animation, Fantasy, Family","fairy tale, ball, transformation, prince, musical, fairy godmother, happy ending, slipper, cinderella","Jack Mercer, Bonnie Poe",Dave Fleischer,Classix ,,,Fleischer Studios,Unknown
Woman in the Dark,68,English,"A recently released prisoner lives alone in his cabin so that his bad temper won't get him back in any more trouble, but his peaceful existence is disrupted when a mysterious woman arrives.",1934,"Crime, Drama","sheriff, release from prison, cabin, ex-con, pre-code, killing a dog, pipe smoking, damsel in distress","Ruth Gillette, Fay Wray, Roscoe Ates, Ralph Bellamy, Melvyn Douglas",Phil Rosen,,Amazon Video ,,Select Pictures Corporation,Unknown
The Goddess,85,Chinese,"A young prostitute, who is trying to give her infant son a good start in life, must contend with a coercive pimp and the prejudices of others.",1934,Drama,silent film,"Keng Li, Zhang Zhizhi, Junpan Li, Huaiqiu Tang, Ruan Lingyu",Yonggang Wu,,,,Lianhua Film Company,Unknown
