Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Cowboy from Brooklyn,77,English,A singing cowboy turns out to be a tenderfoot.,1938,"Comedy, Western",singing cowboy,"Pat O’Brien, Priscilla Lane, Dick Foran, Dick Powell, Ann Sheridan",Lloyd Bacon,,,,"Cosmopolitan Productions, Warner Bros. Pictures",Unknown
Boys' School,98,French,"In a college, three friends form a secret society. Their objective - going to America. One night, after one of their secret meetings, one of them sees a man coming out from a wall. The next day, after he talks about it, he disappears. Then, the second one vanishes. Are they gone to their dreams? That's when the art teacher is murdered. Suspicions now are too high so the third one decides to investigate.",1938,"Adventure, Drama, Mystery",None,"Serge Grave, Michel Simon, Marcel Mouloudji, Armand Bernard, Erich von Stroheim",Christian-Jaque,,,,Dimeco Productions,Unknown
Brave Little Tailor,9,English,"When a giant threatens the land, the cityfolk mistake Mickey's boast of killing seven flies with one blow to be giants. He is then forced to fight the giant for real.",1938,"Animation, Fantasy, Comedy","cartoon, brothers grimm, giant, short film","Marcellite Garner, Walt Disney, Eddie Holden","Bill Roberts, Burt Gillett",Disney Plus ,,,Walt Disney Productions,Unknown
"Luciano Serra, Pilot",102,Italian,"Successful WWI pilot Luciano Serra has problems adjusting to an ordinary life in peace, so he leaves his family and becomes a pilot in America. In the 30s, his son in Italy wants also to become a pilot, and Luciano accepts an offer of a double dealing agent for a flight from Rio to Rome, but his plane crashes in the Atlantic. For the world Luciano Serra is missing, but he has entered the Italian army under a new name to fight in Ethiopia. The train in which his unit travels is attacked by Ethiopian soldiers, his son flying a reconasaince mission is shot down and wounded by the same attacking enemies. Will Luciano be able to fly the plane back, to get close air support for the outnumbered Italian troups?",1938,"War, Drama",None,"Amedeo Nazzari, Guglielmo Sinaz, Mario Ferrari, Roberto Villa, Germana Paolieri",Goffredo Alessandrini,,,,Aquila Cinematografica,Unknown
Alexander Nevsky,109,Russian,"When German knights invade Russia, Prince Alexander Nevsky must rally his people to resist the formidable force. After the Teutonic soldiers take over an eastern Russian city, Alexander stages his stand at Novgorod, where a major battle is fought on the ice of frozen Lake Chudskoe. While Alexander leads his outnumbered troops, two of their number, Vasili and Gavrilo, begin a contest of bravery to win the hand of a local maiden.",1938,"Drama, History, War","battle, alexandre nevski, alexander nevsky, 13th century","Lev Fenin, Valentyna Ivashova, Nikolai Okhlopkov, Nikolai Cherkasov, Andrei Abrikosov","Sergei Eisenstein, Dmitriy Vasilev","Criterion Channel, IndieFlix ",Apple TV ,Apple TV ,Mosfilm,Unknown
Dangerous to Know,70,English,"Racketeer Steve Recka, art patron and political power-maker, rules his town and Madame Lan Ying, his beautiful friend and hostess (read:mistress), with an iron hand. He meets Margaret Van Kase, a socialite not impressed by his power nor his wealth, having no money herself, and Steve makes frantic efforts to win her and turns away from the loyal Lin Yang.",1938,"Crime, Drama, Mystery",gangster,"Lloyd Nolan, Akim Tamiroff, Anthony Quinn, Gail Patrick, Anna May Wong",Robert Florey,,,,Paramount,Unknown
The Duke of West Point,96,English,A cocky new West Point cadet from Cambridge is given the cold shoulder by his classmates because of his rule-breaking antics.,1938,"Action, Drama, Romance",None,"Alan Curtis, Richard Carlson, Joan Fontaine, Tom Brown, Louis Hayward",Alfred E. Green,,,,,Unknown
Billy The Kid Returns,53,English,"After Pat Garrett kills Billy the Kid, Billy's look-alike Roy Rogers arrives and is mistaken for him. Although a murderer, Billy was on the side of the homesteaders against the large ranchers. As Billy's death is unknown, Roy gets Garrett to let him pose as Billy to continue the fight, but without the killing.",1938,"Action, Western, Music, Comedy",singing cowboy,"Lynne Roberts, Fred Kohler, Roy Rogers, Smiley Burnette, Wade Boteler",Joseph Kane,"Amazon Prime Video, fuboTV, MGM Plus Roku Premium Channel, Fandor Amazon Channel, FlixFling ",FlixFling ,FlixFling ,Republic Pictures,Unknown
Suez,104,English,"Ferdinand de Lesseps, disappointed in love, is sent as a junior diplomat to the Isthmus of Suez, and realizes it's just the place for a canal.",1938,"Drama, History, Romance","egypt, napoleon bonaparte, false accusations, power struggle","Annabella, Loretta Young, J. Edward Bromberg, Joseph Schildkraut, Tyrone Power",Allan Dwan,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",20th Century Fox,Unknown
The Saint in New York,69,English,"A crime spree in New York forces the police commissioner to turn to Englishman Simon Templar, who fights lawlessness and corruption through unorthodox methods. Templar sets his sights on individual crimes bosses, and after bringing down two vicious leaders through disguise and deception, discovers that there is a mastermind behind all the city's crime.",1938,"Crime, Thriller",the saint,"Sig Ruman, Jack Carson, Jonathan Hale, Louis Hayward, Kay Sutton",Ben Holmes,,,,RKO Radio Pictures,Unknown
The Night Hawk,63,English,"Gangster Charlie McCormick despairs as his young brother Bobby lays near death and vows to break the quarantine of the ocean liner Pacific Queen in order to retrieve the iron lung Bobby needs. Meanwhile, newspaper editor Lonigan searches for reporter Slim Torrence, because Slim is friends with Tom Niles, the customs officer on the verge of cracking a whiskey smuggling case. Lonigan is about to send another reporter to cover the story when Della Parrish, the publisher's daughter, assures him that she can locate Slim. With the help of Slim's young photographer, Willie Sing, Della finds Slim in a waterfront dive, and Willie and Slim sneak aboard the Pacific Queen to find Niles. Niles hints that McCormick is the head of the smuggling ring and promises Slim an exclusive when he breaks the story the next day.",1938,"Crime, Drama",None,"Robert Armstrong, Lucien Littlefield, Ben Welden, Robert Livingston, June Travis",Sidney Salkow,,,,Republic Pictures,Unknown
The Terror of Tiny Town,62,English,"Using a conventional Western story with an all dwarf cast, the filmmakers were able to showcase gags such as cowboys entering the local saloon by walking under the swinging doors, and pint-sized cowboys galloping around on Shetland ponies while roping calves.",1938,"Comedy, Western","musical, little people","'Little Billy' Rhodes, Billy Curtis, John T. Bambury, Yvonne Moray, Billy Platt",Sam Newfield,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus, Classix, Fandor Amazon Channel, FilmBox+ ",Amazon Video ,Amazon Video ,"Columbia Pictures, Jed Buell Productions",Unknown
The Lady Vanishes,96,English,"On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly.",1938,"Mystery, Thriller, Comedy, Romance","espionage, secret agent, flowerpot, concussion, search for witnesses, gay interest, conspiracy, train, british spy, old lady, missing person, magician","Basil Radford, Michael Redgrave, Paul Lukas, Margaret Lockwood, May Whitty",Alfred Hitchcock,"Max, Max Amazon Channel, Criterion Channel, Fandor, Classix, IndieFlix ","Apple TV, Amazon Video ","Apple TV, Amazon Video ","Gainsborough Pictures, MGM",Unknown
Room Service,78,English,Broke Gordon Miller tries to land a backer for his new play while he has to deal with with the hotel manager trying to evict him and his cast.,1938,Comedy,"hotel, room service","Lucille Ball, Ann Miller, Chico Marx, Groucho Marx, Harpo Marx",William A. Seiter,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",RKO Radio Pictures,Unknown
Marie Antoinette,149,English,"The young Austrian princess Marie Antoinette is arranged to marry Louis XVI, future king of France, in a politically advantageous marriage for the rival countries. The opulent Marie indulges in various whims and flirtations. When Louis XV passes and Louis XVI ascends the French throne, his queen's extravagant lifestyle earns the hatred of the French people, who despise her Austrian heritage.",1938,"Drama, History","epic, revolution, locksmith, french revolution, marie antoinette, versailles, 18th century, dauphin","John Barrymore, Norma Shearer, Robert Morley, Tyrone Power, Anita Louise",W.S. Van Dyke,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Metro-Goldwyn-Mayer,Unknown
Jezebel,103,English,"In 1850s Louisiana, the willfulness of a tempestuous Southern belle threatens to destroy all who care for her.",1938,"Drama, Romance","love of one's life, southern usa, self-destruction, new orleans, louisiana, louisiana, yellow fever, female protagonist, epidemic, pride, vanity, southern belle","George Brent, Margaret Lindsay, Henry Fonda, Donald Crisp, Bette Davis",William Wyler,,"Apple TV, Google Play Movies, YouTube, Vudu ","Apple TV, Google Play Movies, YouTube, Vudu, Spectrum On Demand ",Warner Bros. Pictures,Unknown
La Bête Humaine,98,French,"Returning by train to the French port of Le Havre, Jacques Lantier, a tormented railwayman, meets by chance the impulsive stationmaster Roubard and Séverine, his wife.",1938,"Drama, Romance, Thriller","husband wife relationship, family secrets, le havre, france, troubled marriage, railwayman, traumatized man, railway, inspired by novel or book","Blanchette Brunoy, Julien Carette, Jean Gabin, Simone Simon, Fernand Ledoux",Jean Renoir,Criterion Channel ,Apple TV ,Apple TV ,Paris Film Production,Unknown
Donald's Golf Game,8,English,"Donald Duck tries to exhibit his golfing ability to his nephews only to have them tease him with sneezes, noises and ""trick"" clubs. Finally, they put a grasshopper in a ball and it ""jumps"" all over.",1938,"Animation, Comedy",None,Clarence Nash,Jack King,Disney Plus ,,,Walt Disney Productions,Unknown
Farmyard Symphony,8,English,"The farm comes to life, to various classical tunes. The high point is a rooster serenading a chicken, with all the animals joining in. But then comes the sound that's even more welcome to the animals: the farmer and his wife with food (the only actual words spoken).",1938,"Animation, Music",short film,"Billy Bletcher, Lee Sweetland, Clarence Nash, Florence Gill",Jack Cutting,,,,Walt Disney Productions,Unknown
The Great Waltz,104,English,Composer Johann Strauss risks his marriage over his infatuation with a beautiful singer.,1938,"Drama, Music, Romance","biography, opera singer","Fernand Gravey, Miliza Korjus, Luise Rainer, Lionel Atwill, Hugh Herbert",Julien Duvivier,,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ","Metro-Goldwyn-Mayer, Loew's Incorporated",Unknown
Bulldog Drummond in Africa,58,English,Drummond has to leave for Morocco on his wedding day with his fiancee and trusted friends to rescue his friend Nielsen who is kidnapped by an international criminal.,1938,"Action, Adventure","africa, secret agent, bulldog drummond","Heather Angel, John Howard, H.B. Warner, Reginald Denny, J. Carrol Naish",Louis King,"Criterion Channel, IndieFlix, FilmBox+ ","Amazon Video, Google Play Movies, YouTube ","Amazon Video, Google Play Movies, YouTube ",Paramount,Unknown
Polar Trappers,8,English,Donald and Goofy are trappers in the frozen south (Antarctica) with different approaches. Donald sees a penguin and dresses as one to lure her to the chopping block; Goofy baits a trap with fish (then acts like a walrus to capture one that steals his bait bucket).,1938,"Animation, Comedy","walrus, antarctica, south pole, penguins, short film","Pinto Colvig, Clarence Nash",Ben Sharpsteen,,,,Walt Disney Productions,Unknown
Duchacek Will Fix It,86,Czech,,1938,Comedy,based on play or musical,"Karel Máj, Milada Gampeová, Adina Mandlová, Vlasta Burian, Ladislav Hemmer",Karel Lamač,,,,Metropolitan,Unknown
Mickey's Parrot,8,English,"A parrot belonging to an escaped killer washes up in Mickey's basement. Mickey hears it talking and thinks the parrot is the killer he's just heard about on the radio. While Mickey is skulking about the basement, Pluto runs into the parrot, first hidden under the fish, and then inside a leftover turkey.",1938,Animation,"cartoon, parrot, short film","Pinto Colvig, Walt Disney",Bill Roberts,,,,Walt Disney Productions,Unknown
Boys Town,96,English,"Devout but iron-willed Father Flanagan leads a community called Boys Town, a different sort of juvenile detention facility where, instead of being treated as underage criminals, the boys are shepherded into making themselves better people. But hard-nosed petty thief and pool shark Whitey Marsh, the impulsive and violent younger brother of an imprisoned murderer, might be too much for the good father's tough-love system.",1938,Drama,"priest, juvenile delinquent, lincoln nebraska, boys' boarding school, nebraska, reform, accident, boys town","Leslie Fenton, Mickey Rooney, Henry Hull, Spencer Tracy, Gene Reynolds",Norman Taurog,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Metro-Goldwyn-Mayer,Unknown
Vivacious Lady,90,English,College town life gets turned upside down after a button-down botany professor secretly weds a sizzling night-club singer.,1938,"Comedy, Romance","marriage crisis, professor, marriage, love, suitor","James Ellison, Beulah Bondi, Ginger Rogers, James Stewart, Charles Coburn",George Stevens,,,,RKO Radio Pictures,Unknown
Algiers,96,English,"Pepe Le Moko is a notorious thief, who escaped from France. Since his escape, Moko has become a resident and leader of the immense Casbah of Algiers. French officials arrive insisting on Pepe's capture are met with unfazed local detectives, led by Inspector Slimane, who are biding their time. Meanwhile, Pepe meets the beautiful Gaby, which arouses the jealousy of Ines.",1938,"Drama, Mystery, Romance, Crime","jealousy, based on novel or book, remake, thief, fugitive, algiers, algeria, wanted man, casbah","Joseph Calleia, Sigrid Gurie, Charles Boyer, Hedy Lamarr, Alan Hale",John Cromwell,"fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, Pure Flix, Classix, Fandor Amazon Channel, FlixFling ","Amazon Video, FlixFling ","Amazon Video, FlixFling ","United Artists, Walter Wanger Productions",Unknown
Women Are Like That,79,English,"Businesswoman Claire King is the daughter of a powerful advertising executive. When Claire marries humble copywriter Bill Landin, she wants to use her influence to help her husband get ahead, but he will have none of it.",1938,Drama,"london, england, wedding anniversary, regeneration, tunisia","Pat O’Brien, Thurston Hall, Melville Cooper, Kay Francis, Ralph Forbes",Stanley Logan,,Amazon Video ,Amazon Video ,Warner Bros. Pictures,Unknown
Four's a Crowd,93,English,A publicist falls for his most difficult client's daughter.,1938,"Comedy, Romance","newspaper, reporter","Patric Knowles, Walter Connolly, Errol Flynn, Rosalind Russell, Olivia de Havilland",Michael Curtiz,,,,Warner Bros. Pictures,Unknown
Test Pilot,118,English,Jim is a test pilot. His wife Ann and best friend Gunner try their best to keep him sober. But the life of a test pilot is anything but safe.,1938,"Drama, Romance, Adventure",test pilot,"Myrna Loy, Lionel Barrymore, Gloria Holden, Spencer Tracy, Clark Gable",Victor Fleming,,,,Metro-Goldwyn-Mayer,Unknown
