Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Punisher,89,English,"The avenging angel of Marvel Comics fame comes brilliantly to life in this searing action-adventure thriller! Dolph Lundgren stars as Frank Castle, a veteran cop who loses his entire family to a mafia car bomb. His ex-partner believes Castle survived the blast and became the Punisher, living in the sewers and exacting vigilante violence against mob bosses throughout the city. When the populace is caught in the midst of a gang war that he caused, Castle must again emerge from the shadows and save the innocent.",1989,"Action, Thriller, Crime, Drama, Romance","showdown, loss of loved one, crime fighter, superhero, villainess, gang war, based on comic, revenge, vigilante, organized crime, mafia, one man army, police officer, one against many, action hero, vigilante justice","Jeroen Krabbé, Kim Miyori, Dolph Lundgren, Bryan Marshall, Louis Gossett Jr.",Mark Goldblatt,,,,"New World Pictures, Robert Mark Kamen Productions, New World",Unknown
Uncle Buck,100,English,"Buck Russell, a lovable but slovenly bachelor, suddenly becomes the temporary caretaker of his nephew and nieces after a family emergency. His freewheeling attitude soon causes tension with his older niece Tia, loyal girlfriend Chanice and just about everyone else who crosses his path.",1989,"Comedy, Drama, Family","babysitter, backfire, attitude, tire, streetwise, drag net, crazy uncle, aftercreditsstinger, child care","John Candy, Amy Madigan, Jean Louisa Kelly, Gaby Hoffmann, Macaulay Culkin",John Hughes,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Hughes Entertainment,Unknown
Renegades,106,English,"Buster McHenry is as an undercover agent for the police. His mission involves him in a robbery. Buster gets shot but Hank Storm, an Indian, helps Buster. Since Hank wants a spear in the possession of the criminals that Buster is after, they team up.",1989,"Action, Crime, Thriller",undercover cop,"Lou Diamond Phillips, Jami Gertz, Kiefer Sutherland, Robert Knepper, Bill Smitrovich",Jack Sholder,,,,"Morgan Creek Entertainment, Universal Pictures, Interscope Communications",Unknown
A Better Tomorrow III: Love and Death in Saigon,114,Unknown,"The year is 1974. A young Hong Kong Chinese, Mark, travels to Saigon to make his fortune. There, he encounters a mysterious femme fatale, the lovely Kit. As he becomes more involved in her various underworld deals, a tragic romance develops. On the eve of the outbreak of war, Kit's past returns to endanger her, and Mark must risk everything for the one true love of his life.",1989,"War, Action, Thriller",None,"Chow Yun-fat, Tony Leung Ka-fai, Anita Mui, Saburo Tokito, Sek Kin",Tsui Hark,,,,"Golden Princess Film Production Ltd., Film Workshop",Unknown
Sea of Love,113,English,"Seen-it-all New York detective Frank Keller is unsettled - he has done twenty years on the force and could retire, and he hasn't come to terms with his wife leaving him for a colleague. Joining up with an officer from another part of town to investigate a series of murders linked by the lonely hearts columns he finds he is getting seriously and possibly dangerously involved with Helen, one of the main suspects.",1989,"Crime, Drama, Romance, Mystery, Thriller","new york city, newspaper, police, alcohol, detective, murder, serial killer, neo-noir","Al Pacino, Michael Rooker, William Hickey, Ellen Barkin, John Goodman",Harold Becker,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Universal Pictures,Unknown
DeepStar Six,105,English,The crew of an experimental underwater nuclear base are forced to struggle for their lives when their explorations disturb a creature who threatens to destroy their base.,1989,"Action, Horror, Thriller, Science Fiction","sea, ocean, deep sea, water monster, scuba diving, scuba","Miguel Ferrer, Nancy Everhard, Nia Peeples, Taurean Blacque, Greg Evigan",Sean S. Cunningham,,,"Amazon Video, Google Play Movies, YouTube, Microsoft Store ","TriStar Pictures, Carolco Pictures",Unknown
Dead Poets Society,128,English,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",1989,Drama,"individual, friendship, philosophy, poetry, literature, professor, coming of age, teacher, school play, vermont, schoolteacher, preparatory school, 1950s, teenager","Robin Williams, Josh Charles, Robert Sean Leonard, Gale Hansen, Ethan Hawke",Peter Weir,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Touchstone Pictures, Silver Screen Partners IV, A Steven Haft Production, Witt/Thomas Productions",Unknown
Heathers,103,English,"A girl who halfheartedly tries to be part of the ""in crowd"" of her school meets a rebel who teaches her a more devious way to play social politics: by killing the popular kids.",1989,"Comedy, Crime","high school, friendship, adolescence, suicide, diary, dark comedy, bully, teen movie, death, clique, bullied, provocative, absurd","Winona Ryder, Christian Slater, Lisanne Falk, Kim Walker, Shannen Doherty",Michael Lehmann,"Amazon Prime Video, Starz Apple TV Channel, AMC Plus Apple TV Channel , Starz Roku Premium Channel, Hoopla, Starz, Shudder Amazon Channel, Starz Amazon Channel, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","New World Pictures, Cinemarque Entertainment",Unknown
Drugstore Cowboy,98,English,"Portland, Oregon, 1971. Bob Hughes is the charismatic leader of a peculiar quartet, formed by his wife, Dianne, and another couple, Rick and Nadine, who skillfully steal from drugstores and hospital medicine cabinets in order to appease their insatiable need for drugs. But neither fun nor luck last forever.",1989,"Drama, Crime","drug abuse, support group, 1970s, drug addiction, junkie, portland, oregon, drugstore, group therapy, drug stealing, burglars, opioid use disorder","Kelly Lynch, Matt Dillon, James Remar, Heather Graham, James Le Gros",Gus Van Sant,"fuboTV, Paramount+ with Showtime, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Showtime, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Avenue Pictures,Unknown
Born on the Fourth of July,145,English,"Paralyzed in the Vietnam war, Ron Kovic becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",1989,"Drama, War","vietnam war, vietnam veteran, post-traumatic stress disorder (ptsd), 1970s, wheelchair, biography, based on true story, based on memoir or autobiography, desert, fourth of july, anti war, drunkenness, 1950s, 1960s","Kyra Sedgwick, Raymond J. Barry, Tom Cruise, Holly Marie Combs, Caroline Kava",Oliver Stone,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Universal Pictures, Ixtlan",Unknown
