Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Phantom of Liberty,104,French,"This Surrealist film, with a title referencing the Communist Manifesto, strings together short incidents based on the life of director Luis Buñuel. Presented as chance encounters, these loosely related, intersecting situations, all without a consistent protagonist, reach from the 19th century to the 1970s. Touching briefly on subjects such as execution, pedophilia, incest, and sex, the film features an array of characters, including a sick father and incompetent police officers.",1974,Comedy,"paris, france, society, monk, incest, anarchic comedy","Adriana Asti, Monica Vitti, Jean Rochefort, Jean-Claude Brialy, Milena Vukotić",Luis Buñuel,Criterion Channel ,,,Greenwich Film Production,Unknown
The Man with the Golden Gun,125,English,"Cool government operative James Bond searches for a stolen invention that can turn the sun's heat into a destructive weapon. He soon crosses paths with the menacing Francisco Scaramanga, a hitman so skilled he has a seven-figure working fee. Bond then joins forces with the swimsuit-clad Mary Goodnight, and together they track Scaramanga to a Thai tropical isle hideout where the killer-for-hire lures the slick spy into a deadly maze for a final duel.",1974,"Adventure, Action, Thriller","gold, exotic island, martial arts, assassin, london, england, based on novel or book, england, hitman, secret mission, villain, bangkok, thailand, thailand, floatplane, karate, hong kong, duel, secret service, aftercreditsstinger","Britt Ekland, Christopher Lee, Hervé Villechaize, Maud Adams, Roger Moore",Guy Hamilton,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","United Artists, EON Productions, Danjaq",https://www.mgm.com/movies/the-man-with-the-golden-gun
Young Frankenstein,106,English,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",1974,Comedy,"monster, experiment, assistant, castle, bride, parody, mad scientist, laboratory, spoof, horror spoof, black and white, scientist, frankenstein","Gene Wilder, Teri Garr, Marty Feldman, Peter Boyle, Cloris Leachman",Mel Brooks,,,,"Crossbow Productions, Gruskoff/Venture Films, Jouer Limited, 20th Century Fox",Unknown
Bring Me the Head of Alfredo Garcia,113,English,An American bartender and his prostitute girlfriend go on a road trip through the Mexican underworld to collect a $1 million bounty on the head of a dead gigolo.,1974,"Action, Crime, Drama","prostitute, bounty hunter, mexico, bartender, revenge, murder, gunfight, brutality, death, suitcase full of money","Gig Young, Robert Webber, Helmut Dantine, Warren Oates, Isela Vega",Sam Peckinpah,,,,"Optimus Films, Estudios Churubusco Azteca, United Artists",Unknown
Thunderbolt and Lightfoot,115,English,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organise a daring new heist.",1974,"Crime, Comedy, Action, Drama","friendship, police, road trip, outlaw","Catherine Bach, Geoffrey Lewis, Clint Eastwood, Jeff Bridges, Gary Busey",Michael Cimino,"fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Vudu, Microsoft Store ","Malpaso Productions, United Artists",Unknown
Murder on the Orient Express,128,English,"In 1935, when his train is stopped by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before.",1974,"Drama, Thriller, Mystery","based on novel or book, repayment, detective, passenger, investigation, orient express, snow, whodunit, train, murder mystery, 1930s","Albert Finney, Lauren Bacall, Ingrid Bergman, Jacqueline Bisset, Martin Balsam",Sidney Lumet,"fuboTV, Paramount+ with Showtime, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Showtime Roku Premium Channel, Showtime, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","EMI Films, G.W. Films, Agatha Christie Limited",Unknown
Emmanuelle,94,French,"Emmanuelle, a svelte, naive young woman, is en route to Bangkok where she'll join her new husband. He works for the French Embassy and has a lovely home, several dedicated servants, and an expensive car at his disposal. Once Emmanuelle arrives, her husband and a few friends introduce her to a realm of sexual ecstasy she'd never imagined.",1974,"Drama, Romance","infidelity, airplane, bangkok, thailand, sexual fantasy, sexual arousal, promiscuity, softcore, erotic movie","Alain Cuny, Daniel Sarky, Sylvia Kristel, Marika Green, Jeanne Colletin",Just Jaeckin,MUBI ,,,"Orphée Productions, Trinacra Films",Unknown
Mr. Majestyk,103,English,A melon farmer battles organized crime and a hit man who wants to kill him.,1974,"Action, Crime","immigrant, colorado, revenge, mobster, organized crime, farmer, watermelon","Linda Cristal, Paul Koslo, Lee Purcell, Charles Bronson, Al Lettieri",Richard Fleischer,"Amazon Prime Video, Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","The Mirisch Company, United Artists",Unknown
The Watchmaker of St. Paul,105,French,"Lyons, France. Michel Descombes is a watchmaker who lives alone with his teenage son Bernard. When the police visit and informs him that Bernard killed a man and is on the run with a girl, Michel realizes that he knew far less about his son than he thought .",1974,"Thriller, Drama, Crime","paris, france, parent child relationship, kommissar geiger, watchmaker, murder hunt, lyon france","Jean Rochefort, Jacques Denis, Yves Afonso, Julien Bertheau, Philippe Noiret",Bertrand Tavernier,Criterion Channel ,,Kino Now ,Lira Films,Unknown
Badlands,94,English,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,1974,"Crime, Drama, Romance","mass murder, fugitive, on the run, on the road, killing spree, south dakota, badlands, runaway couple, fugitive lovers, inspired by true events","Martin Sheen, Warren Oates, Alan Vint, Sissy Spacek, Ramon Bieri",Terrence Malick,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Pressman-Williams, Jill Jakes Production",Unknown
The Godfather Part II,202,English,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974,"Drama, Crime","italian american, cuba, italy, gangster, praise, symbolism, melancholy, revenge, organized crime, mafia, lawyer, suburb, corrupt politician","Diane Keaton, Al Pacino, Robert Duvall, John Cazale, Robert De Niro",Francis Ford Coppola,"fuboTV, Paramount Plus, Paramount Plus Apple TV Channel , Showtime, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Paramount, The Coppola Company",Unknown
The Odessa File,130,English,"Following the suicide of an elderly Jewish man, investigative journalist Peter Miller sets out to hunt down an SS Captain and former concentration camp commander. In doing so he discovers that, despite allegations of war crimes, the former commander has become a man of importance in industry in post-war Germany, protected from prosecution by a powerful organisation of former SS members called Odessa.",1974,"Drama, Thriller","suicide, assassin, based on novel or book, nazi, espionage, war crimes, mass murder, concentration camp, ss (nazi schutzstaffel), investigation, revenge, execution, war criminal","Maria Schell, Mary Tamm, Derek Jacobi, Jon Voight, Maximilian Schell",Ronald Neame,History Vault ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","John Woolf Productions, Columbia Pictures",Unknown
The Tamarind Seed,125,English,"During a Caribbean holiday, a British civil servant finds herself falling in love with a Russian agent.",1974,"Drama, Romance, Thriller","based on novel or book, cold war, barbados, caribbean sea, russian spy","Omar Sharif, Anthony Quayle, Sylvia Syms, Julie Andrews, Dan O'Herlihy",Blake Edwards,,Amazon Video ,Amazon Video ,"Lorimar Productions, Jewel Productions, AVCO Embassy Pictures, ITC Entertainment",Unknown
Mazinger Z vs The Great Dark General,43,Japanese,"Kouji and his friends have defeated Dr. Hell and are now enjoying a break, but suddenly a strange prophet appears and warns everyone of an oncoming danger, mechanical beasts never seen before start appearing all around the world wrecking havoc. Its up to Kouji and his Mazinger Z to stand up to this threat but it seems he is vastly outnumber and outmatched.",1974,"Animation, Action, Adventure","mecha, anime, super robot, based on anime, mazinger","Hiroya Ishimaru, Kazuko Sawada, Chikao Ohtsuka, Ryoichi Tanaka, Hiroshi Ôtake",Nobutaka Nishizawa,,,,"Toei Animation, Dynamic Planning",Unknown
The Arena,82,English,"Female gladiators fight to the death. Inspired by the story of Spartacus, follow the adventures of a bevy of slave girls who, upon finding themselves thrust into the gladiator ring, mount a vicious rebellion to fight their way to freedom.",1974,"Action, Adventure","gladiator, gladiator fight, ancient rome, sword fight, arrow, exploitation cinema","Daniele Vargas, Paul Müller, Pam Grier, Margaret Markov, Lucretia Love",Steve Carver,,Amazon Video ,Amazon Video ,"Rover Film, New World Pictures, San Jacinto Productions, Dany Film",Unknown
The Return of the Tall Blond Man with One Black Shoe,81,French,"With 'little captain' Cambrai raising serious doubts about the reality of the so-called ""super spy"", Colonel Toulouse kidnaps Christine and forces Francois to play again the character of ""The Tall Blond Man with One Black Shoe"" in some fake adventures. All this to stop the investigation into the death of Colonel Milan.",1974,Comedy,"mistake in person, violin, secret agent, fool, violinist, sequel, misunderstanding, shoe","Jean Rochefort, Jean Carmet, Jean Bouise, Mireille Darc, Pierre Richard",Yves Robert,,,,Gaumont,Unknown
Lenny,111,English,"The story of acerbic 1960s comic Lenny Bruce, whose groundbreaking, no-holds-barred style and social commentary was often deemed by the establishment as too obscene for the public.",1974,Drama,"adultery, husband wife relationship, court case, court, drug addiction, freedom of speech, comedian, civil rights, biography, stripper, unfaithfulness, social satire, judaism, courtroom, self destructiveness, stand-up comedian","Stanley Beck, Dustin Hoffman, Frankie Man, Jan Miner, Valerie Perrine",Bob Fosse,Hoopla ,"Apple TV, Amazon Video, Vudu, AMC on Demand ","Apple TV, Amazon Video, Vudu ",Marvin Worth Productions,Unknown
The Conversation,113,English,"Surveillance expert Harry Caul is hired by a mysterious client's brusque aide to tail a young couple. Tracking the pair through San Francisco's Union Square, Caul and his associate Stan manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple is in danger.",1974,"Crime, Drama, Mystery","shadowing, san francisco, california, technology, spy, audio tape, paranoia, wiretap, saxophone, conspiracy, tragic event, surveillance, voyeur","Frederic Forrest, Cindy Williams, Gene Hackman, John Cazale, Allen Garfield",Francis Ford Coppola,"Netflix, Netflix basic with Ads, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","The Directors Company, The Coppola Company",https://www.zoetrope.com/american-zoetrope/the.conversation
Dracula,98,English,Dracula is searching for a woman who looks like his long dead wife.,1974,"Drama, Horror, TV Movie, Romance","based on novel or book, vampire, reincarnation, romance, gothic horror, gothic, bloodsucker, gothic romance","Nigel Davenport, Murray Brown, Fiona Lewis, Simon Ward, Jack Palance",Dan Curtis,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Latglen Ltd., Dan Curtis Productions",Unknown
The Yakuza,112,English,"Harry Kilmer returns to Japan after several years in order to rescue his friend George's kidnapped daughter - and ends up on the wrong side of the Yakuza, the notorious Japanese mafia.",1974,"Crime, Drama","japan, yakuza, mafia","Ken Takakura, Robert Mitchum, Richard Jordan, Herb Edelman, Brian Keith",Sydney Pollack,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Pictures,Unknown
