Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Carom Shots,88,French,"Paul Martin is the subservient brown-nosing youngster who needs quick advancement up the hierarchy to pay for the modern lifestyle he is buying on credit. Seeing that marrying his immediate superior's daughter will not get him the results he wants, he begins plotting the demise of the head of the company. The company itself specializes in holiday travel and unscrupulously brutalizes its customers for maximum profit, spending more thought on publicity gimmicks than customer service...",1963,"Comedy, Crime","career, based on novel or book, black humor, ambition, firm","Michel Serrault, Anne Tonietti, Jean-Claude Brialy, Sophie Daumier, Louis de Funès",Marcel Bluwal,,,,"Société Nouvelle des Établissements Gaumont (SNEG), Trianon Films",Unknown
The Girl Who Knew Too Much,86,Italian,A tourist witnesses a murder and finds herself caught up in a series of bloody killings.,1963,"Mystery, Thriller, Horror","rome, italy, italy, investigation, tourist, murder, marijuana, serial killer, giallo","Titti Tomaino, Valentina Cortese, Letícia Román, John Saxon, Dante DiPaolo",Mario Bava,"AMC+ Amazon Channel, AMC+, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel ",,,"Galatea Film, Coronet s.r.l., American International Pictures",Unknown
Lord of the Flies,92,English,Following a plane crash a group of schoolboys find themselves on a deserted island. They appoint a leader and attempt to create an organized society for the sake of their survival. Democracy and order soon begin to crumble when a breakaway faction regresses to savagery with horrifying consequences.,1963,"Drama, Adventure, Thriller","based on novel or book, child murder, survival, teenage boy, deserted island, dead children, south sea island, flogging, degeneration, swine, innocence lost, whipping, asthmatic, aeronautics, rite, faithful adaptation","Roger Elwin, James Aubrey, Tom Chapin, Tom Gaman, Hugh Edwards",Peter Brook,"Max Amazon Channel, Criterion Channel ","Apple TV, Amazon Video ","Apple TV, Amazon Video ",Two Arts Ltd.,Unknown
The Kiss of the Vampire,89,English,"Honeymooning in Bavaria, a young couple becomes stranded and is forced to stay the night in the area. Doctor Ravna, owner of the impressive chateau that sits imposingly above the village, invites them to dinner that evening. Their association with Ravna and his charming, beautiful family is to prove disastrous.",1963,Horror,"mask, vampire, honeymoon, crucifix, occult, bats, playing piano, vampirism, 1900s, newlyweds","Jennifer Daniel, Clifford Evans, Barry Warren, Noel Willman, Edward de Souza",Don Sharp,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Hammer Film Productions,Unknown
Bay of Angels,84,French,A bank clerk is drawn into the risky world of a gorgeous gambling addict.,1963,"Romance, Drama","southern france, roulette, gambler","Paul Guers, Claude Mann, Jeanne Moreau, Henri Nassiet, Nicole Chollet",Jacques Demy,"Max, Max Amazon Channel, Criterion Channel ",,,Sud-Pacifique Films,Unknown
Sunday in New York,105,English,An innocent upstarter visits her airline pilot brother and meets a stranger she tries to seduce.,1963,"Comedy, Romance","virgin, new york city, airplane pilot","Jane Fonda, Rod Taylor, Cliff Robertson, Jo Morrow, Robert Culp",Peter Tewksbury,TCM ,"Apple TV, Amazon Video, Vudu ","Apple TV, Amazon Video, Vudu ","Seven Arts Productions, Metro-Goldwyn-Mayer",Unknown
The List of Adrian Messenger,99,English,"Adrian Messenger, a famous writer, asks his friend Anthony Gethryn, a former British agent, to help him investigate the whereabouts of the people who appear on a list, without asking him the reason why he should do so.",1963,"Mystery, Thriller","london, england, england, english countryside, mysterious killer, british intelligence, 1960s, disguises, noble family, fox hunting","Kirk Douglas, George C. Scott, Gladys Cooper, Clive Brook, Dana Wynter",John Huston,,,,Joel Productions,Unknown
8½,139,Italian,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.",1963,Drama,"dying and death, adultery, depression, individual, unsociability, screenplay, suicide attempt, missile, scapegoat, movie business, allegory, difficult childhood, creative crisis, kurort, black and white, extramarital affair, existence","Claudia Cardinale, Sandra Milo, Marcello Mastroianni, Anouk Aimée, Rossella Falk",Federico Fellini,"Max, Max Amazon Channel, Criterion Channel, TCM ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Cineriz, Francinex",Unknown
Scheherazade,124,French,"Sheherazade is promised to a powerful Sultan as a gift in exchange for free passage to the Holy Land. When the Sultan's underling saves her from certain death, she falls madly in love with her hero.",1963,"Drama, Adventure",None,"Marilù Tolo, Giuliano Gemma, Anna Karina, Gérard Barray, António Vilar",Pierre Gaspard-Huit,Fandor Amazon Channel ,,,"Tecisa Film, Ciné-Alliance, Dear Film, Filmsonor, Spéva Films",Unknown
Twice-Told Tales,120,English,"3 horror stories based on the writings of Nathaniel Hawthorne. In the 1st story titled ""Dr. Heidegger's Experiment"", Heidegger attempts to restore the youth of three elderly friends. In ""Rappaccini's Daughter"", a demented father is innoculating his daughter with poison so she may never leave her garden of poisonous plants. In the final story ""The House of the Seven Gables"", The Pyncheon family suffers from a hundred year old curse and while in the midst of arguing over inheritance, a stranger arrives.",1963,"Horror, Fantasy, Science Fiction","experiment, based on novel or book, poison, haunted house, anthology, friends, curse, mad doctor, tomb, family curse","Richard Denning, Beverly Garland, Sebastian Cabot, Vincent Price, Brett Halsey",Sidney Salkow,,"Apple TV, Amazon Video ","Apple TV, Amazon Video ","Robert E. Kent Productions, United Artists",Unknown
