Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Clambake,99,English,"The heir to an oil fortune trades places with a water-ski instructor at a Florida hotel to see if girls will like him for himself, rather than his father's money.",1967,"Comedy, Music, Romance","florida, wealth","Shelley Fabares, Bill Bixby, Will Hutchins, Elvis Presley, Gary Merrill",Arthur H. Nadel,,Vudu ,Vudu ,"Rhodes Pictures, Levy-Gardner-Laven, United Artists",Unknown
In the Heat of the Night,109,English,"African-American Philadelphia police detective Virgil Tibbs is arrested on suspicion of murder by Bill Gillespie, the racist police chief of tiny Sparta, Mississippi. After Tibbs proves not only his own innocence but that of another man, he joins forces with Gillespie to track down the real killer. Their investigation takes them through every social level of the town, with Tibbs making enemies as well as unlikely friends as he hunts for the truth.",1967,"Crime, Drama, Mystery, Thriller","small town, southern usa, black people, police chief, stolen money, racial segregation, racist, murder, youth gang, whodunit, poverty, false accusations, police station, racial tension, autopsy room, red herring, railroad station, white supremacists, nymphette, bigot, deep south, cotton plantation, southern small town, rumble, illegal abortionist, petty thief, jumping to conclusions","Sidney Poitier, Warren Oates, Peter Whitney, Lee Grant, Rod Steiger",Norman Jewison,"Amazon Prime Video, Hoopla, TCM, IndieFlix ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","United Artists, The Mirisch Company",Unknown
The Stolen Airship,90,Czech,"The Stolen Airship (Czech: Ukradená vzducholod) is a 1967 live-action/animated film by Czech filmmaker Karel Zeman. The story is based loosely on Jules Verne's novels Two Years' Vacation and The Mysterious Island. The film in Art Nouveau style consists of live-action scenes, generally shot in black and white, as well as hand-drawn, stop motion, and cutout animation. Various live-action and animated elements are often composited into the same scene.",1967,"Adventure, Science Fiction",None,"Jan Čížek, Michal Pospíšil, Hanuš Bor, Jan Malát, Josef Stráník",Karel Zeman,,,,"Filmové studio Barrandov, Filmové studio Gottwaldov",Unknown
The Way West,122,English,"In the mid-19th century, Senator William J. Tadlock leads a group of settlers overland in a quest to start a new settlement in the Western US. Tadlock is a highly principled and demanding taskmaster who is as hard on himself as he is on those who have joined his wagon train. He clashes with one of the new settlers, Lije Evans, who doesn't quite appreciate Tadlock's ways. Along the way, the families must face death and heartbreak and a sampling of frontier justice when one of them accidentally kills a young Indian boy.",1967,"Action, Adventure, Drama, Western","based on novel or book, settler, native american, 19th century","Richard Widmark, Robert Mitchum, Jack Elam, Kirk Douglas, Lola Albright",Andrew V. McLaglen,MGM Plus Roku Premium Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Harold Hecht Productions, United Artists",Unknown
The War Wagon,101,English,"An ex-con seeks revenge on the man who put him in prison by planning a robbery of the latter's stagecoach, which is transporting gold. He enlists the help of a partner, who could be working for his nemesis.",1967,"Western, Action, Crime","gold, chase, horse, ranch, caper, rural area, shootout, cowboy, henry rifle, gold shipment","Keenan Wynn, Kirk Douglas, Howard Keel, Robert Walker Jr., John Wayne",Burt Kennedy,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Marvin Schwartz Productions, Universal Pictures, Batjac Productions",Unknown
God Forgives... I Don't!,113,Italian,"In this violent spaghetti western a murderous robber hijacks a payroll train, murders everyone aboard and then stashes his loot. A gunslinger learns about it and decides he wants the money for himself and so hatches an elaborate plot to get at it. He lures the crook into a rigged poker game, and afterward a gunfight ensues. The quick-drawing gunman makes short work of the robber, then teams up with an insurance agent to look for the hidden fortune. Unbeknownst to them, the robber had an ace up his sleeve...",1967,Western,"fire, gun, gang, torture, hijack, loot, mule","José Manuel Martín, Terence Hill, Gina Rovere, Frank Wolff, Bud Spencer",Giuseppe Colizzi,,,,"Productores Exhibidores Films Sociedad Anónima (PEFSA), Crono Cinematografica",Unknown
"To Sir, with Love",105,English,"A British Guianese engineer starts a job as a high school teacher in London’s East End, where his uninterested and delinquent pupils are in desperate need of attention and care.",1967,Drama,"london, england, education, respect, teacher, teenage crush, school, teacher student relationship, high school teacher, maturity, high school dance, east end of london, class field trip, life lessons, dedicated, high school kids","Christian Roberts, Judy Geeson, Lulu, Sidney Poitier, Suzy Kendall",James Clavell,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Columbia British Productions,Unknown
The One-Armed Swordsman,116,Chinese,"A noble swordsman, whose arm had been chopped off, returns to his former teacher to defend him from a villainous gang of rival swordsmen.",1967,"Action, Drama","martial arts, kung fu, one armed man, wuxia, physical disability","Tien Feng, Lisa Chiao Chiao, Yang Chi-Ching, Violet Pan Ying-Zi, Jimmy Wang Yu",Chang Cheh,"MUBI, MUBI Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ",Shaw Brothers,Unknown
The Trip,85,English,"After his wife leaves him, a disillusioned director dives into the drug scene, trying anything his friend suggests.",1967,Drama,"lsd, hippie lifestyle, marijuana","Dennis Hopper, Peter Fonda, Bruce Dern, Susan Strasberg, Salli Sachse",Roger Corman,,"Apple TV, Amazon Video ","Apple TV, Amazon Video ",American International Pictures,Unknown
A Bullet for the General,118,Italian,"El Chuncho's bandits rob arms from a train, intending to sell the weapons to Elias' revolutionaries. They are helped by one of the passengers, Bill Tate, and allow him to join them, unware of his true intentions.",1967,Western,"mexican revolution, spaghetti western","Gian Maria Volonté, Klaus Kinski, Aldo Sambrell, Lou Castel, Martine Beswick",Damiano Damiani,"Night Flight Plus, Fandor Amazon Channel, IndieFlix, Midnight Pulp ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",M.C.M.,Unknown
Magical Mystery Tour,52,English,"Originally produced for television, this short film as an off-the-wall road movie starring the Beatles and a couple dozen friends on a psychedelic bus tour.",1967,"Music, Comedy, Fantasy, TV Movie","musical, surrealism, rock music, road movie, beatlemania, companion piece, short film, hallucinatory, tv movie","Ringo Starr, Vivian Stanshall, John Lennon, George Harrison, Paul McCartney","Ringo Starr, Bernard Knowles, John Lennon, George Harrison, Paul McCartney",,Apple TV ,Apple TV ,"Apple Corps, BBC, Subafilms",Unknown
The Hellbenders,90,Italian,"A Southern Colonel, his three sons, and a card shark embark on an odyssey through the Southwest carrying a coffin full of stolen money with which the Colonel plans to revive the Confederacy.",1967,Western,spaghetti western,"Norma Bengell, Aldo Sambrell, Julián Mateos, Joseph Cotten, Al Mulock",Sergio Corbucci,FlixFling ,"Amazon Video, FlixFling ","Amazon Video, FlixFling, Kino Now ","Alba Cinematografica, Tecisa Film, Productores Exhibidores Films Sociedad Anónima (PEFSA)",Unknown
Robbery,110,English,"In this fictionalised account of the Great Train Robbery, career criminal Paul Clifton plans an audacious crime: the robbery of a mail train carrying millions in cash.",1967,"Crime, Thriller","london, england, based on true story, heist, train robbery, getaway driver","Stanley Baker, Frank Finlay, Barry Foster, James Booth, Joanna Pettet",Peter Yates,,,Kino Now ,Oakhurst Productions,Unknown
Untamable Angelique,95,French,Angelique goes in search of her husband Joffrey de Peyrac who did not die on the stake.,1967,Adventure,"17th century, louis xiv","Robert Hossein, Michèle Mercier, Ettore Manni, Christian Rode, Roger Pigaut",Bernard Borderie,,,,"Francos Films, Film Cinéphonic, Compagnie Industrielle et Commerciale Cinématographique (CICC), Les Films Borderie",Unknown
Le Samouraï,105,French,"After carrying out a flawlessly planned hit, Jef Costello, a contract killer with samurai instincts, finds himself caught between a persistent police investigator and a ruthless employer, and not even his armor of fedora and trench coat can protect him.",1967,"Crime, Drama, Thriller","paris, france, police, jazz, hitman, jazz club, treason, stakeout, french noir, professional assassin, neo-noir","Michel Boisrond, François Périer, Nathalie Delon, Cathy Rosier, Alain Delon",Jean-Pierre Melville,"Max, Max Amazon Channel, Criterion Channel, TCM ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Compagnie Industrielle et Commerciale Cinématographique (CICC), Fida Cinematografica, Filmel, TC Productions",Unknown
Japan's Longest Day,157,Japanese,"Following the detonation of the atomic bombs on Hiroshima and Nagasaki, the Japanese military and the government clash over the demand from the Allies for unconditional surrender. Minister of the Army Anami leads the military officers who propose to fight on, even to the death of every Japanese citizen. Emperor Hirohito, however, joins with his ministers in asking the unthinkable, the peaceful surrender of Japan. When the military plots a coup to overthrow the Emperor's civilian government, Anami must face the choice between his desires and loyalty to his Emperor.",1967,"Drama, History, War","japan, world war ii, pacific war, japanese army, japanese soldier, japanese surrender, hirohito","Sō Yamamura, Rokkō Toura, Toshirō Mifune, Seiji Miyaguchi, Chishū Ryū",Kihachi Okamoto,,,,TOHO,Unknown
