Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Touchez Pas au Grisbi,95,French,"Gentleman gangster Max and his partner, Riton, pull off their last, most successful heist and find themselves comfortable enough to retire in the style they enjoy. However, Max confides the details of the theft to his younger mistress, Josey -- who has secretly taken up with ambitious young rival gangster Angelo. Angelo then has Riton kidnapped and demands the stash of gold as ransom, which threatens Max's dreams of the perfect retirement.",1954,"Crime, Thriller","gold, paris, france, ransom, gangster, retirement, rivalry, partner, money, film noir, french noir, 1950s","Jean Gabin, Lino Ventura, René Dary, Michel Jourdan, Paul Frankeur",Jacques Becker,,,Kino Now ,"Del Duca Films, Antares Produzione Cinematografica",http://www.rialtopictures.com/catalogue/touchez-pas-au-grisbi
Rear Window,115,English,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,1954,"Thriller, Mystery","nurse, isolation, photographer, suspicion of murder, girlfriend, salesman, neighbor, whodunit, convalescence, voyeurism, voyeur, missing wife, homebound, psychotic obsessions, suspicious behavior, flower bed, visiting nurse, the boy who cried wolf, howdunnit, restricted setting","Raymond Burr, Wendell Corey, James Stewart, Thelma Ritter, Grace Kelly",Alfred Hitchcock,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Paramount, Patron Inc.",Unknown
Creature from the Black Lagoon,79,English,"When scientists exploring the Amazon River stumble on a “missing link” connecting humans and fish, they plan to capture it for later study. But the Creature has plans of his own, and has set his sights on the lead scientist's beautiful fiancée, Kay.",1954,"Adventure, Horror, Science Fiction","ship, monster, chase, boat, paleontology, expedition, amazon rainforest, water monster, black and white, creature, scientist, sea monster, lagoon, fossil, spear gun","Julie Adams, Richard Denning, Antonio Moreno, Nestor Paiva, Richard Carlson",Jack Arnold,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Universal International Pictures,Unknown
Animal Farm,72,English,Animals on a farm lead a revolution against the farmers to put their destiny in their own hands. However this revolution eats their own children and they cannot avoid corruption.,1954,"Animation, Drama","farm, corruption, based on novel or book, pig, revolution, horse, governance, uprising, dog, oppression, fable, adult animation, woman director, stalinism, talking pig, power abuse, independent film","Gordon Heath, Simon Cadell, Maurice Denham","Joy Batchelor, John Halas","FlixFling, IndieFlix ","Amazon Video, Vudu, FlixFling ","Amazon Video, Vudu, FlixFling ",Halas and Batchelor Cartoon Films,Unknown
Ulysses,100,Italian,"A movie adaptation of Homer's second epic, that talks about Ulysses' efforts to return to his home after the end of ten years of war.",1954,"Adventure, Fantasy","epic, sea, island, hero, greek mythology, homer's odyssey, bow and arrow, super power, cyclops, ancient greece, voyage, technicolor, sea voyage, warrior, sorceress, ulysses","Rossana Podestà, Kirk Douglas, Silvana Mangano, Anthony Quinn, Jacques Dumesnil",Mario Camerini,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Lux Film, Ponti-De Laurentiis Cinematografica",Unknown
Hell and High Water,103,English,A privately-financed scientist and his colleagues hire an ex-Navy officer to conduct an Alaskan submarine expedition in order to prevent a Red Chinese anti-American plot that may lead to World War III. Mixes deviously plotted schoolboy fiction with submarine spectacle and cold war heroics.,1954,"Adventure, Drama, Action","submarine, alaska","Victor Francen, Richard Widmark, Gene Evans, Bella Darvi, Cameron Mitchell",Samuel Fuller,,,,20th Century Fox,Unknown
The Crucified Lovers,102,Japanese,"In 17th century Kyoto, Osan is married to Ishun, a wealthy miserly scroll-maker. When Osan is falsely accused of having an affair with the best worker, Mohei, the pair flee the city and declare their love for each other. Ishun orders his men to find them, and separate them to avoid public humiliation.",1954,"Drama, Romance","escape, suicide attempt, lover, love, extramarital affair, bankruptcy, kyoto, japan, locked in, social class, 17th century","Eitarō Ozawa, Yôko Minamida, Eitarō Shindō, Kyōko Kagawa, Kazuo Hasegawa",Kenji Mizoguchi,Criterion Channel ,"Apple TV, Vudu ","Apple TV, Vudu ",Daiei Film,Unknown
Long John Silver,106,English,"In this sequel to Treasure Island, Long John hopes to rescue his friend Jim from a rival pirate and return for more treasure.",1954,"Adventure, Action","pirate gang, pirate, pirate ship, treasure island","Grant Taylor, Rod Taylor, Robert Newton, Connie Gilchrist, Lloyd Berrell",Byron Haskin,"fuboTV, Night Flight Plus, IndieFlix ","Amazon Video, Vudu ","Amazon Video, Vudu ",Treasure Island Pictures Inc,Unknown
Two Nights with Cleopatra,78,Italian,"Sophia Loren plays a dual role, as both the sultry Queen of the Nile with a ""man-a-night"" appetite and a beautiful slave girl who takes her place and is wooed by a bodyguard who thinks she's the real monarch.",1954,"Comedy, Romance",cleopatra,"Alberto Talegalli, Paul Müller, Sophia Loren, Nando Bruno, Alberto Sordi",Mario Mattoli,,,,"Rosa Film, Excelsa Film, Minerva Film",Unknown
White Christmas,120,English,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,"Comedy, Music, Romance","sibling relationship, show business, musical, sister, matchmaking, post world war ii, song and dance, floor show, ski lodge, christmas, failing business, sister act, war buddies, retired general","Danny Kaye, Vera-Ellen, Bing Crosby, Dean Jagger, Rosemary Clooney",Michael Curtiz,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Paramount,Unknown
