Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Luca,95,English,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,2021,"Animation, Comedy, Fantasy, Adventure, Family","friendship, monster, italy, coming of age, friends, bromance, sea monster, vespa, aftercreditsstinger, seaside town, 1950s, pasta, water, italian riviera, pesto","Jack Dylan Grazer, Jacob Tremblay, Emma Berman, Maya Rudolph, Saverio Raimondo",Enrico Casarosa,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ",,"Pixar, Walt Disney Pictures",https://www.disneyplus.com/movies/luca/7K1HyQ6Hl16P
The Serpent,90,English,Top special agent Lucinda Kavsky works for a secret part of the CIA. She's given a special assignment but then set up by her own agency.,2021,Action,"spy, special agent","Travis Aaron Wade, Nigel Vonas, Gia Skova, Jason Burrill, Craig Conway",Gia Skova,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Serpent Productions,http://serpentmovie.com
Space Jam: A New Legacy,115,English,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",2021,"Family, Animation, Comedy, Science Fiction","sports, cartoon, basketball, game, live action and animation, space jam","LeBron James, Cedric Joe, Don Cheadle, Gabriel Iglesias, Jeff Bergman",Malcolm D. Lee,"Max, Max Amazon Channel, Peacock Premium ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures Animation, SpringHill Entertainment, Proximity Media, Warner Bros. Pictures",https://www.spacejam.com
PAW Patrol: The Movie,86,English,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,2021,"Animation, Family, Adventure, Comedy","cartoon, dog, animal, kids","Iain Armitage, Ron Pardo, Marsai Martin, Will Brisbin, Lilly Bartlam",Cal Brunker,"Amazon Prime Video, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Spin Master, Nickelodeon Movies, Paramount, Mikros Image",https://www.pawpatrol.movie
Cinderella,113,English,"Cinderella, an orphaned girl with an evil stepmother, has big dreams and with the help of her Fabulous Godmother, she perseveres to make them come true.",2021,"Fantasy, Romance, Comedy","musical, evil stepmother, woman director, fairy godmother, human becoming an animal, happy ending, cinderella, jukebox musical, cinderella story, romantic fantasy","Idina Menzel, Camila Cabello, Pierce Brosnan, Billy Porter, Nicholas Galitzine",Kay Cannon,Amazon Prime Video ,"Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Fulwell 73 Productions, Columbia Pictures",https://www.amazon.com/dp/B097YYZ87F
Mousa,101,Arabic,"An engineering college student invents the first of its kind robot in the Middle East, in an attempt to avenge his father's death and achieve justice, which gets him pursued by the authorities.",2021,"Action, Adventure, Science Fiction",None,"أسماء أبو اليزيد, Sabry Fawaz, Mohamed Lotfi, Eyad Nassar, كريم محمود عبدالعزيز",Peter Mimi,"Netflix, Netflix basic with Ads, Shahid VIP ",,,"Dollar Productions, NEW Century",Unknown
Raya and the Last Dragon,107,English,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",2021,"Animation, Family, Fantasy, Action, Adventure","kung fu, sword, warrior woman, female protagonist, dragon, vietnamese, south asian, warrior","Izaac Wang, Awkwafina, Gemma Chan, Kelly Marie Tran, Alan Tudyk","Carlos López Estrada, Don Hall",Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Walt Disney Pictures, Walt Disney Animation Studios",https://movies.disney.com/raya-and-the-last-dragon
Free Guy,115,English,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",2021,"Comedy, Adventure, Science Fiction","hero, artificial intelligence (a.i.), video game, virtual reality, gun, code, gamer, bank robbery, bank teller, programmer, mmorpg, heroic","Jodie Comer, Joe Keery, Ryan Reynolds, Utkarsh Ambudkar, Lil Rel Howery",Shawn Levy,"Disney Plus, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store, Spectrum On Demand ","Berlanti Productions, 21 Laps Entertainment, Maximum Effort, Lit Entertainment Group, 20th Century Studios",https://www.20thcenturystudios.com/movies/free-guy
Death Alley,94,English,"In 1892, the Dalton Gang set out to become the most famous outlaws in America. That dream would become a nightmare.",2021,"Western, Action",None,"Delno Ebie, Corey Cannon, Julia Grace Anderson, Ryan T. Johnson, Nicholas Barton",Nicholas Barton,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Prestigious Films,Unknown
Resident Evil: Welcome to Raccoon City,107,English,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",2021,"Horror, Science Fiction, Action","biological weapon, orphanage, mutant, infection, zombie, mansion, police station, based on video game, reboot, ghost town, duringcreditsstinger, lockdown, 1990s, secret experiment","Kaya Scodelario, Avan Jogia, Tom Hopper, Robbie Amell, Hannah John-Kamen",Johannes Roberts,"fuboTV, Starz Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","Constantin Film, Davis Films, Screen Gems, Capcom, Impact Pictures",https://www.residentevil.movie
