Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The White Sun of the Desert,83,Russian,"The setting is the east shore of the Caspian Sea (today's Turkmenistan) where the Red Army soldier Fyodor Sukhov has been fighting the Civil War in Russian Asia for a number of years. After being hospitalised and then demobbed, he sets off home to join his wife, only to be caught up in a desert fight between a Red Army cavalry unit and Basmachi guerrillas. The cavalry unit commander, Rahimov, ""convinces"" Sukhov to help, temporarily, with the protection of abandoned women of the Basmachi guerrilla leader Abdullah's harem. Leaving a young Red Army soldier, Petrukha, to assist Sukhov with the task, Rahimov and his cavalry unit set out to pursue fleeing Abdullah.Sukhov and women from Abdullah's harem return to a nearby shore town. Soon, looking for a seaway across the border, Abdullah and his gang come to the same town...",1969,"Action, Drama, Romance, Comedy, Adventure, War","civil war, desert, red army, 1910s","Raisa Kurkina, Anatoliy Kuznetsov, Kakhi Kavsadze, Pavel Luspekayev, Spartak Mishulin",Vladimir Motyl,,Amazon Video ,Amazon Video ,"Lenfilm, Mosfilm",Unknown
Women in Love,131,English,"Growing up in the sheltered confines of a 1920's English coal-mining community, free-spirited sisters Gudrun and Ursula explore erotic love with a wealthy playboy and a philosophical educator, with cataclysmic results for all four.",1969,"Drama, Romance","based on novel or book, wrestling, sister, post world war i, english countryside, mining town, naked, alps mountains, sculptor, 1920s, lgbt interest","Jennie Linden, Glenda Jackson, Eleanor Bron, Oliver Reed, Alan Bates",Ken Russell,,,,,Unknown
The Five Man Army,105,Italian,"At the behest of local revolutionaries, a mercenary enlists four specialists in various combat styles to help him rob a Mexican Army train carrying $500,000 in gold.",1969,Western,"martial arts, kung fu, fort, mexican revolution, shootout, gunfight, battle, spaghetti western","James Daly, Peter Graves, Bud Spencer, Nino Castelnuovo, Tetsurō Tamba","Don Taylor, Italo Zingarelli",,"Amazon Video, Google Play Movies, YouTube, Vudu ","Amazon Video, Google Play Movies, YouTube, Vudu ","Tiger Film, Metro-Goldwyn-Mayer",Unknown
Mississippi Mermaid,123,French,"A tobacco planter on Réunion island in the Indian Ocean becomes engaged through correspondence to a woman he does not know. The woman that comes does not look like the picture he got, but he marries her anyway.",1969,"Romance, Drama, Crime, Thriller","exotic island, love of one's life, marriage, plantation, mail order bride, french noir","Martine Ferrière, Jean-Paul Belmondo, Michel Bouquet, Nelly Borgeaud, Catherine Deneuve",François Truffaut,Amazon Prime Video ,,,"Produzioni Associate Delphos, Les Films du Carrosse, Les Productions Artistes Associés",Unknown
Medium Cool,111,English,"John Cassellis is the toughest TV news reporter around. After extensively reporting about violence and racial tensions in poor communities, he discovers that his network is helping the FBI by granting them access to his footage to find suspects.",1969,Drama,"chicago, illinois, vietnam war, police brutality, presidential election, journalism, political activism, national guard, historical event, political protest, mother son relationship, democratic party","Robert Forster, Peter Bonerz, Marianna Hill, Harold Blankenship, Verna Bloom",Haskell Wexler,,,,"H&J Pictures, Inc., Paramount",Unknown
The Sicilian Clan,117,French,An ambitious mobster plans an elaborate diamond heist while seducing the daughter-in-law of a ruthless mob patriarch as a determined police commissioner closes in on all of them.,1969,"Crime, Drama","new york city, based on novel or book, rome, italy, fake identity, family clan, revenge, sicilian, jewelry heist, italian family, escape from jail, paris suburb, adulterous wife","Jean Gabin, Lino Ventura, Amedeo Nazzari, Alain Delon, Irina Demick",Henri Verneuil,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Les Productions Fox Europa, Les Films du Siècle, 20th Century Fox",Unknown
Funeral Parade of Roses,105,Japanese,"In late 60s Tokyo,  Eddie, a young drag queen, is the favourite of Gonda, the owner of the bar where she works. This relationship provokes the jealousy of Gonda's mistress, Leda, the bar's matron. Eddie and Gonda decide to get rid of her...",1969,Drama,"transvestite, oedipus","Koichi Nakamura, Yoshio Tsuchiya, Emiko Azuma, Osamu Ogasawara, Shinnosuke Ikehata",Toshio Matsumoto,Night Flight Plus ,,,"Art Theatre Guild, Matsumoto Production",Unknown
The Cremator,101,Czech,"In 1930s Prague, a Czech cremator who firmly believes cremation relieves one from earthly suffering is drawn inexorably to Nazism.",1969,"Comedy, Horror, Drama","based on novel or book, insanity, child murder, zoo, dark comedy, crematorium, exterminator, funeral director, nazi collaborationism, czech new wave, family killed, czech resistance, human zoo exhibit","Miloš Vognič, Vlasta Chramostová, Rudolf Hrušínský, Jana Stehnová, Ilja Prachař",Juraj Herz,Criterion Channel ,Apple TV ,Apple TV ,Filmové studio Barrandov,Unknown
Gamera vs. Guiron,82,Japanese,"Two young boys sneak aboard a spaceship and find themselves whisked away to the mysterious planet Terra. There, they encounter Gamera's old foe Gyaos and two female aliens with a taste for human brains. Gamera must save the children and battle the new monster Guiron, whose entire body is a deadly living weapon.",1969,"Adventure, Science Fiction, Action, Family","spacecraft, monster, giant monster, turtle, sequel, alien, cannibal, kaiju, gamera (giant turtle)","Miyuki Akiyama, Christopher Murphy, Nobuhiro Kajima, Kon Omura, Eiji Funakoshi",Noriaki Yuasa,"Amazon Prime Video, fuboTV, Classix, Screambox Amazon Channel, IndieFlix, ARROW, Cultpix, Midnight Pulp ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ",Daiei Film,Unknown
"Hello, Dolly!",149,English,"Dolly Levi is a strong-willed matchmaker who travels to Yonkers, New York in order to see the miserly ""well-known unmarried half-a-millionaire"" Horace Vandergelder. In doing so, she convinces his niece, his niece's intended, and Horace's two clerks to travel to New York City.",1969,"Music, Comedy, Romance","based on play or musical, merchant, yonkers, new york, borzoi, millinery, drygoods store","Marianne McAndrew, Barbra Streisand, Danny Lockin, Walter Matthau, Michael Crawford",Gene Kelly,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Chenault Productions, 20th Century Fox",Unknown
