Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Victory Through Air Power,65,English,"This is a unique film in Disney Production's history. This film is essentially a propaganda film selling Major Alexander de Seversky's theories about the practical uses of long range strategic bombing. Using a combination of animation humorously telling about the development of air warfare, the film switches to the Major illustrating his ideas could win the war for the allies.",1943,"Animation, War, Documentary",propaganda,"Art Baker, Bill Mitchell, Alexander de Seversky","H. C. Potter, James Algar, Clyde Geronimi, Jack Kinney",,,,Walt Disney Productions,Unknown
The Desperadoes,87,English,"Popular mailcoach driver Uncle Willie is in fact in league with the town's crooked banker. They plan to have the bank robbed after emptying it, and when Willie's choice for this doesn't show in time, he gets some local boys to do it. When his man does turn up he decides to stick around, as he is pals with the sheriff and also takes a shine to Willie's daughter Allison. This gives the bad men several new problems.",1943,Western,"banker, friendship, sheriff, prison escape, mailman","Glenn Ford, Randolph Scott, Evelyn Keyes, Edgar Buchanan, Claire Trevor",Charles Vidor,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Columbia Pictures,Unknown
Northern Pursuit,93,English,"Canadian Mountie Steve Wagner captures a German Luftwaffe officer on a spy mission, who later escapes from the prison camp. To catch the spy ring, the Mounties employ a ruse so that the spies, believing Steve to be sympathetic, enlist him in their plans.",1943,"Adventure, War, Drama","canada, submarine, nazi, espionage, secret mission, spy, world war ii, murder, snow, sabotage, sled dogs, avalanche, undercover operation, home front, held hostage, mine shaft, royal canadian mounted police (mountie), abandoned mine, luftwaffe, native canadian, canadian wilderness, canadian concentration camp, german prisoners of war, counter-espionage","Errol Flynn, Helmut Dantine, Gene Lockhart, John Ridgely, Julie Bishop",Raoul Walsh,TCM ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Pictures,Unknown
The Count of Monte Cristo Part 2 - The Retaliation,90,French,"Having found the fabulous treasure of which Abbé Faria had spoken to him, Dantès has only one idea left: revenge. He will succeed patiently, but will not however have the heart to break the poor Mercedes. Then he will leave for the East, accompanied by a lovely Levantine, Haydé, who served him to accomplish his revenge.",1943,"Adventure, Drama, History",miniseries,"Aimé Clariond, Pierre Richard-Willm, Lise Delamare, Michèle Alfa, Marcel Herrand","Robert Vernay, Ferruccio Cerio",,,,"Regina Productions, Excelsa Film",Unknown
The Ox-Bow Incident,76,English,A posse discovers a trio of men they suspect of murder and cow theft and are split between handing them over to the law or lynching them on the spot.,1943,"Western, Drama","saloon, horseback riding, nevada, arbitrary law, theft, justice, lynching, posse, lynch mob, cattle rustling, 19th century","Mary Beth Hughes, Anthony Quinn, Henry Fonda, Dana Andrews, William Eythe",William A. Wellman,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",20th Century Fox,Unknown
The Gold Brick,3,English,A fairy encourages Snafu to duck out of his training regime for his own reasons.,1943,Animation,"training, private snafu",Mel Blanc,Frank Tashlin,,,,Warner Bros. Pictures,Unknown
Pigs in a Polka,8,English,"A tuxedo-clad wolf Master of Ceremonies announces the evening's program: the tale of the Big Bad Wolf and the Three Little Pigs, set to the music of Johannes Brahms's Hungarian Dances. Queue the fairy tale.",1943,"Animation, Comedy, Family","gypsy, fairy tale, cartoon, cartoon pig, cartoon wolf, brahms, short film, folk dance, three little pigs","Bea Benaderet, Sara Berner, Mel Blanc",Friz Freleng,Classix ,,,Warner Bros. Pictures,Unknown
Yankee Doodle Daffy,7,English,"Daffy is an agent representing Sleepy Lagoon, trying to sell him to talent scout Porky. Daffy spends a great deal of time and energy explaining and demonstrating what the kid can do, while the kid sits on a couch licking a giant sucker.",1943,"Animation, Comedy, Family","juggler, cartoon, clown, talent scout, singer, cartoon duck, celebrity caricature, cartoon pig, talent agent, persistence, nuisance, short film","Billy Bletcher, Mel Blanc",Friz Freleng,Classix ,,,Leon Schlesinger Productions,Unknown
Mr. Lucky,100,Italian,"A conman poses as a war relief fundraiser, but when he falls for a charity worker, his conscience begins to trouble him.",1943,"Comedy, Romance","gambler, con, swindle","Alan Carney, Cary Grant, Laraine Day, Gladys Cooper, Charles Bickford",H. C. Potter,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",RKO Radio Pictures,Unknown
Old Acquaintance,110,English,"Two writers, friends since childhood, fight over their books and lives.",1943,"Drama, Romance","marriage proposal, jealousy, love triangle, reunion, best friend, novelist, envy, old friend, best selling author, resentment, estrangement, return home, hysterics, marital disharmony","Miriam Hopkins, Dolores Moran, Gig Young, John Loder, Bette Davis",Vincent Sherman,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Pictures,Unknown
Casablanca,102,English,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",1943,"Drama, Romance","corruption, nazi, escape, love triangle, resistance, spy, patriotism, casablanca, morocco, vichy regime, visa, nationalism, world war ii, morocco, film noir, war","Humphrey Bogart, Claude Rains, Ingrid Bergman, Conrad Veidt, Paul Henreid",Michael Curtiz,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Warner Bros. Pictures,Unknown
The Life and Death of Colonel Blimp,163,English,"General Candy, who's overseeing an English squad in 1943, is a veteran leader who doesn't have the respect of the men he's training and is considered out-of-touch with what's needed to win the war. But it wasn't always this way. Flashing back to his early career in the Boer War and World War I, we see a dashing young officer whose life has been shaped by three different women, and by a lasting friendship with a German soldier.",1943,"War, Drama, Romance, Comedy","berlin, germany, army, world war i, world war ii, british army, british empire, satire, soldier, prison camp, london blitz, boer war, home guard","Roger Livesey, Deborah Kerr, James McKechnie, Adolf Wohlbrück, Roland Culver","Emeric Pressburger, Michael Powell","Max Amazon Channel, Criterion Channel ","Apple TV, Amazon Video ","Apple TV, Amazon Video ","Independent Producers, The Archers",Unknown
