Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Charge of the Light Brigade,139,English,"During the Crimean War between Britain and Russia in the 1850s, a British cavalry division, led by the overbearing Lord Cardigan, engages in an infamously reckless strategic debacle against a Russian artillery battery.",1968,"Drama, History, War","hero, politics, british army, british empire, remake, honor, russian soldier, massacre, discipline, hussars, british soldier, british history, british colonial, anti war, equestrian, lancer","Jill Bennett, John Gielgud, Harry Andrews, Trevor Howard, Vanessa Redgrave",Tony Richardson,ScreenPix Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Woodfall Film Productions,Unknown
The Devil Rides Out,96,English,"The powers of good are pitted against the forces of evil as the Duc de Richelieu wrestles with the charming but deadly Satanist, Mocata, for the soul of his friend. Mocata has the knowledge and the power to summon the forces of darkness and, as the Duc de Richelieu and his friends remain within the protected pentacle, they are subjected to ever-increasing horror until thundering hooves herald the arrival of the Angel of Death.",1968,Horror,"based on novel or book, supernatural, satanism, giant spider, black magic, satanist, devil, occult, ritual sacrifice, occult horror, devil worship, 1920s, folk horror","Patrick Mower, Christopher Lee, Niké Arrighi, Leon Greene, Charles Gray",Terence Fisher,,,,Hammer Film Productions,Unknown
The Biggest Bundle of Them All,105,English,A kidnapped mobster (Vittorio De Sica) persuades his captors to help him rob platinum ingots from a train.,1968,"Comedy, Crime","kidnapping, mafia, train robbery","Davy Kaye, Raquel Welch, Robert Wagner, Vittorio De Sica, Godfrey Cambridge",Ken Annakin,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Metro-Goldwyn-Mayer,Unknown
Theorem,95,Italian,"A wealthy Italian household is turned upside down when a handsome stranger arrives, seduces every family member and then disappears. Each has an epiphany of sorts, but none can figure out who the seductive visitor was or why he came.",1968,"Mystery, Drama","italian, bourgeoisie, host family, household, stranger, lgbt, bisexual man, visitor, mysterious character, sexual encounter, drastic change of life, uninvited guest, wealthy family, seducer, milan, italy, gay theme, religious allegory, confess feelings, charming man","Massimo Girotti, Terence Stamp, Silvana Mangano, Anne Wiazemsky, Andrés José Cruz Soublette",Pier Paolo Pasolini,Criterion Channel ,,,"Aetos Produzioni Cinematografiche, B.R.C. Produzione Film",Unknown
Sympathy for the Devil,115,English,"An exhilarating, provocative motion picture. The Rolling Stones rehearse their latest song, ""Sympathy For the Devil,"" in a London studio. Beginning as a ballad, the track gradually acquires a pulsating groove, which gets Jagger into a rousing vocal display of soulful emotion that Godard captures on film.",1968,"Documentary, Music","social documentary, cultural conflict, social & cultural documentary, music documentary, cultural change, cultural history, the rolling stones","Charlie Watts, Brian Jones, Keith Richards, Sean Lynch, Mick Jagger",Jean-Luc Godard,,"Apple TV, Amazon Video ","Apple TV, Amazon Video ",Cupid Productions,Unknown
The Stalking Moon,109,English,"While moving a group of Apaches to a Native American reservation in Arizona, an American scout named Sam Varner is surprised to find a white woman, Sarah Carver, living with the tribe. When Sam learns that she was taken captive by an Indian named Salvaje ten years ago, he attempts to escort Sarah and her half-Native American son to his home in New Mexico. However, it soon becomes clear that Salvaje is hot on their trail.",1968,Western,"based on novel or book, new mexico","Gregory Peck, Russell Thorson, Robert Forster, Noland Clay, Eva Marie Saint",Robert Mulligan,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","National General Pictures, Pakula-Mulligan, National General Production Inc., The Stalking Moon Company",Unknown
The Scalphunters,102,English,"Forced to trade his valuable furs for a well-educated escaped slave, a rugged trapper vows to recover the pelts from the Indians and later the renegades that killed them.",1968,"Comedy, Western","slavery, scalp, native american, fur trapping, escaped slave","Dabney Coleman, Telly Savalas, Burt Lancaster, Ossie Davis, Shelley Winters",Sydney Pollack,"Amazon Prime Video, ScreenPix Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Bristol Films, Norlan Productions",Unknown
Very Happy Alexander,100,French,"Alexandre, a young and honest farmer, is oppressed by an authoritarian wife, who makes him work like a dog. When she dies in a car crash, he decides to stay in bed, absolutely free and inactive. Just a dog is occupied to carry food and newspapers to him.",1968,Comedy,None,"Tsilla Chelton, Françoise Brion, Philippe Noiret, Paul Le Person, Marlène Jobert",Yves Robert,,,,"Madeleine Films, Gaumont, CAPAC, Les Films de la Colombe, Les Productions de la Guéville",Unknown
Secret Ceremony,109,English,"A penniless woman meets a strange girl who insists she is her long-lost mother and becomes enmeshed in a web of deception, and perhaps madness.",1968,"Drama, Mystery, Thriller","daughter, prostitute, stepfather, prostitution, dead daughter, grieving mother","Robert Mitchum, Elizabeth Taylor, Peggy Ashcroft, Pamela Brown, Mia Farrow",Joseph Losey,,,,"Universal Pictures, World Film Services",Unknown
The Swimmer,95,English,"Well-off ad man Ned Merrill is visiting a friend when he notices the abundance of backyard pools that populate their upscale suburb. Ned suddenly decides that he'd like to travel the eight miles back to his own home by simply swimming across every pool in town. Soon, Ned's journey becomes harrowing; at each house, he is somehow confronted with a reminder of his romantic, domestic and economic failures.",1968,Drama,"connecticut, swimming pool, neighbor, swimmer, based on short story, pool party","Burt Lancaster, Marge Champion, Tony Bickley, Janice Rule, Janet Landgard",Frank Perry,Criterion Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Horizon Pictures, Columbia Pictures",Unknown
Angelique and the Sultan,105,French,"This film finds Angélique in a North African Muslim kingdom where she is now part of the Sultan's harem. The first part of the film consist of her angrily refusing to be bedded as well as their trying to literally beat some sense into her. It all seems to go on too long and I was surprised that the Sultan simply didn't have her killed. Late in the film, she finally decides to escape with the help of two Christian prisoners.",1968,"Adventure, Romance, History","sultan, harem","Robert Hossein, Jean-Claude Pascal, Michèle Mercier, Helmuth Schneider, Jacques Santi",Bernard Borderie,,,,Compagnie Industrielle et Commerciale Cinématographique (CICC),Unknown
The Strange Case of Dr. Jekyll and Mr. Hyde,120,English,"In this Dan Curtis production of the Robert Louis Stevenson classic, Jack Palance stars as Dr. Henry Jekyll, a scientist experimenting to reveal the hidden, dark side of man, who, in the process of his experiment, releases a murderer from within himself.",1968,"Thriller, TV Movie","london, england, double life, jekyll and hyde","Denholm Elliott, Leo Genn, Jack Palance, Rex Sevenoaks, Torin Thatcher",Charles Jarrott,,Amazon Video ,Amazon Video ,"Dan Curtis Productions, CBC",Unknown
Witchfinder General,87,English,"England, 1645. The cruel civil war between Royalists and Parliamentarians that is ravaging the country causes an era of chaos and legal arbitrariness that allows unscrupulous men to profit by exploiting the absurd superstitions of the peasants; like Matthew Hopkins, a monster disguised as a man who wanders from town to town offering his services as a witch hunter.",1968,"Drama, History, Horror","rape, based on novel or book, witch burning, false accusations, religious fundamentalism, sadistic torture, witch hunt, english civil war, 17th century, folk horror, suffolk, england, forced sex, brutal violence","Robert Russell, Ian Ogilvy, Vincent Price, Nicky Henson, Hilary Dwyer",Michael Reeves,,,,Tigon British Film Productions,Unknown
The Green Berets,142,English,Col. Mike Kirby picks two teams of crack Green Berets for two missions in South Vietnam. The first is to strengthen a camp that is trying to be taken by the enemy. The second is to kidnap a North Vietnamese General.,1968,"War, Drama","vietnam war, green beret","David Janssen, Aldo Ray, Jim Hutton, Raymond St. Jacques, John Wayne","Ray Kellogg, John Wayne",,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Batjac Productions,Unknown
"Live a Little, Love a Little",89,English,"Photographer Greg Nolan moonlights in two full-time jobs to pay the rent, but has trouble finding time to do them both without his bosses finding out.",1968,"Comedy, Music, Romance","fashion photographer, model","Michele Carey, Rudy Vallee, Dick Sargent, Don Porter, Elvis Presley",Norman Taurog,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Metro-Goldwyn-Mayer,Unknown
Oliver!,153,English,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.",1968,"Drama, Family, Music","london, england, based on novel or book, pickpocket, orphanage, musical, based on play or musical, victorian england, orphan, dog, 19th century","Ron Moody, Oliver Reed, Mark Lester, Shani Wallis, Harry Secombe",Carol Reed,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Warwick Film Productions, Romulus Films, Columbia Pictures",Unknown
