Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Death Race: Inferno,104,English,"Carl Lucas / Frankenstein has won four of his races and needs to win one more to win his freedom. Before his final race, Lucas and his team, car and all, are transferred to another prison where they will compete in a Death Race in the desert. Also, at the same time, Ceaser runs into a marketer who wants to franchise the Death Race program.",2013,"Action, Science Fiction, Thriller","sequel, street race, death game","Ving Rhames, Dougray Scott, Tanit Phoenix, Luke Goss, Danny Trejo",Roel Reiné,Starz Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Moonlighting Films, CC Capital Arts Entertainment SRL",Unknown
Texas Chainsaw 3D,92,English,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",2013,"Horror, Thriller","home, gore, sequel, leatherface, slasher, chainsaw, shattered home, violent death, bloody fight, blood lust, aftercreditsstinger, duringcreditsstinger, sawing, hewitt","Trey Songz, Paul Rae, Tania Raymonde, Alexandra Daddario, Dan Yeager",John Luessenhop,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Lionsgate, Millennium Media, Mainline Pictures, Leatherface Productions",Unknown
Hummingbird,100,English,"Homeless and on the run from a military court martial, a damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity, transforming into an avenging angel in the process.",2013,"Action, Thriller","london, england, homeless person, redemption, chinese mafia, criminal underworld, stolen identity, homeless","Victoria Bewick, Vicky McClure, Jason Statham, Michelle Lee, Agata Buzek",Steven Knight,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Lionsgate, Shoebox Films, IM Global",http://www.hummingbirdmovie.co.uk
Iron Man 3,130,English,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013,"Action, Adventure, Science Fiction","california, war on terror, superhero, malibu, based on comic, tennessee, billionaire, aftercreditsstinger, marvel cinematic universe (mcu), christmas, america","Guy Pearce, Ben Kingsley, Don Cheadle, Gwyneth Paltrow, Robert Downey Jr.",Shane Black,"Disney Plus, Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ",Marvel Studios,https://www.marvel.com/movies/iron-man-3
Hansel & Gretel: Witch Hunters,88,English,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",2013,"Fantasy, Horror, Action","witch, gun, black magic, troll, steampunk, witchcraft, evil, witch hunt, evil witch, duringcreditsstinger, nude swimming","Derek Mears, Jeremy Renner, Pihla Viitala, Gemma Arterton, Famke Janssen",Tommy Wirkola,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Paramount, MTV Films, Gary Sanchez Productions, Studio Babelsberg, Metro-Goldwyn-Mayer, Deutscher Filmförderfonds",Unknown
The Secret Life of Walter Mitty,114,English,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,2013,"Adventure, Comedy, Drama, Fantasy","himalaya mountain range, photographer, iceland, daydream, magazine, photograph, shark, fired from the job, dreamer, online dating, daydreaming","Adam Scott, Ben Stiller, Sean Penn, Kristen Wiig, Shirley MacLaine",Ben Stiller,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","20th Century Fox, TSG Entertainment, Samuel Goldwyn Films, Red Hour, New Line Cinema, Big Screen Productions, Down Productions, Ingenious Media",https://www.20thcenturystudios.com/movies/the-secret-life-of-walter-mitty
47 Ronin,119,English,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",2013,"Drama, Action, Fantasy","suicide, japan, samurai, based on true story, revenge, samurai sword, ronin, shogun, half breed","Hiroyuki Sanada, Tadanobu Asano, Min Tanaka, Ko Shibasaki, Keanu Reeves",Carl Rinsch,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Mid Atlantic Films, Stuber Pictures, Moving Picture Company, H2F Entertainment, Universal Pictures, Relativity Media",Unknown
Percy Jackson: Sea of Monsters,106,English,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",2013,"Adventure, Family, Fantasy","sea, monster, based on novel or book, poison, hermes, tale, poseidon, fantasy world, demigod, golden fleece, olympus, quest, kronos, based on young adult novel","Leven Rambin, Brandon T. Jackson, Alexandra Daddario, Logan Lerman, Douglas Smith",Thor Freudenthal,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Fox 2000 Pictures, Sunswept Entertainment, 1492 Pictures, TSG Entertainment",http://www.percyjacksonthemovie.com/us/#!/home
The Wind Rises,126,Japanese,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",2013,"Drama, Animation, Romance, War","japan, airplane, flying, world war ii, earthquake, biography, great depression, pacific war, love, tuberculosis, adult animation, anime","Stephen Alpert, Masahiko Nishimura, Miori Takimoto, Hideaki Anno, Hidetoshi Nishijima",Hayao Miyazaki,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Studio Ghibli, Nippon Television Network Corporation, dentsu, Hakuhodo DY Media Partners, The Walt Disney Company (Japan), d-rights, TOHO",Unknown
Green Chair 2013 - Love Conceptually,97,Korean,"Moon-hee is an attractive woman who runs an art academy after returning from the States. She lives apart from her husband who won't divorce her and enjoys a free relationship with In-gyu, her lover of long time and Professor Yoon whom she's been privately involved with for a long time. On the other hand, her young student Joo Won only draws her face during class. He fell in love with her when he saw Moon-hee as a bride at the wedding his grandma took him too. He started art because of her and started attending the academy. He thinks it's destiny. Moon-hee is attracted to Joo Won's pure heart until they share love in in a studio where it's just them....",2013,"Romance, Drama",None,"Park Sun-joon, Jin Hye-Kyung, Park Seung-ok, Kim Do-sung, Park Se-in",Park Cheol-su,,,,,Unknown
