Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Women's Prison,92,Unknown,"A young woman about to get married discovers all too late that her spouse has mafia connections, when violence breaks out during her wedding. Caught up in the crossfire Lynn gets arrested and thrown into a women's prison.",1988,"Drama, Crime",None,"Charine Chan, Carol Cheng, Elsie Chan, Fung Bo-bo, Pat Ha",David Lam,,,,Alan and Eric Films Limited,Unknown
Running on Empty,116,English,"The Popes are a family who haven't been able to use their real identity for years. In the late sixties, the parents set a weapons lab afire in an effort to hinder the government's Vietnam war campaign. Ever since then, the Popes have been on the run with the authorities never far behind. Their survival is threatened when their eldest son falls in love with a girl, and announces his wish to live his life on his own terms.",1988,"Drama, Romance, Crime","vietnam war, on the run, pianist, hiding, protestors","Martha Plimpton, Christine Lahti, River Phoenix, Jonas Abry, Judd Hirsch",Sidney Lumet,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Double Play, Lorimar Film Entertainment",Unknown
Oliver & Company,74,English,"This animated take on Oliver Twist re-imagines Oliver as an adorable orphaned kitten who struggles to survive in New York City and falls in with a band of canine criminals led by an evil human. First, Oliver meets Dodger, a carefree mutt with street savoir faire. But when Oliver meets wealthy Jenny on one of the gang's thieving missions, his life changes forever.",1988,"Animation, Comedy, Family","new york city, based on novel or book, butler, musical, poodle, dog, kitten, doberman, great dane, chihuahua, absent parent","Joey Lawrence, Billy Joel, Roscoe Lee Browne, Richard Mulligan, Cheech Marin",George Scribner,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Walt Disney Pictures, Silver Screen Partners III, Walt Disney Feature Animation",Unknown
A Fish Called Wanda,109,English,"While a diamond advocate attempts to steal a collection of diamonds, troubles arise when he realises he’s not the only one after the collection.",1988,"Comedy, Crime","infidelity, robbery, cheating, heart attack, heist, lawyer, silencer, courtroom, american abroad, animal abuse, stuttering, yelling, killing a dog, cutical scissors, run over by a steamroller, gag, excuse, barrel, zoophilia, screwball, heathrow airport, stolen jewelry","Jamie Lee Curtis, Maria Aitken, Michael Palin, Kevin Kline, John Cleese",Charles Crichton,"fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, Hoopla, MGM Plus, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Prominent Features, Metro-Goldwyn-Mayer, Fish Productions",Unknown
Cinema Paradiso,124,Italian,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",1988,"Drama, Romance","parent child relationship, sicily, italy, movie business, kiss, coming of age, flashback, magic realism, haunted by the past, censorship, nuovo cinema paradiso, movie theater","Salvatore Cascio, Marco Leonardi, Philippe Noiret, Jacques Perrin, Agnese Nano",Giuseppe Tornatore,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Roku Premium Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","RAI, Tre Forum, Les Films Ariane, TF1 Films Production",Unknown
Big Business,97,English,"In the 1940s in the small town of Jupiter Hollow, two sets of identical twins are born in the same hospital on the same night. One set to a poor local family and the other to a rich family just passing through. The dizzy nurse on duty accidentally mixes the twins unbeknown to the parents. Our story flashes forward to the 1980s where the mismatched sets of twins are about to cross paths.",1988,Comedy,"mistake in person, teacher, wealth, twins, shakespeare in modern dress, rich woman, the comedy of errors","Fred Ward, Bette Midler, Michele Placido, Edward Herrmann, Lily Tomlin",Jim Abrahams,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Touchstone Pictures, Silver Screen Partners III",Unknown
Cocktail,104,English,"After being discharged from the Army, Brian Flanagan moves back to Queens and takes a job in a bar run by Doug Coughlin, who teaches Brian the fine art of bar-tending. Brian quickly becomes a patron favorite with his flashy drink-mixing style, and Brian adopts his mentor's cynical philosophy on life and goes for the money.",1988,"Romance, Drama, Comedy","new york city, jamaica, night life, bartender, ambition, rags to riches, cocktail","Elisabeth Shue, Kelly Lynch, Bryan Brown, Lisa Banes, Tom Cruise",Roger Donaldson,"AMC+, Criterion Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Interscope Communications, Touchstone Pictures, Silver Screen Partners III",Unknown
Scrooged,101,English,"Frank Cross is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life. But after firing a staff member on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.",1988,"Fantasy, Comedy, Drama","holiday, tv ratings, ghost, duringcreditsstinger, christmas music, christmas","Karen Allen, Bobcat Goldthwait, Bill Murray, John Glover, John Forsythe",Richard Donner,"Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling ","Paramount, Mirage Productions",Unknown
They Live,93,English,A lone drifter stumbles upon a harrowing discovery -- a unique pair of sunglasses that reveals that aliens are systematically gaining control of the Earth by masquerading as humans and lulling the public into submission.,1988,"Science Fiction, Action","dystopia, villainess, alien, social commentary, conspiracy, los angeles, california, alien invasion, sunglasses, glasses, brawl, subliminal message, horror","Keith David, George Buck Flower, Peter Jason, Meg Foster, Roddy Piper",John Carpenter,Starz Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Universal Pictures, Alive Films, Larry Franco Productions, Alive Enterprises",http://theofficialjohncarpenter.com/they-live
Gorillas in the Mist,129,English,"The story of Dian Fossey, a scientist who came to Africa to study the vanishing mountain gorillas, and later fought to protect them.",1988,"Drama, History","photographer, africa, rwanda, gorilla, menace, mountain, congo, biography, poacher, murder, tracker, jungle, based on memoir or autobiography, sympathy, extinction, anthropologist","Bryan Brown, Iain Cuthbertson, John Omirah Miluwi, Julie Harris, Sigourney Weaver",Michael Apted,,Amazon Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Universal Pictures, Warner Bros. Pictures, Guber/Peters Company",Unknown
