Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Rudolph the Red-Nosed Reindeer,52,English,"Sam the snowman tells us the story of a young red-nosed reindeer who, after being ousted from the reindeer games because of his glowing nose, teams up with Hermey, an elf who wants to be a dentist, and Yukon Cornelius, the prospector. They run into the Abominable Snowman and find a whole island of misfit toys. Rudolph vows to see if he can get Santa to help the toys, and he goes back to the North Pole on Christmas Eve. But Santa's sleigh is fogged in. But when Santa looks over Rudolph, he gets a very bright idea...",1964,"Animation, Family, TV Movie","winter, holiday, santa claus, misfit, snowman, stop motion, reindeer, north pole, christmas, rudolph","Burl Ives, Stan Francis, Paul Kligman, Billie Mae Richards, Larry D. Mann",Larry Roemer,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",,"Rankin/Bass Productions, Videocraft International, NBC",Unknown
The Black Tulip,115,French,"Aristocrat Guillaume de Saint Preux leads a double life as a masked bandit known as the Black Tulip. The Black Tulip only robs rich aristocrats, so the local peasants regard him as a hero. Baron La Mouche is convinced Guillaume is the Tulip. During a robbery, he scars the Tulip's face, and hopes to use this to expose Guillaume, but Guillaume is one step ahead.",1964,Adventure,"mask, sword, robber, fencing, beautiful woman, twins, nobility","Akim Tamiroff, Virna Lisi, Adolfo Marsillach, Alain Delon, Dawn Addams",Christian-Jaque,,,,"Flora Film, Mizar Films, Méditerranée Cinéma",Unknown
Red Desert,117,Italian,"In an industrializing Italian town, a married woman, rendered mentally unstable after a traffic accident, drifts into an affair with a friend of her husband.",1964,Drama,"factory, fog","Rita Renoir, Monica Vitti, Carlo Chionetti, Richard Harris, Xenia Valderi",Michelangelo Antonioni,"Max, Max Amazon Channel, Criterion Channel ",,,"Federiz, Francoriz Production, Film Duemila",Unknown
Cheyenne Autumn,154,English,A reluctant cavalry Captain must track a defiant tribe of migrating Cheyenne.,1964,Western,"oklahoma, native american, cavalry, cheyenne","Richard Widmark, Karl Malden, Carroll Baker, Sal Mineo, Dolores del Río",John Ford,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Ford-Smith Productions, Warner Bros. Pictures",Unknown
Le Gendarme de Saint-Tropez,89,French,"The ambitious police officer Cruchot is transferred to St. Tropez. He's struggling with crimes such as persistent nude swimming, but even more with his teenage daughter, who's trying to impress her rich friends by telling them her father was a millionaire and owned a yacht in the harbor.",1964,Comedy,"nun, lie, rembrandt, gendarmerie, saint-tropez, france, french riviera, misunderstanding, stolen painting, nudist, transfer, father daughter relationship, naturism, alpes","Michel Galabru, Maria Pacôme, Geneviève Grad, Daniel Cauchy, Louis de Funès",Jean Girault,,,,"SNC, Franca Films",Unknown
First Men in the Moon,103,English,"The world is delighted when a spacecraft containing a crew made up of the world's astronauts lands on the moon, but are shocked when the astronauts discover an old British flag and a document declaring that the moon is taken for Queen Victoria proving that the astronauts were not the first men on the moon.",1964,"Adventure, Science Fiction","moon, based on novel or book, space travel, moon landing, victorian england, giant insect, alien, flashback, 19th century","Martha Hyer, Miles Malleson, Norman Bird, Lionel Jeffries, Edward Judd",Nathan H. Juran,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Columbia Pictures, Ameran Films",Unknown
Old Shatterhand,122,German,"Renegades trying to get the army to abandon their fort get the Indians addicted to whiskey, then convince them to attack and drive out the soldiers.",1964,"Adventure, Western","ranch, apache nation, native american, old friend","Guy Madison, Daliah Lavi, Pierre Brice, Ralf Wolter, Lex Barker",Hugo Fregonese,,,,"Serena, Avala Film, Critérion Film, CCC Filmkunst, Serena Film",Unknown
Zulu,138,English,"In 1879, during the Anglo-Zulu War, man-of-the-people Lt. Chard and snooty Lt. Bromhead are in charge of defending the isolated and vastly outnumbered Natal outpost of Rorke's Drift from tribal hordes.",1964,"Action, Drama, History, War","africa, south africa, british army, british empire, based on true story, mixed martial arts, attempted rape, zulu, tribal warfare, 19th century","Stanley Baker, James Booth, Michael Caine, Jack Hawkins, Ulla Jacobsson",Cy Endfield,FlixFling ,FlixFling ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling ",Diamond Films UK,Unknown
Band of Outsiders,97,French,"Cinephile slackers Franz and Arthur spend their days mimicking the antiheroes of Hollywood noirs and Westerns while pursuing the lovely Odile. The misfit trio upends convention at every turn, be it through choreographed dances in cafés or frolicsome romps through the Louvre. Eventually, their romantic view of outlaws pushes them to plan their own heist, but their inexperience may send them out in a blaze of glory -- which could be just what they want.",1964,"Comedy, Crime, Drama","robbery, paris, france, love triangle, louvre museum, woman between two men, bastille, nouvelle vague","Sami Frey, Claude Brasseur, Danièle Girard, Anna Karina, Louisa Colpeyn",Jean-Luc Godard,,,,"Orsay Films, Anouchka Films, Columbia Films",Unknown
The Soft Skin,119,French,"Pierre Lachenay is a well-known publisher and lecturer, married with Franca and father of Sabine, around 10. He starts a love affair with air hostess Nicole, which Pierre is hiding, but he cannot stand staying away from her.",1964,"Drama, Romance","double life, airplane, airport, paris, france, love at first sight, stewardess, lisbon, portugal, reims, break-up, divorce","Daniel Ceccaldi, Jean Desailly, Nelly Benedetti, Françoise Dorléac, Laurence Badie",François Truffaut,"Max, Max Amazon Channel, Criterion Channel ","Apple TV, Amazon Video ","Apple TV, Amazon Video ","Les Films du Carrosse, Societé d'Exploitation et de Distribution de Films (SEDIF), Simar Films",Unknown
