Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Strawberry Blonde,97,English,"Biff Grimes is desperately in love with Virginia, but his best friend Hugo marries her and manipulates Biff into becoming involved in his somewhat nefarious businesses. Hugo appears to have stolen Biff's dreams, and Biff has to deal with the realisation that having what he wants and wanting what another has can be very different things.",1941,"Romance, Comedy","remake, revenge, barbershop, graft, beer garden, 19th century","Rita Hayworth, James Cagney, Jack Carson, Alan Hale, Olivia de Havilland",Raoul Walsh,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Warner Bros. Pictures, Warner Bros.",Unknown
That Uncertain Feeling,84,English,A happily married woman sees a psychoanalyst and develops doubts about her husband.,1941,"Comedy, Romance","romantic comedy, screwball comedy, psychoanalyst, comedy of remarriage","Burgess Meredith, Alan Mowbray, Olive Blakeney, Merle Oberon, Melvyn Douglas",Ernst Lubitsch,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, Pure Flix, Classix, FlixFling, IndieFlix ","Amazon Video, Vudu, FlixFling ","Amazon Video, Vudu, FlixFling ","Ernst Lubitsch Productions, Sol Lesser Productions",Unknown
Pot o' Gold,86,English,"Jimmy, the owner of a failed music shop, goes to work with his uncle, the owner of a food factory. Before he gets there, he befriends an Irish family who happens to be his uncle's worst enemy because of their love for music and in-house band who constantly practices. Soon, Jimmy finds himself trying to help the band by getting them gigs and trying to reconcile the family with his uncle.",1941,"Comedy, Romance, Music","harmonica, music store, big band","Paulette Goddard, Mary Gordon, James Stewart, Horace Heidt, Charles Winninger",George Marshall,"fuboTV, MGM Plus Amazon Channel, MGM Plus, Pure Flix, Fandor Amazon Channel, IndieFlix, FilmBox+ ",Amazon Video ,Amazon Video ,"James Roosevelt Productions, United Artists",Unknown
You'll Never Get Rich,88,English,A Broadway choreographer gets drafted and coincidentally ends up in the same army base as his object of affection’s boyfriend.,1941,"Comedy, Music, Romance","new york city, dancing, army, show business, nightclub, musical, singing, soldier, broadway","Rita Hayworth, Robert Benchley, John Hubbard, Osa Massen, Fred Astaire",Sidney Lanfield,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Columbia Pictures,Unknown
Western Union,95,English,"When Edward Creighton leads the construction of the Western Union to unite East with West, he hires a Western reformed outlaw and a tenderfoot Eastern surveyor.",1941,Western,"loyalty, engineer, outlaw, doctor","Randolph Scott, Dean Jagger, Robert Young, John Carradine, Virginia Gilmore",Fritz Lang,Starz Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",20th Century Fox,Unknown
They Died with Their Boots On,140,English,"The story follows General George Armstrong Custer's adventures from his West Point days to his death. He defies orders during the Civil War, trains the 7th Cavalry, appeases Chief Crazy Horse and later engages in bloody battle with the Sioux nation.",1941,"Western, War, Drama, Romance","biography, historical figure, little big horn, custer, sitting bull","Charley Grapewin, Errol Flynn, Arthur Kennedy, Gene Lockhart, Olivia de Havilland",Raoul Walsh,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Pictures,Unknown
Love Crazy,99,English,"Circumstance, an old flame and a mother-in-law drive a happily married couple to the verge of divorce and insanity.",1941,"Comedy, Romance","taxi, bad mother-in-law, lunatic asylum, dog, screwball comedy","Myrna Loy, Florence Bates, Jack Carson, William Powell, Gail Patrick",Jack Conway,,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ",Metro-Goldwyn-Mayer,Unknown
Ball of Fire,111,English,"A group of academics have spent years shut up in a house working on the definitive encyclopedia. When one of them discovers that his entry on slang is hopelessly outdated, he ventures into the wide world to learn about the evolving language. Here he meets Sugarpuss O’Shea, a nightclub singer, who’s on top of all the slang—and, it just so happens, needs a place to stay.",1941,"Comedy, Romance, Crime","research, marriage proposal, slang, gangster, professor, nightclub, encyclopedia, singer, us republican party, screwball comedy, conga, nightclub performer","Henry Travers, Barbara Stanwyck, S.Z. Sakall, Oskar Homolka, Gary Cooper",Howard Hawks,Hoopla ,"Apple TV, Amazon Video, Microsoft Store ","Apple TV, Amazon Video, Vudu, Microsoft Store ","Samuel Goldwyn Productions, RKO Radio Pictures",Unknown
The Great Lie,108,English,"After a newlywed's husband apparently dies in a plane crash, she discovers that her rival for his affections is pregnant with his child.",1941,Drama,"baby, married couple, pregnancy, seclusion, adoptive mother, missing person, newlywed, biological mother, expectant mother, concert pianist, missing husband, uneasy alliance, believed dead, invalid marriage, secret arrangement, bad attitude","Mary Astor, George Brent, Hattie McDaniel, Bette Davis, Lucile Watson",Edmund Goulding,TCM ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Pictures,Unknown
In the Navy,86,English,"Popular crooner Russ Raymond abandons his career at its peak and joins the Navy using an alias, Tommy Halstead. However, Dorothy Roberts, a reporter, discovers his identity and follows him in the hopes of photographing him and revealing his identity to the world. Aboard the Alabama, Tommy meets up with Smoky and Pomeroy, who help hide him from Dorothy, who hatches numerous schemes in an attempt to photograph Tommy/Russ being a sailor.",1941,"Comedy, Music, War","nightclub, u.s. navy, sailor, gambler, hula dancer","Claire Dodd, Dick Powell, Bud Abbott, Lou Costello, Laverne Andrews",Arthur Lubin,,,,Universal Pictures,Unknown
