Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Fingers,90,English,"A wanna-be concert pianist spends his days making a living by collecting debts for his Mafioso father, a lifestyle that could eventually ruin his dreams of a musical career.",1978,"Drama, Action, Thriller","schizophrenia, piano lessons","Michael V. Gazzo, Jim Brown, Marian Seldes, Tisa Farrow, Harvey Keitel",James Toback,,,,Brut Productions,Unknown
Force 10 from Navarone,114,English,"World War II, 1943. Mallory and Miller, the heroes who destroyed the guns of Navarone, are sent to Yugoslavia in search of a ghost from the past.",1978,"Drama, Adventure, War","guerrilla warfare, based on novel or book, yugoslavia, world war ii, sequel, partisan, commando, 1940s, chetniks, demolition expert, yugoslavian resistance","Edward Fox, Robert Shaw, Franco Nero, Barbara Bach, Harrison Ford",Guy Hamilton,"Hoopla, ScreenPix Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Columbia Pictures, American International Pictures, Navarone Productions",Unknown
Slave of the Cannibal God,102,Italian,"A woman and her brother fly to New Guinea to look for a lost expedition, led by her husband, which has vanished in the great jungle.",1978,"Adventure, Horror","jungle, cannibal, iguana, video nasty, animal cruelty, missing husband, new guinea, female under cleavage, hollywood reporter, the hollywood reporter","Franco Fantasia, Claudio Cassinelli, Ursula Andress, Stacy Keach, Antonio Marsina",Sergio Martino,"Night Flight Plus, FlixFling ","Apple TV, FlixFling ","Apple TV, FlixFling ","Dania Film, Medusa Distribuzione",Unknown
Japanese Godfather: Conclusion,131,Japanese,The three-film saga comes to a conclusion as three leaders of the underworld battle it out to determine who will become Don of Japan.,1978,"Drama, Crime",None,"Naoko Ohtani, Chiezō Kataoka, Bunta Sugawara, Shin Saburi, Toshirō Mifune",Sadao Nakajima,,,,Toei Company,Unknown
The Shout,86,English,"A traveller by the name of Crossley forces himself upon a musician and his wife in a lonely part of Devon, and uses the aboriginal magic he has learned to displace his host.",1978,"Horror, Drama, Thriller, Mystery","small town, composer, cricket, super power, based on short story, devon","John Hurt, Susannah York, Robert Stephens, Tim Curry, Alan Bates",Jerzy Skolimowski,"AMC+ Amazon Channel, Criterion Channel ",,,"The Rank Organisation, Jeremy Thomas Productions, National Film Finance Corporation (NFFC), National Film Trustee Company, Recorded Picture Company",Unknown
The Deer Hunter,183,English,"A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.",1978,"Drama, War","vietnam veteran, small town, suicide, vietnam, post-traumatic stress disorder (ptsd), escape, pennsylvania, usa, saigon, friends, russian roulette, wedding, deer hunting, steel worker, anti war, revolver, drunkenness, viet cong, romantic triangle, friends love same woman, prisoner of war camp, slavic american","John Savage, John Cazale, Meryl Streep, Christopher Walken, Robert De Niro",Michael Cimino,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Universal Pictures, EMI Films",Unknown
Women in Cellblock 9,75,German,"A group of female freedom-fighters led by Karine Levere is caught by the warden of a women's prison, located somwhere in the South American jungle. None of them will reveal the secrets of their organisation or the names of their collaborators in the cities, so they are handed over to Dr. Costa who, after four years inactivity in Europe, is delighted to be able to practice his torture techniques once more.  Laverne fails to resist the inhuman treatments and reveals all. The only hope of saving the organization is for the girls to warn the city cell before it's too late. They trick the prison guard into having sex with them, knock him out and break out of prison. The warden and Dr. Costa must prevent them from revealing the practices inside the prison. The hunt is on and it's shoot to kill...",1978,"Drama, Action, Crime, Horror",None,"Esther Studer, Howard Vernon, Aida Gouveia, Karine Gambier, Susan Hemingway",Jesús Franco,,,,Elite Film,Unknown
The 36th Chamber of Shaolin,115,Chinese,"The anti-Ching patriots, under the guidance of Ho Kuang-han, have secretly set up their base in Canton, disguised as school masters. During a brutal Manchu attack, Lui manages to escape, and devotes himself to learning the martial arts in order to seek revenge.",1978,"Action, Adventure","martial arts, kung fu, government, shaolin, kammer, shaolin kung fu, teachers and students","John Cheung Ng-Long, Wilson Tong, Lo Lieh, Gordon Liu Chia-hui, Wa Lun",Lau Kar-leung,"Amazon Prime Video, MUBI, MUBI Amazon Channel, ARROW ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ",Shaw Brothers,Unknown
Battlestar Galactica,122,English,"After the destruction of the Twelve Colonies of Mankind, the last major fighter carrier leads a makeshift fugitive fleet in a desperate search for the legendary planet Earth. This film is adapted from a television series that aired on ABC from September 17, 1978, to August 17, 1980. The first and fifth episodes of the series were edited into this theatrical feature film. Taken together, the two episodes ran 148 minutes, without commercials, while the film runs 125 minutes.",1978,"Science Fiction, Adventure","space battle, space, edited from tv series, sensurround","Lorne Greene, Dirk Benedict, Maren Jensen, Herbert Jefferson Jr., Richard Hatch","Alan J. Levi, Richard A. Colla",,"Google Play Movies, YouTube, Vudu ",Vudu ,"Glen A. Larson Productions, Universal Television",Unknown
Good Guys Wear Black,95,English,"The former leader of a commando rescue attempt into Vietnam tries to discover why his squad members are being murdered, one-by-one, after the war is over.",1978,Action,"vietnam war, martial arts, ambush, war veteran, fight, politics, 1970s, rescue mission, revenge, battlefield, soldier, one man army, special forces, commando, one against many, military, action hero","James Franciscus, Lloyd Haynes, Chuck Norris, Anne Archer, Dana Andrews",Ted Post,,"Google Play Movies, YouTube ","Google Play Movies, YouTube ",,Unknown
