Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Ms .45,81,English,"A shy and mute seamstress goes insane after being attacked and raped twice in one day. She wanders the New York streets at night in a sexy black dress with her attacker's gun strapped to her garter belt, blowing away any man who tries to pick her up.",1981,"Crime, Thriller, Action","new york city, rape, revenge, mute, killing spree, rape and revenge, revenge killing, meltdown, sex pest","Darlene Stuto, Helen McGara, Zoë Lund, Abel Ferrara, Albert Sinkys",Abel Ferrara,"Fandor, Fandor Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ",Navaron Films,Unknown
Spaghetti at Midnight,88,Italian,"Savino La Gastra discovers his wife Celeste has a liaison with an architect: Andrea. Even if also Savino has a story with Elvira, a judge's wife, he decides anyway to ask to a mobster to kill his wife. In the mean time Celeste is organizing a surprise party for Savino's birthday, and that day things start to get complicated. First Savino kills accidentally the mafia killer in charge to kill Celeste; second his lover Elvira arrives to the party with the judge... not to mention the police and the mafia Don...",1981,Comedy,None,"Alida Chelli, Daniele Vargas, Teo Teocoli, Barbara Bouchet, Lino Banfi",Sergio Martino,,,,"Alex Cinematografica, Medusa Distribuzione, Otaria Films",Unknown
Eyewitness,103,English,"NYC custodian Daryll Deever is a big fan of local news reporter Tony Sokolow, so he is intrigued when she shows up to cover a story at his workplace. There's been a murder in the office building, and Tony suspects that Daryll may have insight into the crime, a notion that he furthers to stay close to her. However, when those behind the killing begin to think that he really knows something, they target the pair to keep their secrets hidden.",1981,Thriller,"janitor, reporter","Christopher Plummer, James Woods, Irene Worth, William Hurt, Sigourney Weaver",Peter Yates,,,,20th Century Fox,Unknown
The Burning,91,English,"A caretaker at a summer camp is burned when a prank goes tragically wrong. After several years of intensive treatment at hospital, he is released back into society, albeit missing some social skills. What follows is a bloody killing spree with the caretaker making his way back to his old stomping ground to confront one of the youths that accidently burned him.",1981,Horror,"summer camp, woods, revenge, burned alive, murder, camp, slasher, maniac, death, campfire, psycho killer, campfire story, voyeurism, video nasty, prank gone wrong","Brian Backer, Larry Joshua, Leah Ayres, Brian Matthews, Jason Alexander",Tony Maylam,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ",,,"Miramax, The Cropsy Venture, Filmways Pictures",Unknown
Clash of the Titans,118,English,"To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, half-God-half-mortal Perseus must complete various tasks including taming Pegasus, capturing Medusa's head and battling the feared Kraken.",1981,"Adventure, Fantasy","witch, octopus, riddle, mythology, greek mythology, pegasus, zeus, giant bird, medusa, seagull, poseidon, sea monster, perseus, kraken, gods, ancient greece, folklore, based on myths, legends or folklore, hera, vulture, vindictive, owl, epic fantasy","Burgess Meredith, Harry Hamlin, Judi Bowker, Ursula Andress, Maggie Smith",Desmond Davis,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Peerford Ltd., Metro-Goldwyn-Mayer, Charles H. Schneer Productions, Titan Productions",Unknown
Southern Comfort,105,English,"A squad of National Guards on an isolated weekend exercise in the Louisiana swamp must fight for their lives when they anger local Cajuns by stealing their canoes. Without live ammunition and in a strange country, their experience begins to mirror the Vietnam experience.",1981,"Action, Thriller","rescue, joke, louisiana, wilderness, swamp, gore, national guard, trap, poacher, bayou, survival, murder, soldier, cajun, animal killing, military excercise, violence","T.K. Carter, Powers Boothe, Fred Ward, Franklyn Seales, Keith Carradine",Walter Hill,"Amazon Prime Video, AMC+ Amazon Channel, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel ",Amazon Video ,Amazon Video ,"Cinema Group Ventures, Phoenix (II), 20th Century Fox",Unknown
For Your Eyes Only,128,English,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,1981,"Adventure, Action, Thriller","sea, assassin, london, england, smuggling (contraband), submarine, undercover, england, secret mission, olympic games, secret intelligence service, drug trafficking, mountain, kgb, coral reef, ski jump, parrot, cryptographic device, figure skating, motorcycle, monastery, british secret service, snow skiing","Roger Moore, Lynn-Holly Johnson, Topol, Julian Glover, Carole Bouquet",John Glen,"Max Amazon Channel, Cinemax Amazon Channel, Cinemax Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","United Artists, EON Productions, Danjaq",https://www.mgm.com/movies/for-your-eyes-only
S.O.B.,121,English,"A movie producer who made a huge flop tries to salvage his career by revamping his film as an erotic production, where its family-friendly star takes her top off.",1981,Comedy,"movie business, hollywood, movie set, movie industry, film director, movie producer, movie making","Robert Loggia, William Holden, Marisa Berenson, Julie Andrews, Larry Hagman",Blake Edwards,,,,"Paramount, Lorimar Film Entertainment, Artista Management, Geoffrey Productions",Unknown
Das Boot,150,German,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",1981,"Drama, History, War","based on novel or book, submarine, war correspondent, atlantic ocean, gibraltar, world war ii, duty, suicide mission, drinking, sailor, convoy, destroyer, naval warfare, naval battle, battle of the atlantic","Jürgen Prochnow, Herbert Grönemeyer, Martin Semmelrogge, Klaus Wennemann, Hubertus Bengsch",Wolfgang Petersen,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Radiant Film GmbH, Süddeutscher Rundfunk, Bavaria Film, Twin Bros. Productions, Columbia Pictures, WDR, PSO",http://www.dasboot.com
Thief,123,English,"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself complete with a home, wife and kids. To accelerate the process, he signs on with a top gangster for a big score.",1981,"Crime, Thriller, Action","chicago, illinois, shadowing, loss of loved one, burglar, car dealer, rain, idealist, safe, error, thief, electronic music score, convict, diamond heist, neo-noir","Robert Prosky, Jim Belushi, Tuesday Weld, James Caan, Willie Nelson",Michael Mann,"Hoopla, Showtime Apple TV Channel ",Vudu ,Vudu ,"Mann/Caan Productions, United Artists",Unknown
