Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
"Good Morning, Boys!",79,English,Dr. Benjamin Twist (Hay) and his pupils become involved with art thieves on a trip to Paris. Hay’s seamy schoolmaster act is supported by a fine cast including Charles Hawtrey and Lilli Palmer.,1937,"Comedy, Crime",None,"Martita Hunt, Will Hay, Mark Daly, C. Denier Warren, Fewlass Llewellyn",Marcel Varnel,,,,,Unknown
Clock Cleaners,9,English,"It's time to laugh like crazy as Mickey, Goofy and Donald fight against raging gears, twisted springs, deafening bells and a sleeping stork. Watch them reach new heights of humor as their valiant efforts to clean a bell tower turn into a real circus!",1937,"Animation, Comedy","clock tower, cartoon, spring, stork, short film","Clarence Nash, James MacDonald, Pinto Colvig, Walter Tetley, Walt Disney",Ben Sharpsteen,Disney Plus ,,,Walt Disney Productions,Unknown
Porky's Railroad,7,English,"Porky is the engineer on the most pathetic train in the fleet. After some routine episodes (using pepper to get the engine to sneeze itself up a hill, chasing a cow off the tracks, only to discover too late that it's been replaced by a very angry bull), Porky gets word that he's going to be replaced by the new streamlined Silver Fish. He insults it under his breath, but the Silver Fish engineer hears and challenges him to a race. The angry bull catapults Porky to victory.",1937,"Animation, Comedy","short film, porky","Billy Bletcher, Mel Blanc",Frank Tashlin,Classix ,,,Leon Schlesinger Productions,Unknown
Shall We Dance,109,English,"Ballet star Petrov arranges to cross the Atlantic aboard the same ship as the dancer and musical star he's fallen for but barely knows. By the time the ocean liner reaches New York, a little white lie has churned through the rumour mill and turned into a hot gossip item—that the two celebrities are secretly married.",1937,"Comedy, Music, Romance","newspaper, dancing, ballet dancer, musical, scandal, singing, black and white, manhattan, new york city","Eric Blore, Ginger Rogers, Edward Everett Horton, Jerome Cowan, Fred Astaire",Mark Sandrich,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",RKO Radio Pictures,Unknown
Dead End,93,English,"Mobster ""Baby Face"" Martin returns home to visit the New York neighborhood where he grew up, dropping in on his mother, who rejects him because of his gangster lifestyle, and his old girlfriend, Francey, now a syphilitic prostitute. Martin also crosses paths with Dave, a childhood friend struggling to make it as an architect, and the Dead End Kids, a gang of young boys roaming the streets of the city's East Side slums.",1937,"Crime, Drama","gunfight, class differences, dead end kids, deep focus, poker game, informant, juvenile delinquent, knifing, doorman, street urchin, reward, tenement","Sylvia Sidney, Humphrey Bogart, Claire Trevor, Wendy Barrie, Joel McCrea",William Wyler,Amazon Prime Video ,"Apple TV, Google Play Movies, YouTube, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Samuel Goldwyn Productions, United Artists",Unknown
The Soldier and the Lady,85,English,"In the face of rebellion in Russia, Czar Alexander II sends soldier Michael Strogoff 2,000 miles away, with a critical message for Grand Duke Vladimir. On the train journey, Michael befriends a traveler and comes into contact with a mysterious spy, who both unexpectedly aid him in his quest. Once behind enemy lines, Michael is near his hometown and his mother, whom he must avoid in order to fulfill his mission.",1937,"Adventure, History, Romance, War","rescue, war correspondent, impersonation","Akim Tamiroff, Fay Bainter, Margot Grahame, Adolf Wohlbrück, Elizabeth Allan",George Nichols Jr.,,,,RKO Radio Pictures,Unknown
Bulldog Drummond Comes Back,59,English,"Drummond's girlfriend is kidnapped by his enemies and he along with his friend Nielsen, an inspector from Scotland Yard, follow the trail and try to rescue her from the kidnappers.",1937,"Action, Crime, Mystery, Thriller",bulldog drummond,"John Barrymore, John Howard, E. E. Clive, Reginald Denny, Louise Campbell",Louis King,Criterion Channel ,Amazon Video ,Amazon Video ,Paramount,Unknown
"Thank You, Mr. Moto",67,English,"Mr. Moto Heads to China on a quest for seven ancient scrolls that reveal the location of Genghis Khan's tomb—a crypt filled with fabulous treasure! But Moto isn't the only one stalking the scrolls—so is a shadowy band of thieves. But when his ruthless rivals go too far, the mild-mannered detective's quest for antiquities becomes a passion for vengeance—because if he can't bring these villains to justice... he'll bring them to their knees.",1937,"Mystery, Thriller, Crime, Action","radio series, mr. moto","Jayne Regan, Pauline Frederick, Sidney Blackmer, Peter Lorre, Thomas Beck",Norman Foster,,,,20th Century Fox,Unknown
Nothing Sacred,77,English,"When a small-town girl is incorrectly diagnosed with a rare, deadly disease, an unknowing newspaper columnist turns her into a national heroine.",1937,"Comedy, Romance","new york city, newspaper, radium, reporter, screwball comedy, vermont, faking illness","Walter Connolly, Fredric March, Sig Ruman, Carole Lombard, Charles Winninger",William A. Wellman,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus, Pure Flix, Classix, FlixFling, IndieFlix ","Amazon Video, Vudu, FlixFling ","Amazon Video, Vudu, FlixFling, Kino Now ",Selznick International Pictures,Unknown
Reunion in Rhythm,10,English,The gang puts on a musical show at a reunion for some of the former Gang kids.,1937,"Comedy, Family",None,"Eugene 'Porky' Lee, Darla Hood, George McFarland, Carl Switzer, Billie Thomas",Gordon Douglas,,,,Hal Roach Studios,Unknown
