Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Party 2,109,French,A young French teenage girl after moving to a new city falls in love with a boy and is thinking of having sex with him because her girlfriends have already done it.,1982,"Comedy, Romance, Drama","puberty, daughter, first time, paris, france, parent child relationship, holiday, family relationships, teen movie, teenage crush, train, wedding, celebration, boyfriend girlfriend relationship, father daughter relationship, mother daughter relationship, interpersonal relationships, relationships, cult movie, college relationships","Claude Brasseur, Sophie Marceau, Brigitte Fossey, Pierre Cosso, Denise Grey",Claude Pinoteau,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Productions Marcel Dassault, Gaumont, Gaumont International",Unknown
The Day of the Bricklayers,95,Spanish,"At the local construction site, love and drama go hand in hand. Action, comedy, drama and sex are all in the mix in this very sexy/comedy starring some of the icons of this ""sexy era"" of the Mexican cinema.",1982,Comedy,erotic movie,"Luis de Alba, Angélica Chain, Miguel Ángel Rodríguez, Rossy Mendoza, Alfonso Zayas",Adolfo Martínez Solares,,,,Frontera Films,Unknown
The Last Unicorn,92,English,"From a riddle-speaking butterfly, a unicorn learns that she is supposedly the last of her kind, all the others having been herded away by the Red Bull. The unicorn sets out to discover the truth behind the butterfly's words. She is eventually joined on her quest by Schmendrick, a second-rate magician, and Molly Grue, a now middle-aged woman who dreamed all her life of seeing a unicorn. Their journey leads them far from home, all the way to the castle of King Haggard.",1982,"Fantasy, Animation, Family, Adventure","love of one's life, magic, magic show, prince, sorcerer's apprentice, enchantment, unicorn","Tammy Grimes, Alan Arkin, Mia Farrow, Jeff Bridges, Robert Klein","Jules Bass, Arthur Rankin, Jr.",Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Rankin/Bass Productions, ITC Entertainment",Unknown
The Verdict,129,English,"Frank Galvin is a down-on-his-luck lawyer and reduced to drinking and ambulance chasing, when a former associate reminds him of his obligations in a medical malpractice suit by serving it to Galvin on a silver platter—all parties are willing to settle out of court. Blundering his way through the preliminaries, Galvin suddenly realizes that the case should actually go to court—to punish the guilty, to get a decent settlement for his clients... and to restore his standing as a lawyer.",1982,Drama,"coma, court, boston, massachusetts, redemption, alcoholic, courtroom, defense attorney, pinball machine, courtroom drama, medical malpractice","Charlotte Rampling, Milo O’Shea, Jack Warden, Paul Newman, James Mason",Sidney Lumet,"Max, Max Amazon Channel, Cinemax Amazon Channel, Cinemax Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","20th Century Fox, Zanuck/Brown Productions",Unknown
Conan the Barbarian,129,English,"A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",1982,"Adventure, Fantasy, Action","epic, based on novel or book, gladiator, fight, magic, repayment, mythology, despot, black magic, warlord, stone age, thief, barbarian, wizard, warrior, serpent, action hero, sword and sorcery, mysticism, good versus evil","Max von Sydow, Ben Davidson, Arnold Schwarzenegger, Sandahl Bergman, James Earl Jones",John Milius,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Universal Pictures, Dino De Laurentiis Company, Pressman Film, Estudios Churubusco Azteca S.A.",Unknown
Turkey Shoot,93,English,"In the near future, after an unspecified holocaust, survivors are herded into prison camps. There, they are hunted for sport by the leaders of the camp. Paul, one of the newest prisoners, is determined not to go down as quietly as the others.",1982,"Horror, Science Fiction, Action","future, rape, escape, sadism, dystopia, dark comedy, machete, satire, survival, werewolf, torture, explosion, exploding body, death","Carmen Duncan, Olivia Hussey, Michael Craig, Steve Railsback, Noel Ferrier",Brian Trenchard-Smith,"Amazon Prime Video, Night Flight Plus ","Amazon Video, Vudu ","Amazon Video, Vudu ","FGH, Hemdale, Filmco Limited",Unknown
Blade Runner,118,English,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",1982,"Science Fiction, Drama, Thriller","android, flying car, bounty hunter, artificial intelligence (a.i.), genetics, based on novel or book, dystopia, futuristic, fugitive, cyberpunk, los angeles, california, electronic music score, alcoholic, tech noir, neo-noir, philosophical, blade runner, 2010s","Rutger Hauer, M. Emmet Walsh, Sean Young, Edward James Olmos, Harrison Ford",Ridley Scott,,"Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Shaw Brothers, The Ladd Company, Warner Bros. Pictures",http://www.warnerbros.com/blade-runner
The Slumber Party Massacre,77,English,Trish invites her high school basketball teammates over for a night they'll never forget -- or survive -- when an unexpected guest crashes the party: an escaped psychopath with a portable power drill.,1982,"Horror, Comedy","slumber party, sleepover, cannabis, murder, neighbor, serial killer, slasher, drill, woman director, murder spree","Michelle Michaels, Michael Villella, Debra De Liso, Andree Honore, Robin Stille",Amy Holden Jones,"fuboTV, AMC+ Amazon Channel, AMC+, Criterion Channel, Shudder, Screambox, Night Flight Plus, Shudder Amazon Channel, FlixFling, Midnight Pulp, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox, FlixFling ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox, FlixFling ",Santa Fe Productions (I),Unknown
The Secret of NIMH,82,English,"A widowed field mouse must move her family -- including an ailing son -- to escape a farmer's plow. Aided by a crow and a pack of superintelligent, escaped lab rats, the brave mother struggles to transplant her home to firmer ground.",1982,"Family, Animation, Fantasy, Adventure, Science Fiction","widow, mouse, crow, illness","Hermione Baddeley, Dom DeLuise, Elizabeth Hartman, Derek Jacobi, Arthur Malet",Don Bluth,"Amazon Prime Video, Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","United Artists, Aurora, Mrs. Brisby Ltd., Sullivan Bluth Studios",Unknown
Halloween III: Season of the Witch,99,English,"A terrified toy salesman is mysteriously attacked, and at the hospital, babbles and clutches the year's most popular Halloween costume, an eerie pumpkin mask. Suddenly, Doctor Daniel Challis finds himself thrust into a terrifying nightmare.",1982,"Horror, Thriller, Science Fiction","mask, factory, commercial, gas station, curfew, halloween, cult, hospital, doctor, electronic music score, death, surveillance camera, stonehenge, holiday horror","Stacey Nelkin, Ralph Strait, Tom Atkins, Michael Currie, Dan O'Herlihy",Tommy Lee Wallace,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Universal Pictures, Dino De Laurentiis Company",https://www.uphe.com/movies/halloween-iii-season-of-the-witch-1982
