Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Geostorm,109,English,"After an unprecedented series of natural disasters threatened the planet, the world's leaders came together to create an intricate network of satellites to control the global climate and keep everyone safe. But now, something has gone wrong: the system built to protect Earth is attacking it, and it becomes a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone along with it.",2017,"Action, Science Fiction, Thriller","future, artificial intelligence (a.i.), weather manipulation, end of the world, murder, space, conspiracy, disaster, apocalypse, storm, space station, space shuttle, catastrophe, disaster movie, global threat, environmental disaster, overpopulated world","Abbie Cornish, Alexandra Maria Lara, Gerard Butler, Ed Harris, Jim Sturgess",Dean Devlin,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Twisted Media, Skydance Media, RatPac Entertainment, Electric Entertainment, Warner Bros. Pictures, October Pictures",https://www.warnerbros.com/geostorm
The Ritual,94,English,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",2017,"Horror, Thriller, Mystery","robbery, monster, based on novel or book, nightmare, sweden, hiking, scandinavia, forest, friends, grief, murder, cabin, guilt, survival horror, pagan, norse mythology, guilty conscience, folk horror, lost in the woods","Sam Troughton, Robert James-Collier, Paul Reid, Rafe Spall, Arsher Ali",David Bruckner,"Netflix, Netflix basic with Ads ",,,"Entertainment One, The Imaginarium, Sierra/Affinity",Unknown
Rings,102,English,"Julia becomes worried about her boyfriend Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",2017,Horror,"investigation, supernatural, hallucination, sequel, curse, vhs, death, maggot, seven days, video tape","Johnny Galecki, Alex Roe, Vincent D'Onofrio, Aimee Teegarden, Matilda Lutz",F. Javier Gutiérrez,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Paramount, Macari/Edelstein, Parkes+MacDonald Image Nation, Waddieish Claretrap",http://www.ringsmovie.com/
Atomic Blonde,115,English,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,2017,"Action, Thriller","berlin, germany, undercover agent, undercover, germany, spy, cold war, stasi, bisexuality, vodka, kgb, europe, double agent, based on comic, murder, mi6, murder investigation, ddr","Charlize Theron, Sofia Boutella, James McAvoy, John Goodman, Eddie Marsan",David Leitch,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Focus Features, Denver & Delilah Films, 87Eleven, Sierra/Affinity, Closed on Mondays Entertainment, TGIM Films, Film i Väst",http://www.atomicblonde.com/
Sniper: Ultimate Kill,93,English,"For the first time, Brandon Beckett, Richard Miller and Sgt. Thomas Beckett join forces in Colombia to take down a brutal drug cartel. When a deadly sniper with advanced, never-before-seen weaponry targets local Special Agent Kate Estrada, our elite team is in for the ultimate battle in this explosive, game-changing action thriller.",2017,Action,"sniper, agent","Tom Berenger, Chad Michael Collins, Danay García, Billy Zane, Joe Lando",Claudio Fäh,"Netflix, Amazon Prime Video, fuboTV, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Mandalay Pictures, Destination Films",Unknown
The Dark Tower,95,English,A boy haunted by visions of a parallel world aids its disillusioned guardian in preventing the destruction of the nexus of universes known as the Dark Tower.,2017,"Fantasy, Action, Science Fiction","mind control, gunslinger, based on novel or book, portal, parallel world, another world","Fran Kranz, Tom Taylor, Matthew McConaughey, Idris Elba, Claudia Kim",Nikolaj Arcel,"fuboTV, FXNow ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Columbia Pictures, MRC, Imagine Entertainment, Weed Road Pictures",http://thedarktower-movie.com
Dunkirk,107,English,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",2017,"War, Action, Drama","army, beach, france, allies, military officer, world war ii, evacuation, pilot, british army, rescue mission, europe, based on true story, royal navy, survival, historical fiction, soldier, private, military, dunkirk, 1940s, royal air force, raf","Kenneth Branagh, Fionn Whitehead, Tom Hardy, Cillian Murphy, Mark Rylance",Christopher Nolan,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures, Syncopy, Dombey Street Productions, Kaap Holland Film",http://www.dunkirkmovie.com/
Justice League,120,English,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",2017,"Action, Adventure, Science Fiction","superhero, based on comic, super power, superhero team, aftercreditsstinger, duringcreditsstinger, dc extended universe (dceu)","Henry Cavill, Gal Gadot, Ben Affleck, Amy Adams, Ezra Miller",Zack Snyder,"Netflix, Max, Max Amazon Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films",http://www.justiceleaguethemovie.com
LEGO Frozen Northern Lights,22,English,"Elsa, Anna and friends search for the Northern Lights.",2017,"Animation, Family","frozen, lego","Idina Menzel, Josh Gad, Ashlyn Faith Williams, Jonathan Groff, Kristen Bell",,,,,LEGO,Unknown
Get Out,104,English,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",2017,"Mystery, Thriller, Horror","kidnapping, externally controlled action, manipulation, dark comedy, hypnosis, parents-in-law, satire, racist, revenge, interracial relationship, disappearance, racism, psychological thriller, neurosurgeon, missing person, stereotype, brain surgery, race-conscious, pretentious","Caleb Landry Jones, Bradley Whitford, Catherine Keener, Daniel Kaluuya, Allison Williams",Jordan Peele,"Amazon Prime Video, fuboTV, FXNow ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Monkeypaw Productions, Blumhouse Productions, QC Entertainment",http://www.getoutfilm.com/
