Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Emanuelle in Bangkok,94,Italian,"A reporter travels the world's hot spots, looking for lurid stories that usually involve her sexual participation in gaining those behind-the-scenes exclusives.",1976,"Drama, Romance, Adventure","journalist, rape, prince, bangkok, thailand, sequel, sexploitation, voyeurism, erotic movie, sex","Laura Gemser, Venantino Venantini, Ivan Rassimov, Gabriele Tinti, Ely Galleani",Joe D'Amato,,,,"San Nicola Produzione Cinematografica, Flaminia Produzioni Cinematografiche, Kristal Film",Unknown
The Innocent,125,Italian,"Tullio Hermil is a chauvinist aristocrat who flaunts his mistress to his wife, but when he believes she has been unfaithful he becomes enamored of her again.",1976,"Drama, Romance, History","suicide, fascism, eroticism, aristocrat, illegitimate son, turn of the century","Laura Antonelli, Massimo Girotti, Rina Morelli, Giancarlo Giannini, Jennifer O'Neill",Luchino Visconti,"Hoopla, MUBI ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Francoriz Production, Les Films Jacques Leitienne, Imp.Ex.Ci., Rizzoli Film",Unknown
The Enforcer,96,English,"Dirty Harry Callahan returns again, this time saddled with a rookie female partner. Together, they must stop a terrorist group consisting of angry Vietnam veterans.",1976,"Crime, Action","san francisco, california, alcatraz prison, inspector, damage, magnum","Harry Guardino, John Mitchum, Clint Eastwood, Tyne Daly, Bradford Dillman",James Fargo,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Warner Bros. Pictures, Malpaso Productions",Unknown
A Real Young Girl,89,French,"Bored and restless, Alice spends much of her time lusting after Jim, a local sawmill worker. When not lusting after him, Alice fills the hours with such pursuits as writing her name on a mirror with vaginal secretions and wandering the fields with her underwear around her ankles. And, in true teenaged tradition, she spends a lot of time writing in her diary.",1976,Drama,"puberty, first time, france, parent child relationship, love at first sight, eroticism, women's sexual identity, provocation, precocity, girls' boarding school, teenage crush, woman director","Bruno Balp, Georges Guéret, Rita Maiden, Charlotte Alexandra, Hiram Keller",Catherine Breillat,,,,"Les Films La Boétie, Artédis, CB Films, CNC",Unknown
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",202,French,"A lonely widowed housewife does her daily chores and takes care of her apartment where she lives with her teenage son, and turns the occasional trick to make ends meet. Slowly, her ritualized daily routines begin to fall apart.",1976,Drama,"widow, brussels, belgium, household, loneliness, feminist, prostitution, single mother, woman director, minimalism, slow cinema, chores, mother son relationship","Delphine Seyrig, Jan Decorte, Henri Storck, Jacques Doniol-Valcroze, Yves Bical",Chantal Akerman,"Max, Max Amazon Channel, Criterion Channel ","Apple TV, Amazon Video, Vudu ","Apple TV, Amazon Video, Vudu ","Paradise Films, Unité Trois, Ministère de la Culture Française de Belgique, Centre du Cinéma et de l'Audiovisuel de la FWB",Unknown
The Tenant,126,English,A quiet and inconspicuous man rents an apartment in France where he finds himself drawn into a rabbit hole of dangerous paranoia.,1976,"Thriller, Horror, Mystery","suicide, paris, france, identity, psychopath, paranoia, hallucination, identity crisis, lodger, neighbor, tenant, descent into madness, cross dressing, psychological thriller, apartment building, noisy neighbor, handjob, death of neighbor, next door neighbor, tooth extraction, jumping from height, creepy neighbor, jumping from a window, psychological disintegration, paranoid thriller, rented rooms, personality change, psychological horror","Bernard Fresson, Shelley Winters, Isabelle Adjani, Roman Polanski, Melvyn Douglas",Roman Polanski,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Marianne Productions, Paramount",Unknown
To the Devil a Daughter,95,English,"An American occult novelist battles to save the soul of a young girl from a group of Satanists, led by an excommunicated priest, who plan on using her as the representative of the Devil on Earth.",1976,Horror,"ritual, supernatural, satanism, cult, satanist, pact with the devil, writer, demon, occult","Richard Widmark, Christopher Lee, Nastassja Kinski, Honor Blackman, Denholm Elliott",Peter Sykes,,"Amazon Video, Vudu ","Amazon Video, Vudu ","Hammer Film Productions, Terra-Filmkunst",Unknown
Jack the Ripper,92,German,A serial killer whose mother was a prostitute starts killing streetwalkers as a way of paying back his mother for her abuse.,1976,"Drama, Thriller","prostitute, jack the ripper, murder, serial killer, maniac","Lina Romay, Herbert Fux, Klaus Kinski, Andreas Mannkopff, Josephine Chaplin",Jesús Franco,,Amazon Video ,Amazon Video ,"Cinemec, Elite Film, Ascot Film",Unknown
Bugsy Malone,93,English,"New York, 1929, a war rages between two rival gangsters, Fat Sam and Dandy Dan. Dan is in possession of a new and deadly weapon, the dreaded ""splurge gun"". As the custard pies fly, Bugsy Malone, an all-round nice guy, falls for Blousey Brown, a singer at Fat Sam's speakeasy. His designs on her are disrupted by the seductive songstress Tallulah who wants Bugsy for herself.",1976,"Drama, Action, Comedy, Music, Family","new york city, prohibition era, gangster, musical, 1920s, gangster comedy","Jodie Foster, Scott Baio, Florrie Dugger, Martin Lev, John Cassisi",Alan Parker,,"Apple TV, Amazon Video, Vudu ","Apple TV, Amazon Video, Vudu, Spectrum On Demand ","Goodtimes Enterprises, Bugsy Malone Productions, Robert Stigwood Organization, National Film Trustee Company, The Rank Organisation, Paramount",http://alanparker.com/film/bugsy-malone/
Murder by Death,94,English,"Lionel Twain invites the world's five greatest detectives to a 'dinner and murder'. Included are a blind butler, a deaf-mute maid, screams, spinning rooms, secret passages, false identities and more plot turns and twists than are decently allowed.",1976,"Comedy, Crime, Mystery, Thriller","detective, butler, deaf-mute, guest, parody, murder, spoof, mansion, whodunit, cadaver, one night, sidekick, old mansion","Truman Capote, David Niven, Peter Sellers, Alec Guinness, Maggie Smith",Robert Moore,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Rastar Productions,Unknown
Rudolph's Shiny New Year,50,English,"Rudolph must find Happy, the baby new year, before the midnight of New Year's Eve.",1976,"Animation, Fantasy, Family, TV Movie","new year's eve, holiday, musical, stop motion, christmas","Paul Frees, Frank Gorshin, Morey Amsterdam, Harold Peary, Red Skelton","Jules Bass, Arthur Rankin, Jr.",,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Rankin/Bass Productions,Unknown
Dona Flor and Her Two Husbands,110,Portuguese,"After the death of her handsome but good-for-nothing husband Vadinho, Flor, a widow, marries Dr. Teodoro, a respectable gentleman. Hilarity ensues when Vadinho's spirit returns into her life.",1976,"Comedy, Drama, Fantasy, Romance","voodoo, ghost","Mauro Mendonça, Nelson Xavier, José Wilker, Sônia Braga, Rui Rezende",Bruno Barreto,"Hoopla, Film Movement Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Companhia Cinematográfica Serrador, Coline, Carnaval Unifilm",Unknown
"Ugly, Dirty and Bad",115,Italian,"Giacinto lives with his wife, their ten children and various other family members in a shack on the hills of Rome. Some time ago he has lost his left eye while at work, and got a consistent sum of money from the insurance company, which he keeps hidden from the rest of the family. His whole life is now based on defending the money he sees as his own, while the rest of the family tries to kill him.",1976,"Comedy, Drama",None,"Nino Manfredi, Linda Moretti, Maria Luisa Santella, Maria Bosco, Franco Merli",Ettore Scola,,,,C. C. Champion,Unknown
