Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Talented Mr. Ripley,139,English,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.",1999,"Thriller, Crime, Drama","new york city, friendship, ship, new love, lovesickness, jealousy, dual identity, double life, based on novel or book, venice, italy, beguilement, italy, homicide, yacht, secret identity, atlantic ocean, new identity, prosecution, fake identity, rejection, inferiority, inferiority complex, ocean liner, wealth, male homosexuality, cowardliness, envy, identity theft, gay theme, bold","Jude Law, Jack Davenport, Gwyneth Paltrow, Matt Damon, Cate Blanchett",Anthony Minghella,"Paramount+ with Showtime, Paramount Plus Apple TV Channel , Showtime Roku Premium Channel, Showtime, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Miramax, Paramount, Mirage Enterprises, Timnick Films",http://www.miramax.com/movie/the-talented-mr-ripley/
Stir of Echoes,99,English,"After being hypnotized by his sister-in-law, Tom Witzky begins seeing haunting visions of a girl's ghost and a mystery begins to unfold around her.",1999,"Horror, Mystery, Thriller","obsession, cemetery, paranoia, grave, haunted house, hypnosis, tools, clairvoyance, murder, disappearance, psychic, ghost, neighborhood, repressed memory, hearing voices","Kevin Bacon, Illeana Douglas, Kathryn Erbe, Kevin Dunn, Conor O'Farrell",David Koepp,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Artisan Entertainment,Unknown
End of Days,121,English,"On 28 December 1999, the citizens of New York City are getting ready for the turn of the millennium. However, Satan decides to crash the party by coming to the city  and searching for his chosen bride — a 20-year-old woman named Christine York. The world will end, and the only hope lies within an atheist named Jericho Cane.",1999,"Action, Horror, Fantasy","new year's eve, new york city, nightmare, faith, christianity, pastor, bible, satanist, ex-cop, atheist, anti-christ, millenium, priest, hospital, explosion, church, devil, ritual murder, stigmata, supernatural horror, good versus evil, security agent, private security organization","Kevin Pollak, Gabriel Byrne, Arnold Schwarzenegger, Robin Tunney, CCH Pounder",Peter Hyams,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Beacon Communications,Unknown
Toy Story 2,92,English,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",1999,"Animation, Comedy, Family","friendship, airplane, museum, prosecution, identity crisis, flea market, collector, sequel, buddy, rescue team, garage sale, duringcreditsstinger, toy comes to life, personification, inanimate objects come to life","Tom Hanks, Joan Cusack, Tim Allen, Don Rickles, Kelsey Grammer",John Lasseter,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Pixar,http://toystory.disney.com/toy-story-2
Ring 2,95,Japanese,"While investigating the horrifying death of her boyfriend, Mai Takano learns about a videotape haunted by the spirit of a disturbing girl named Sadako, which kills anyone who watches it exactly one week later. When her boyfriend’s son, Yoichi, starts to develop the same psychic abilities as Sadako, Takano must find a way to keep the boy and herself from becoming the next victims.",1999,"Horror, Mystery, Science Fiction","asylum, sequel, curse, videotape, female corpse","Kenjirou Ishimaru, Hitomi Sato, Kyoko Fukada, Miki Nakatani, Fumiyo Kohinata",Hideo Nakata,"AMC+ Amazon Channel, Fandor, Shudder, Screambox, Shudder Amazon Channel, Fandor Amazon Channel, Screambox Amazon Channel, AsianCrush, ARROW, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","KADOKAWA Shoten, Asmik Ace Entertainment, Fuji Television Network",Unknown
Payback,100,English,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.",1999,"Action, Drama, Crime","hotel, new york city, prostitute, robbery, based on novel or book, heroin, anti hero, greed, money, revenge, organized crime, drugs, criminal, one against many, double cross, neo-noir, corrupt cop, parker","Gregg Henry, Maria Bello, Mel Gibson, Bill Duke, David Paymer",Brian Helgeland,"Amazon Prime Video, Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Icon Productions, Paramount",Unknown
Pokémon the Movie 2000,84,Japanese,"When Lawrence III's scheme to capture the Legendary Pokémon Lugia upsets the balance of nature, it is up to Ash Ketchum and his friends to save the world.",1999,"Adventure, Fantasy, Animation, Science Fiction, Family","prophecy, ocean, legend, chosen one, collector, based on video game, tropical island, anime","Satomi Korogi, Mayumi Izuka, Tomokazu Seki, Ikue Otani, Rica Matsumoto",Kunihiko Yuyama,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ","Nintendo, OLM, Pikachu Project '99, Shogakukan, TV Tokyo, GAME FREAK, Shogakukan Production, East Japan Marketing & Communications, Tomy, Creatures",https://www.warnerbros.com/movies/pokemon-movie-2000
Analyze This,103,English,"Countless wiseguy films are spoofed in this film that centers on the neuroses and angst of a powerful Mafia racketeer who suffers from panic attacks. When Paul Vitti needs help dealing with his role in the ""family,"" unlucky shrink Dr. Ben Sobel is given just days to resolve Vitti's emotional crisis and turn him into a happy, well-adjusted gangster.",1999,"Comedy, Crime","new york city, mafia boss, wedding, psychiatrist","Lisa Kudrow, Chazz Palminteri, Kresh Novakovic, Billy Crystal, Robert De Niro",Harold Ramis,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Spring Creek Pictures, Tribeca Productions, Baltimore Pictures, Warner Bros. Pictures, Village Roadshow Pictures, NPV Entertainment, Face Productions",Unknown
Any Given Sunday,162,English,A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the ageing coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove herself in a male dominated world.,1999,Drama,"sports, american football, american football coach, trainer, training, american football stadium","Cameron Diaz, Jamie Foxx, Al Pacino, James Woods, Dennis Quaid",Oliver Stone,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","The Donners' Company, Ixtlan, Warner Bros. Pictures",Unknown
Forces of Nature,105,English,"Ben Holmes, a professional book-jacket blurbologist, is trying to get to Savannah for his wedding. He just barely catches the last plane, but a seagull flies into the engine as the plane is taking off. All later flights are cancelled because of an approaching hurricane, so he is forced to hitch a ride in a Geo Metro with an attractive but eccentric woman named Sara.",1999,"Romance, Comedy","airplane, cataclysm, single, travel, wedding, storm, extramarital affair, woman director","Blythe Danner, Ben Affleck, Maura Tierney, Steve Zahn, Sandra Bullock",Bronwen Hughes,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Roth-Arnold Productions, DreamWorks Pictures",Unknown
