Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Misfits,124,English,"While filing for a divorce, beautiful ex-stripper Roslyn Taber ends up meeting aging cowboy-turned-gambler Gay Langland and former World War II aviator Guido Racanelli. The two men instantly become infatuated with Roslyn and, on a whim, the three decide to move into Guido's half-finished desert home together. When grizzled ex-rodeo rider Perce Howland arrives, the unlikely foursome strike up a business capturing wild horses.",1961,"Western, Drama, Romance","rodeo, reno, nevada, decision, mustang, falling in love, bull, divorce, desert, bull riding, contemporary west, preserved film","Marilyn Monroe, Thelma Ritter, Montgomery Clift, Clark Gable, Eli Wallach",John Huston,"fuboTV, MGM Plus Amazon Channel, Hoopla, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","United Artists, Seven Arts Productions, Metro-Goldwyn-Mayer",Unknown
Duel of the Titans,108,Italian,"Twin brothers were raised by wolves, revolt against tyranny in pre-Roman Italy and then come to a parting of the ways as they lead their people toward the founding of a new city, the founders of Rome.",1961,Adventure,"sibling relationship, peplum","Massimo Girotti, Virna Lisi, Gordon Scott, Steve Reeves, Franco Volpi",Sergio Corbucci,,,,"Titanus, Ajace Produzioni Cinematografiche, Société Générale de Cinématographie (S.G.C.), Société Nouvelle Pathé Cinéma",Unknown
Taste of Fear,82,English,"A wheelchair-bound young girl returns to her father's estate after ten years, and although she's told he's away, she keeps seeing his dead body on the estate.",1961,"Thriller, Mystery, Horror","chauffeur, drowning, france, paraplegic, wheelchair, father, stepmother, french riviera, murder, dead body, doctor, rescue from drowning, drive over cliff, stepparent stepchild relationship","Ann Todd, Christopher Lee, John Serret, Susan Strasberg, Ronald Lewis",Seth Holt,,,,Hammer Film Productions,Unknown
The Terror of the Tongs,76,English,"In 1910, Hong Kong, under the rule of the British Empire, is a prosperous and bustling city, but, hidden in the shadows of its many narrow streets, the hideous members of the Red Dragon gang, a branch of the evil Chinese secret society of the Tongs, lurk and murder those who oppose to their tyranny, which thrives on vice, crime and the fear of the weakest.",1961,"Crime, Mystery","drug abuse, drug smuggling, secret society, murder, hong kong, torture, 1910s, severed finger, chinese tong","Yvonne Monlaur, Christopher Lee, Brian Worth, Geoffrey Toone, Marne Maitland",Anthony Bushell,,,,Hammer Film Productions,Unknown
The Deadly Companions,93,English,"Ex-army officer accidentally kills a woman's son, tries to make up for it by escorting the funeral procession through dangerous Indian territory.",1961,Western,"funeral, native american, escort","Maureen O'Hara, Strother Martin, Steve Cochran, Chill Wills, Brian Keith",Sam Peckinpah,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Classix, Fandor Amazon Channel, FlixFling, IndieFlix, Cultpix, Midnight Pulp ","Amazon Video, FlixFling ","Amazon Video, FlixFling ","Pathé-America Distributing Company, Carousel Productions",Unknown
Judgment at Nuremberg,179,English,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",1961,Drama,"right and justice, nazi, court case, judge, concentration camp, world war ii, national socialism, national socialist party, nuremberg trials, trial, nuremberg, germany, courtroom drama","Richard Widmark, Burt Lancaster, Spencer Tracy, Marlene Dietrich, Maximilian Schell",Stanley Kramer,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, Hoopla, MGM Plus ",,Spectrum On Demand ,"United Artists, Roxlom Films, Stanley Kramer Productions",Unknown
Vengeance of the Three Musketeers,91,French,"To avenge her defeat and with the help of the Cardinal's army leader Rochefort, the treacherous Milady de Winter kidnaps both D'Artagnan and Constance, in order to spur a war between the French and the English, as per the Cardinal's wish.",1961,"Adventure, Romance, History","france, based on novel or book, duel, musketeer","Georges Descrières, Perrette Pradier, Gérard Barray, Mylène Demongeot, Bernard Woringer",Bernard Borderie,,,,"Borderie, Le Film d'art, Les Films Modernes",Unknown
A Taste of Honey,100,English,"Jo is a neglected 16-year-old girl whose promiscuous mother marries a dandy. Jo gets pregnant after a tryst with a black cook, who leaves her over his impending responsibilities of fatherhood, and she only finds support in a gay male friend.",1961,Drama,"friendship, single parent, parent child relationship, based on play or musical, family relationships, coming of age, interracial relationship, working class, single mother, teenage pregnancy, kitchen sink realism, free cinema, british new wave, depressing","Robert Stephens, Murray Melvin, Paul Danquah, Dora Bryan, Rita Tushingham",Tony Richardson,"Max, Max Amazon Channel, Criterion Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Woodfall Film Productions,Unknown
Totòtruffa '62,102,Italian,"Antonio, a former variety actor, keeps his daughter in an excellent boarding school by organizing small scams with his friend and colleague Felice. Commissioner Malvasia good-naturedly persecuted him. When their respective unsuspecting children fall in love, the two fathers make peace.",1961,Comedy,italian,"Lia Zoppelli, Estella Blain, Nino Taranto, Geronimo Meynier, Totò",Camillo Mastrocinque,,,,"D.D.L., Cine Produzione Astoria",Unknown
A Difficult Life,118,Italian,"Silvio refuses to fight for the fascists and joins the resistance with Elena. After the war, his vitriolic newspaper articles cause him to be sentenced to imprisonment.",1961,"Comedy, Drama",None,"Lina Volonghi, Lea Massari, Franco Fabrizi, Alberto Sordi, Claudio Gora",Dino Risi,,,,DDL Cinematografica,Unknown
