Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Aquaman,143,English,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",2018,"Action, Adventure, Fantasy","hero, chase, atlantis, superhero, half-brother, based on comic, royalty, underwater, duringcreditsstinger, quest, dc extended universe (dceu), advanced civilization, two worlds","Patrick Wilson, Nicole Kidman, Willem Dafoe, Amber Heard, Jason Momoa",James Wan,"Max, Max Amazon Channel, Peacock Premium ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Warner Bros. Pictures, The Safran Company, DC Films",https://www.warnerbros.com/movies/aquaman
The Cloverfield Paradox,102,English,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",2018,"Horror, Science Fiction, Action","experiment, disorientation, alien, space, scientist, space station, alternative universe, parallel universe","Gugu Mbatha-Raw, Chris O'Dowd, John Ortiz, Daniel Brühl, David Oyelowo",Julius Onah,"Netflix, Netflix basic with Ads ",,,"Paramount, Bad Robot",https://www.netflix.com/title/80134431
My Hero Academia: Two Heroes,96,Japanese,"All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called 'I-Island', where they research quirks as well as hero supplemental items at the special 'I-Expo' convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.",2018,"Animation, Action, Adventure, Fantasy","japan, hero, superhero, school, fighting, hostage situation, super power, adult animation, shounen, anime","Nobuhiko Okamoto, Namase Katsuhisa, Daiki Yamashita, Kenta Miyake, Mirai Shida",Kenji Nagasaki,"Netflix, Hulu, Crunchyroll, Crunchyroll Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","BONES, Yomiuri Telecasting Corporation, Shueisha, Nippon Television Network Corporation, dentsu, Sony Music Entertainment, movic, TOHO, TOHO MUSIC",Unknown
Disobedience,114,English,"A woman learns about the death of her Orthodox Jewish father, a rabbi. She returns home and has romantic feelings rekindled for her best childhood friend, who is now married to her cousin.",2018,"Drama, Romance","forbidden love, lgbt, childhood friends, jewish culture, orthodox jewish, jewish lgbt, lesbian","Rachel McAdams, Allan Corduner, Alessandro Nivola, Anton Lesser, Rachel Weisz",Sebastián Lelio,"Starz Apple TV Channel, Starz Roku Premium Channel, Hoopla, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Braven Films, Element Pictures, Film4 Productions, LC6 Productions",http://www.disobedience.movie
Ready Player One,140,English,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",2018,"Adventure, Action, Science Fiction","future, based on novel or book, video game, virtual reality, dystopia, nostalgia, love, film in film, evil corporation, quest, 1980s, 2040s, based on young adult novel, columbus, ohio","Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller",Steven Spielberg,"Netflix, TNT, TBS, tru TV, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Amblin Entertainment, Warner Bros. Pictures, Village Roadshow Pictures, Access Entertainment, Dune Entertainment",http://readyplayeronemovie.com
Incredibles 2,118,English,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",2018,"Action, Adventure, Animation, Family","married couple, superhero, cartoon, sequel, parenting, family, super power","Holly Hunter, Samuel L. Jackson, Sarah Vowell, Huck Milner, Craig T. Nelson",Brad Bird,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Walt Disney Pictures, Pixar",https://movies.disney.com/incredibles-2
The Predator,107,English,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",2018,"Science Fiction, Action, Adventure","predator, sequel, alien, creature, alien invasion, military","Jacob Tremblay, Trevante Rhodes, Sterling K. Brown, Keegan-Michael Key, Boyd Holbrook",Shane Black,"fuboTV, FXNow ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","Davis Entertainment, TSG Entertainment, 20th Century Fox, Canada Film Capital",https://www.foxmovies.com/movies/the-predator
Overlord,110,English,"France, June 1944. On the eve of D-Day, some American paratroopers fall behind enemy lines after their aircraft crashes while on a mission to destroy a radio tower in a small village near the beaches of Normandy. After reaching their target, the surviving paratroopers realise that, in addition to fighting the Nazi troops that patrol the village, they also must fight against something else.",2018,"Horror, War, Science Fiction","france, nazi, village, world war ii, normandy, france, d-day, laboratory, explosion, behind enemy lines, paratrooper, 1940s, scientific experiment, black soldier","Pilou Asbæk, Mathilde Ollivier, Jovan Adepo, John Magaro, Wyatt Russell",Julius Avery,Crunchyroll Amazon Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Bad Robot, Paramount",http://www.overlordmovie.com
"Juliet, Naked",97,English,"Annie is stuck in a long-term relationship with Duncan – an obsessive fan of obscure rocker Tucker Crowe. When the acoustic demo of Tucker's hit record from 25 years ago surfaces, its discovery leads to a life-changing encounter with the elusive rocker himself.",2018,"Comedy, Drama, Romance","london, england, england, museum, e-mail, relationship problems, website, obsessed fan, english countryside, folk singer, high school teacher, singer-songwriter, boyfriend girlfriend relationship, correspondence, lecturer, long term relationship, rockstar, dysfunctional relationship, seaside village, sister sister relationship, children","Chris O'Dowd, Lily Brazier, Azhy Robertson, Ethan Hawke, Rose Byrne",Jesse Peretz,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Bona Fide, Apatow Productions, Los Angeles Media Fund",https://www.julietnakedfilm.com
Ghostland,91,English,"A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. Sixteen years later the daughters reunite at the house, and that is when things get strange . . .",2018,"Horror, Mystery, Thriller","insanity, hallucination, torture, reality vs fantasy","Emilia Jones, Anastasia Phillips, Mylène Farmer, Crystal Reed, Taylor Hickson",Pascal Laugier,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Mars Films, 5656 Films, Logical Pictures, Inferno Pictures, Highwire Pictures",Unknown
