Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Point Break,122,English,"In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.",1991,"Action, Thriller, Crime","surfing, surfer, surfboard, undercover, self-destruction, self-discovery, parachuting, fbi, wave, extreme sports, parachute, police operation, moral conflict, gang, los angeles, california, bank robbery, woman director","Lori Petty, John C. McGinley, Keanu Reeves, Patrick Swayze, Gary Busey",Kathryn Bigelow,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Largo Entertainment, JVC, 20th Century Fox",Unknown
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,88,English,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",1991,"Science Fiction, Adventure, Action, Comedy, Family","new york city, martial arts, fight, crime fighter, superhero, mutant, cartoon, turtle, based on comic, ninja, reporter, urban setting, anthropomorphic animal","Kevin Clash, Brian Tochi, David Warner, Robbie Rist, Paige Turco",Michael Pressman,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Orange Sky Golden Harvest, New Line Cinema, Mirage Studios",Unknown
Ricochet,102,English,An attorney is terrorized by the criminal he put away years ago when he was a cop.,1991,"Crime, Thriller, Action, Drama","career, psychopath, falsely accused, cop, prison escape, los angeles, california, killer, family","Kevin Pollak, Lindsay Wagner, John Lithgow, Denzel Washington, Ice-T",Russell Mulcahy,"Max, Max Amazon Channel ",,,"HBO, Cinema Plus, Indigo Productions, Silver Pictures, Warner Bros. Pictures, Warner Bros.",Unknown
Bill & Ted's Bogus Journey,93,English,"Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living.",1991,"Adventure, Comedy, Science Fiction","dying and death, future, afterlife, time travel, heaven, heavy metal, diabolical ego, robot, devil","William Sadler, Pam Grier, Joss Ackland, Alex Winter, Keanu Reeves",Peter Hewitt,"Max, Max Amazon Channel, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Orion Pictures, Nelson Entertainment, Interscope Communications",Unknown
White Fang,107,English,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,1991,"Action, Adventure, Drama, Family","friendship, gold, treasure, based on novel or book, coffin, human animal relationship, alaska, shootout, dog, prospector, klondike, yukon, canada, gold miner, pets","James Remar, Klaus Maria Brandauer, Susan Hogan, Seymour Cassel, Ethan Hawke",Randal Kleiser,"Disney Plus, IndieFlix ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Walt Disney Pictures, Silver Screen Partners IV, Hybrid Productions Inc.",Unknown
The Hard Way,111,English,"Seeking to raise his credibility as an actor and to land a role as a tough cop on a new show, Hollywood action star Nick Lang works a deal with New York City Police Capt. Brix, who by chance is one of his fans. Nick will be paired with detective Lt. John Moss and learn how to act like a real cop. But when Nick drives John crazy with questions and imitating him, he gets in the way of John's pursuit of a serial killer.",1991,"Action, Comedy, Crime","dual identity, undercover agent, police, identity, detective, role reversal, movie star, buddy cop, manhattan, new york city","John Capodice, Annabella Sciorra, Michael J. Fox, James Woods, Stephen Lang",John Badham,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","The Badham-Cohen Group, Universal Pictures",Unknown
Showdown in Little Tokyo,79,English,"An American with a Japanese upbringing, Chris Kenner is a police officer assigned to the Little Tokyo section of Los Angeles. Kenner is partnered with Johnny Murata, a Japanese-American who isn't in touch with his roots. Despite their differences, both men excel at martial arts, and utilize their formidable skills when they go up against Yoshida, a vicious yakuza drug dealer with ties to Kenner's past.",1991,"Action, Comedy, Crime","yakuza, los angeles, california, samurai sword","Philip Tan, Dolph Lundgren, Tia Carrere, Brandon Lee, Cary-Hiroyuki Tagawa",Mark L. Lester,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Original Pictures, Little Tokyo Productions",Unknown
Dragon Ball Z: Lord Slug,52,Japanese,A Super Namekian named Slug comes to invade Earth. But the Z Warriors do their best to stop Slug and his gang.,1991,"Action, Animation, Science Fiction","martial arts, transformation, wish, alien, dragon, henchmen, anime, frozen planet","Joji Yanami, Mayumi Tanaka, Kenji Utsumi, Toshio Furukawa, Masako Nozawa",Mitsuo Hashimoto,"Crunchyroll, Crunchyroll Amazon Channel, Funimation Now ",Apple TV ,Apple TV ,Toei Animation,Unknown
Return to the Blue Lagoon,98,English,"In this sequel to the 1980 classic, two children are stranded on a beautiful island in the South Pacific. With no adults to guide them, the two make a simple life together and eventually become tanned teenagers in love.",1991,"Adventure, Drama","island, marooned, family abandonment, pacific island, deserted island, tropical island, abandoned by mother, abandoned, abandoned child","Garette Ratliff Henson, Courtney Barilla, Lisa Pelikan, Brian Krause, Milla Jovovich",William A. Graham,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Price Entertainment, Columbia Pictures",Unknown
Child's Play 3,90,English,"Eight years after seemingly destroying the killer doll, teen Andy Barclay is placed in a military school, and the spirit of Chucky returns to renew his quest and seek vengeance after being recreated from a mass of melted plastic.",1991,"Horror, Thriller","voodoo, recruit, evil doll, killer doll, serial killer, slasher, military academy, killer toys, toy comes to life, war game, possessed doll, supernatural power","Travis Fine, Dean Jacobson, Perrey Reeves, Justin Whalin, Jeremy Sylvers",Jack Bender,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Universal Pictures,Unknown
