Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
The Card,85,English,"A charming and ambitious young man finds many ways to raise himself through the ranks in business and social standing - some honest, some not quite so. If he can just manage to avoid a certain very predatory woman...",1952,Comedy,"bankrupt, rags to riches","Edward Chapman, Petula Clark, Glynis Johns, Alec Guinness, Valerie Hobson",Ronald Neame,Criterion Channel ,,,A Ronald Neame Production,Unknown
Lambert the Sheepish Lion,8,English,"Disney Legend Sterling Holloway narrates this classic animated short. A mix-up by Mr. Stork finds a little lion cub in the care of a gentle flock of sheep. Doted on by his mother, but teased by the other lambs, Lambert soon grows to become a massive lion, but as shy and gentle as the ewe who raised him. When a hungry wolf begins to stalk the herd, will Lambert find the courage to protect his mama?",1952,Animation,"lion, cartoon, lamb, short film","James MacDonald, June Foray, Sterling Holloway, Stan Freberg",Jack Hannah,Disney Plus ,,,Walt Disney Productions,Unknown
The White Sheik,83,Italian,"In Italy, small-town newlyweds Wanda and Ivan Cavalli embark on their honeymoon in the big city of Rome. Ivan dutifully wants to keep appointments with family and church, but Wanda is only interested in meeting her favorite photo-strip star known as ""The White Sheik"". While Wanda impetuously sneaks away to locate the object of her affections, disconsolate Ivan tries his hardest to keep up appearances with the couple's relatives.",1952,"Romance, Comedy","runaway, honeymoon, camel, swing, black and white, photo shoot, police station","Ernesto Almirante, Giulietta Masina, Leopoldo Trieste, Brunella Bovo, Alberto Sordi",Federico Fellini,,,,"Produzione Distribuzione Cinematografica, Organizzazione Film Internazionali (OFI)",Unknown
April in Paris,100,English,"A series of misunderstandings leads to a chorus girl traveling to Paris to represent the American theater, where she falls in love with a befuddled bureaucrat.",1952,"Comedy, Music, Romance","paris, france, musical","Ray Bolger, Eve Miller, Doris Day, Claude Dauphin, George Givot",David Butler,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Warner Bros. Pictures,Unknown
My Cousin Rachel,98,English,"A young man plots revenge against the woman he believes murdered his cousin, but his plans are shaken when he comes face to face with the enigmatic beauty.",1952,"Mystery, Romance, Drama","suspicion, wealth, murder, estate","George Dolenz, Audrey Dalton, Richard Burton, Ronald Squire, Olivia de Havilland",Henry Koster,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",20th Century Fox,Unknown
Ivanhoe,106,English,Sir Walter Scott's classic story of the chivalrous Ivanhoe who joins with Robin of Locksley in the fight against Prince John and for the return of King Richard the Lionheart.,1952,"Adventure, Romance, History","epic, countryside, based on novel or book, crusade, castle, robin hood, richard the lionheart, sword fight, battlefield, knight, tournament, historical fiction, king, jousting, witchcraft, medieval, peplum, ivanhoe, warrior, jester, saxons, 12th century, king richard, templar","George Sanders, Elizabeth Taylor, Robert Taylor, Emlyn Williams, Joan Fontaine",Richard Thorpe,TCM ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Metro-Goldwyn-Mayer, Loew's Incorporated",Unknown
What Price Glory,110,English,"Two military men, Captain Flagg and Sergeant Quirt, who are rivals to begin with, grow more at odds with each other when Quirt is made Flagg's top sergeant. And when a local beauty comes between them, their rivalry escalates even further. But when they discover that the woman has marriage in mind, they now compete to try to avoid marching down the aisle - that is, until they are called upon to march into battle.",1952,"Drama, Comedy, Romance, War","duty, unrequited love, u.s. marine, shrapnel","Dan Dailey, Corinne Calvet, Robert Wagner, William Demarest, James Cagney",John Ford,,,,20th Century Fox,Unknown
Limelight,137,English,A fading music hall comedian tries to help a despondent ballet dancer learn to walk and to again feel confident about life.,1952,"Romance, Drama, Music","clown, ballet dancer, black and white","Charlie Chaplin, Buster Keaton, Nigel Bruce, Sydney Chaplin, Claire Bloom",Charlie Chaplin,"Max, Max Amazon Channel, Criterion Channel ","Apple TV, Amazon Video ","Apple TV, Amazon Video ","Celebrated Productions, United Artists",Unknown
This Woman Is Dangerous,100,English,"A crime gang leader is losing her sight, so while her lover goes into hiding, she checks in to the hospital for extensive surgery to recover her eyesight. There she is treated by a handsome young doctor. As expected not only does the doctor successfully open her eyes, he also opens her heart for him.",1952,"Drama, Crime","gangster, criminal mastermind","David Brian, Dennis Morgan, Mari Aldon, Richard Webb, Joan Crawford",Felix E. Feist,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Pictures,Unknown
Horizons West,81,English,"Brothers Dan and Neil Hammond return to Texas after the Civil War. Ambitious Dan turns to rustling and then shady land deals to build an empire. Being held for a murder, he is rescued from a lynch mob by Neil, who is now the Marshal, but there is eventually a falling out between the brothers, good triumphing over evil.",1952,Western,"sibling relationship, marshal, texas","Julie Adams, John McIntire, Judith Braun, Rock Hudson, Robert Ryan",Budd Boetticher,,,,Universal International Pictures,Unknown
